,,,,,,,,,Standard,,,,,,,,Performance,
46,David Barral,es ESP,FW,Granada,33,1983,3.5,0,10,1,10,2.85,0.28,0,0,,0,0
47,Diego Barrios,es ESP,GK,LeganÈs,22,1994,0.7,0,0,0,,0,0,,,,0,0
48,Jon Bautista,es ESP,FW,Real Sociedad,21,1995,3.5,3,13,4,30.8,3.75,1.15,0.23,0.75,,0,0
49,Claudio Beauvue,gp GLP,FW,Celta Vigo,28,1988,7.3,1,19,4,21.1,2.6,0.55,0.05,0.25,,0,0
50,BebÈ,cv CPV,"MF,FW",Eibar,26,1990,7.6,3,23,10,43.5,3.01,1.31,0.13,0.3,,0,0
51,Wissam Ben Yedder,fr FRA,FW,Sevilla,25,1990,18.5,11,44,23,52.3,2.38,1.25,0.23,0.43,,1,1
52,Karim Benzema,fr FRA,FW,Real Madrid,28,1987,21.1,11,69,34,49.3,3.26,1.61,0.16,0.32,,0,0
53,Yuri Berchiche,es ESP,DF,Real Sociedad,26,1990,34.3,3,40,8,20,1.17,0.23,0.08,0.38,,0,0
54,¡Ålex Berenguer,es ESP,"DF,MF",Osasuna,21,1995,23.6,1,16,5,31.3,0.68,0.21,0.06,0.2,,0,0
55,¡Ålex BergantiÒos,es ESP,"MF,DF",La CoruÒa,31,1985,6.1,1,3,1,33.3,0.49,0.16,0.33,1,,0,0
56,Markel Bergara,es ESP,MF,Real Sociedad,30,1986,3.2,0,0,0,,0,0,,,,0,0
57,Pedro Bigas,es ESP,DF,Las Palmas,25,1990,29.4,4,19,7,36.8,0.65,0.24,0.21,0.57,,0,0
58,RubÈn Blanco,es ESP,GK,Celta Vigo,21,1995,11,0,0,0,,0,0,,,,0,0
59,Kevin-Prince Boateng,gh GHA,"FW,MF",Las Palmas,29,1987,22,10,75,32,42.7,3.41,1.46,0.13,0.31,,0,0
60,Jeremie Boga,ci CIV,"MF,FW",Granada,19,1997,16.2,2,29,9,31,1.79,0.56,0.07,0.22,,0,0
61,Daniele Bonera,it ITA,DF,Villarreal,35,1981,6,0,0,0,,0,0,,,,0,0
62,Theo Bongonda,cd COD,"MF,FW",Celta Vigo,20,1995,24,1,32,7,21.9,1.33,0.29,0.03,0.14,,0,0
63,Tano BonnÌn,do DOM,DF,Osasuna,26,1990,8.2,0,0,0,,0,0,,,,0,0
64,Celso Borges,cr CRC,MF,La CoruÒa,28,1988,30.2,6,41,10,24.4,1.36,0.33,0.1,0.4,,2,3
65,Rafael BorrÈ,co COL,FW,Villarreal,20,1995,4,2,11,9,81.8,2.77,2.27,0.18,0.22,,0,0
66,Eneko BÛveda,es ESP,DF,Athletic Club,27,1988,17.3,0,2,0,0,0.12,0,0,,,0,0
67,Denys Boyko,ua UKR,GK,M·laga,28,1988,3,0,0,0,,0,0,,,,0,0
68,Darko Brasanac,rs SRB,MF,Betis,24,1992,18,1,15,3,20,0.83,0.17,0.07,0.33,,0,0
69,Claudio Bravo,cl CHI,GK,Barcelona,33,1983,1,0,0,0,,0,0,,,,0,0
70,Alberto Brignoli,it ITA,GK,LeganÈs,24,1991,0.7,0,0,0,,0,0,,,,0,0
71,Alberto Bueno,es ESP,"FW,MF",LeganÈs,28,1988,4.2,1,8,2,25,1.89,0.47,0.13,0.5,,0,0
72,Alberto Bueno,es ESP,MF,Granada,28,1988,6.2,1,11,5,45.5,1.76,0.8,0.09,0.2,,0,0
73,Aitor BuÒuel,es ESP,"DF,MF",Osasuna,18,1998,11.4,0,6,0,0,0.52,0,0,,,0,0
74,Burgui,es ESP,"MF,FW",Sporting GijÛn,22,1993,22.1,2,51,23,45.1,2.3,1.04,0.04,0.09,,0,0
75,Sergio Busquets,es ESP,MF,Barcelona,28,1988,29.9,0,4,0,0,0.13,0,0,,,0,0
76,Unai Bustinza,es ESP,DF,LeganÈs,24,1992,19.9,0,14,4,28.6,0.7,0.2,0,0,,0,0
77,Gustavo Cabral,ar ARG,DF,Celta Vigo,30,1985,24.2,2,19,8,42.1,0.79,0.33,0.11,0.25,,0,0
78,Felipe Caicedo,ec ECU,FW,Espanyol,27,1988,14.3,2,15,6,40,1.05,0.42,0.13,0.33,,0,1
79,Ignacio Camacho,es ESP,MF,M·laga,26,1990,34.9,4,40,14,35,1.14,0.4,0.1,0.29,,0,0
80,VÌctor Camarasa,es ESP,MF,AlavÈs,22,1994,27.7,3,32,8,25,1.15,0.29,0.09,0.38,,0,0
81,Sergio Canales,es ESP,"MF,FW",Real Sociedad,25,1991,11.2,0,20,5,25,1.78,0.45,0,0,,0,0
82,Jo„o Cancelo,pt POR,"DF,MF",Valencia,22,1994,27,1,22,11,50,0.82,0.41,0.05,0.09,,0,0
83,Roberto Canella,es ESP,DF,Sporting GijÛn,28,1988,19.5,2,11,2,18.2,0.56,0.1,0.18,1,,0,0
84,Aitor Cantalapiedra,es ESP,"FW,MF",Villarreal,20,1996,0,0,0,0,,0,0,,,,0,0
85,Ander Capa,es ESP,DF,Eibar,24,1992,28.3,0,9,2,22.2,0.32,0.07,0,0,,0,0
86,Mehdi Carcela,ma MAR,"MF,FW",Granada,27,1989,19.4,5,30,15,50,1.55,0.77,0.17,0.33,,0,0
87,JosÈ Carlos,es ESP,DF,Betis,20,1996,5.5,0,0,0,,0,0,,,,0,0
88,Carlos Carmona,es ESP,"MF,FW",Sporting GijÛn,29,1987,20.7,8,34,15,44.1,1.64,0.73,0.24,0.53,,0,0
89,Yannick Carrasco,be BEL,"MF,FW",AtlÈtico Madrid,22,1993,25.1,10,84,33,39.3,3.35,1.32,0.12,0.3,,0,1
90,Daniel CarriÁo,pt POR,DF,Sevilla,27,1988,5,0,0,0,,0,0,,,,0,0
91,Federico Cartabia,ar ARG,"MF,FW",Valencia,23,1993,1.7,0,2,0,0,1.18,0,0,,,0,0
92,Dani Carvajal,es ESP,DF,Real Madrid,24,1992,22.4,0,9,4,44.4,0.4,0.18,0,0,,0,0
93,Casemiro,br BRA,MF,Real Madrid,24,1992,19,4,15,4,26.7,0.79,0.21,0.27,1,,0,0
94,Nacho Cases,es ESP,MF,Sporting GijÛn,28,1987,16.3,2,11,4,36.4,0.67,0.24,0.18,0.5,,0,0
95,Kiko Casilla,es ESP,GK,Real Madrid,29,1986,11,0,0,0,,0,0,,,,0,0
96,Dani Castellano,es ESP,DF,Las Palmas,28,1987,23.4,0,9,3,33.3,0.38,0.13,0,0,,0,0
97,Javi Castellano,es ESP,"DF,MF",Las Palmas,28,1987,1.1,0,0,0,,0,0,,,,0,0
98,Samu Castillejo,es ESP,MF,Villarreal,21,1995,22.8,2,33,15,45.5,1.45,0.66,0.06,0.13,,0,0
99,Carlos Castro,es ESP,FW,Sporting GijÛn,21,1995,11.4,4,16,10,62.5,1.41,0.88,0.25,0.4,,0,0
100,Chory Castro,uy URU,"MF,FW",M·laga,31,1984,19.9,1,31,13,41.9,1.56,0.65,0.03,0.08,,0,0
101,Jonny Castro,es ESP,DF,Celta Vigo,22,1994,24.6,0,13,5,38.5,0.53,0.2,0,0,,0,0
102,RubÈn Castro,es ESP,FW,Betis,35,1981,30.9,13,117,42,35.9,3.79,1.36,0.09,0.26,,2,2
103,Goran Causic,rs SRB,MF,Osasuna,24,1992,22.3,1,15,4,26.7,0.67,0.18,0.07,0.25,,0,0
104,Dani Ceballos,es ESP,MF,Betis,19,1996,26,2,37,16,43.2,1.42,0.62,0.05,0.13,,0,0
105,¡Ålvaro Cejudo,es ESP,"MF,FW",Betis,32,1984,9.1,1,16,4,25,1.77,0.44,0.06,0.25,,0,0
106,Alessio Cerci,it ITA,"FW,MF",AtlÈtico Madrid,29,1987,0.2,0,0,0,,0,0,,,,0,0
107,Nereo Champagne,ar ARG,GK,LeganÈs,31,1985,4,0,0,0,,0,0,,,,0,0
108,Charles,br BRA,FW,M·laga,32,1984,12.7,3,38,15,39.5,3,1.18,0.08,0.2,,0,0
109,Pape Cheikh Diop,sn SEN,"MF,FW",Celta Vigo,18,1997,6.3,1,1,1,100,0.16,0.16,1,1,,0,0
110,Denis Cheryshev,ru RUS,MF,Villarreal,25,1990,3.8,0,8,3,37.5,2.12,0.79,0,0,,0,0
111,MichaÎl Ciani,fr FRA,DF,Espanyol,32,1984,0.6,0,0,0,,0,0,,,,0,0
112,Jasper Cillessen,nl NED,GK,Barcelona,27,1989,1,0,0,0,,0,0,,,,0,0
113,Carlos Clerc,es ESP,"DF,MF",Osasuna,24,1992,21.6,1,7,3,42.9,0.32,0.14,0.14,0.33,,0,0
114,F·bio Coentr„o,pt POR,DF,Real Madrid,28,1988,1.9,0,1,0,0,0.53,0,0,,,0,0
115,Emre ¡áolak,tr TUR,MF,La CoruÒa,25,1991,27.4,3,42,13,31,1.53,0.47,0.07,0.23,,0,1
116,David Concha,es ESP,MF,Real Sociedad,19,1996,1.3,0,2,0,0,1.55,0,0,,,0,0
117,Duje ?op,hr CRO,FW,Sporting GijÛn,26,1990,25.3,9,65,26,40,2.57,1.03,0.09,0.23,,3,4
118,¡Ångel Correa,ar ARG,"MF,FW",AtlÈtico Madrid,21,1995,13.7,4,37,16,43.2,2.71,1.17,0.11,0.25,,0,0
119,JoaquÌn Correa,ar ARG,"MF,FW",Sevilla,21,1994,14.6,4,34,13,38.2,2.33,0.89,0.12,0.31,,0,0
120,Jaume Costa,es ESP,DF,Villarreal,28,1988,29.8,1,10,4,40,0.34,0.13,0.1,0.25,,0,0
121,David Costas,es ESP,DF,Celta Vigo,21,1995,1,0,0,0,,0,0,,,,0,0
122,Iv·n CuÈllar,es ESP,GK,Sporting GijÛn,32,1984,36,0,0,0,,0,0,,,,0,0
123,Isaac Cuenca,es ESP,"MF,DF",Granada,25,1991,19.4,2,18,7,38.9,0.93,0.36,0.11,0.29,,0,0
124,Danilo,br BRA,DF,Real Madrid,25,1991,16.5,1,11,2,18.2,0.67,0.12,0.09,0.5,,0,0
125,MartÌn Demichelis,ar ARG,DF,M·laga,35,1980,7.5,0,4,1,25,0.53,0.13,0,0,,0,0
126,MartÌn Demichelis,ar ARG,DF,Espanyol,35,1980,1.1,0,0,0,,0,0,,,,0,0
127,Deyverson,br BRA,FW,AlavÈs,25,1991,28.7,7,56,22,39.3,1.95,0.77,0.13,0.32,,0,0
128,Marcelo DÌaz,cl CHI,MF,Celta Vigo,29,1986,18.3,1,12,2,16.7,0.66,0.11,0.08,0.5,,0,0
129,VÌctor DÌaz,es ESP,DF,LeganÈs,28,1988,20.1,1,15,6,40,0.75,0.3,0.07,0.17,,0,0
130,Didier Digard,fr FRA,MF,Osasuna,30,1986,2.1,0,1,0,0,0.47,0,0,,,0,0
131,Lucas Digne,fr FRA,DF,Barcelona,23,1993,13,0,5,1,20,0.38,0.08,0,0,,0,0
132,Papakouli Diop,sn SEN,MF,Espanyol,30,1986,10.1,0,4,0,0,0.4,0,0,,,0,0
133,Jaume DomÈnech,es ESP,GK,Valencia,25,1990,3,0,0,0,,0,0,,,,0,0
134,Ryan Donk,sr SUR,"MF,DF",Betis,30,1986,9.5,0,3,0,0,0.31,0,0,,,0,0
135,Jonathan dos Santos,mx MEX,MF,Villarreal,26,1990,24.6,2,41,7,17.1,1.67,0.28,0.05,0.29,,0,0
136,Mauro dos Santos,ar ARG,DF,Eibar,27,1989,8.5,0,3,0,0,0.35,0,0,,,0,0
137,Douglas,br BRA,"DF,MF",Sporting GijÛn,25,1990,19.1,3,15,5,33.3,0.79,0.26,0.2,0.6,,0,0
138,”scar Duarte,cr CRC,DF,Espanyol,27,1989,12.5,0,6,0,0,0.48,0,0,,,0,0
139,RubÈn Duarte,es ESP,DF,Espanyol,20,1995,1.1,0,0,0,,0,0,,,,0,0
140,Duda,pt POR,MF,M·laga,36,1980,4.3,1,6,1,16.7,1.39,0.23,0.17,1,,0,0
141,Riza Durmisi,dk DEN,DF,Betis,22,1994,26.5,1,22,4,18.2,0.83,0.15,0.05,0.25,,0,0
142,Elderson EchiÈjilÈ,ng NGA,DF,Sporting GijÛn,28,1988,2.2,1,2,1,50,0.91,0.45,0.5,1,,0,0
143,Aritz Elustondo,es ESP,DF,Real Sociedad,22,1994,5.1,0,4,0,0,0.78,0,0,,,0,0
144,Gorka Elustondo,es ESP,DF,Athletic Club,29,1987,1.2,0,1,1,100,0.85,0.85,0,0,,0,0
145,Rodrigo Ely,br BRA,DF,AlavÈs,22,1993,8.8,1,8,1,12.5,0.91,0.11,0.13,1,,0,0
146,Youssef En-Nesyri,ma MAR,FW,M·laga,19,1997,3.7,1,15,7,46.7,4.02,1.87,0.07,0.14,,0,0
147,Sergi Enrich,es ESP,FW,Eibar,26,1990,31.4,11,64,26,40.6,2.04,0.83,0.17,0.42,,0,0
148,Juanan Entrena,es ESP,MF,Granada,20,1996,1.1,0,6,2,33.3,5.24,1.75,0,0,,0,0
149,Javier Eraso,es ESP,MF,Athletic Club,26,1990,4.2,0,5,0,0,1.19,0,0,,,0,0
150,Gonzalo Escalante,ar ARG,MF,Eibar,23,1993,22.4,2,24,6,25,1.07,0.27,0.08,0.33,,0,0
151,Sergio Escudero,es ESP,"DF,MF",Sevilla,26,1989,25.4,0,33,11,33.3,1.3,0.43,0,0,,0,0
152,Cristian Espinoza,ar ARG,MF,AlavÈs,21,1995,1.8,0,2,1,50,1.1,0.55,0,0,,0,0
153,Pervis EstupiÒ·n,ec ECU,DF,Granada,18,1998,2,0,1,1,100,0.5,0.5,0,0,,0,0
154,BeÒat Etxebarria,es ESP,MF,Athletic Club,29,1987,26.7,1,35,11,31.4,1.31,0.41,0.03,0.09,,0,0
155,Xabier Etxeita,es ESP,DF,Athletic Club,28,1987,7.9,0,3,1,33.3,0.38,0.13,0,0,,0,0
156,Edu ExpÛsito,es ESP,MF,La CoruÒa,19,1996,0.5,0,1,0,0,2.05,0,0,,,0,0
157,Erik ExpÛsito,es ESP,FW,Las Palmas,20,1996,1.8,0,1,1,100,0.54,0.54,0,0,,0,0
158,FayÁal Fajr,ma MAR,MF,La CoruÒa,27,1988,13.4,0,20,8,40,1.49,0.6,0,0,,0,1
159,Zouhair Feddal,ma MAR,DF,AlavÈs,27,1989,24.9,2,10,4,40,0.4,0.16,0.2,0.5,,0,0
160,Kiko FemenÌa,es ESP,DF,AlavÈs,25,1991,27.8,0,5,1,20,0.18,0.04,0,0,,0,0
161,¡Ålvaro Fern·ndez,es ESP,GK,Osasuna,18,1998,0.5,0,0,0,,0,0,,,,0,0
162,AndrÈs Fern·ndez,es ESP,GK,Villarreal,29,1986,14.6,0,0,0,,0,0,,,,0,0
163,Augusto Fern·ndez,ar ARG,MF,AtlÈtico Madrid,30,1986,1.6,0,0,0,,0,0,,,,0,0
164,Carlos Fern·ndez,es ESP,FW,Sevilla,20,1996,1,1,3,2,66.7,3.03,2.02,0.33,0.5,,0,0
165,Mario Fern·ndez,es ESP,GK,Osasuna,28,1988,6.5,0,0,0,,0,0,,,,0,0
166,Pablo Fern·ndez,es ESP,MF,Sporting GijÛn,19,1996,0.2,0,1,0,0,4.09,0,0,,,0,0
167,Javier FlaÒo,es ESP,DF,Osasuna,31,1984,1.5,0,1,0,0,0.69,0,0,,,0,0
168,Miguel FlaÒo,es ESP,DF,Osasuna,31,1984,11.5,1,6,2,33.3,0.52,0.17,0.17,0.5,,0,0
169,Andreu Font‡s,es ESP,DF,Celta Vigo,26,1989,16.2,1,3,1,33.3,0.18,0.06,0.33,1,,0,0
170,Pablo Fornals,es ESP,MF,M·laga,20,1996,29.6,6,41,10,24.4,1.38,0.34,0.15,0.6,,0,0
171,Dimitri Foulquier,fr FRA,DF,Granada,23,1993,20.8,0,3,0,0,0.14,0,0,,,0,0
172,Javi Fuego,es ESP,MF,Espanyol,32,1984,28.5,1,10,3,30,0.35,0.11,0.1,0.33,,0,0
173,Gabi,es ESP,MF,AtlÈtico Madrid,33,1983,32.1,0,25,5,20,0.78,0.16,0,0,,0,1
174,Gabriel,br BRA,"MF,FW",LeganÈs,22,1993,30.5,5,56,18,32.1,1.84,0.59,0.09,0.28,,0,0
175,Nicol·s Gait·n,ar ARG,MF,AtlÈtico Madrid,28,1988,11.4,3,10,7,70,0.88,0.61,0.3,0.43,,0,0
176,¡Ålex G·lvez,es ESP,DF,Eibar,27,1989,14.8,0,5,2,40,0.34,0.14,0,0,,0,0
177,Bruno Gama,pt POR,MF,La CoruÒa,28,1987,16,0,27,7,25.9,1.69,0.44,0,0,,0,0
178,KÈvin Gameiro,fr FRA,FW,AtlÈtico Madrid,29,1987,19,12,50,23,46,2.64,1.21,0.22,0.48,,1,1
179,Ganso,br BRA,MF,Sevilla,26,1989,5.4,2,11,6,54.5,2.04,1.11,0.18,0.33,,0,0
180,Ezequiel Garay,ar ARG,DF,Valencia,29,1986,26,4,12,7,58.3,0.46,0.27,0.33,0.57,,0,0
181,Dani GarcÌa,es ESP,MF,Eibar,26,1990,35.4,1,20,3,15,0.57,0.08,0.05,0.33,,0,0
182,David GarcÌa,es ESP,DF,Osasuna,22,1994,24.3,1,9,4,44.4,0.37,0.16,0.11,0.25,,0,0
183,David GarcÌa,es ESP,DF,Las Palmas,34,1982,18.3,1,11,4,36.4,0.6,0.22,0.09,0.25,,0,0
184,Imanol GarcÌa,es ESP,"MF,DF",Osasuna,20,1995,5.8,0,5,0,0,0.86,0,0,,,0,0
185,Manu GarcÌa,es ESP,MF,AlavÈs,30,1986,22.3,3,25,7,28,1.12,0.31,0.08,0.29,,1,1
186,Mateo GarcÌa,ar ARG,"FW,MF",Las Palmas,19,1996,8,2,8,3,37.5,0.99,0.37,0.25,0.67,,0,0
187,Ra˙l GarcÌa,es ESP,MF,Athletic Club,30,1986,31.9,10,96,40,41.7,3.01,1.25,0.07,0.18,,3,3
188,Ra˙l GarcÌa,es ESP,DF,AlavÈs,27,1989,14.1,0,3,0,0,0.21,0,0,,,0,0
189,Samu GarcÌa,es ESP,MF,LeganÈs,26,1990,5.9,0,8,1,12.5,1.36,0.17,0,0,,0,0
190,Unai GarcÌa,es ESP,DF,Osasuna,24,1992,20.8,0,9,0,0,0.43,0,0,,,0,0
191,Mario Gaspar,es ESP,DF,Villarreal,25,1990,36,0,33,12,36.4,0.92,0.33,0,0,,0,0
192,Jon GaztaÒaga,es ESP,"DF,MF",Real Sociedad,25,1991,0.3,0,1,0,0,3.46,0,0,,,0,0
193,Carles Gil,es ESP,MF,La CoruÒa,23,1992,15.6,1,17,6,35.3,1.09,0.38,0.06,0.17,,0,0
194,Nacho Gil,es ESP,MF,Valencia,20,1995,0,0,0,0,,0,0,,,,0,0
195,Dani GimÈnez,es ESP,GK,Betis,33,1983,1,0,0,0,,0,0,,,,0,0
196,Diego GodÌn,uy URU,DF,AtlÈtico Madrid,30,1986,30.1,3,29,7,24.1,0.96,0.23,0.1,0.43,,0,0
197,AndrÈ Gomes,pt POR,MF,Barcelona,23,1993,17.7,3,19,7,36.8,1.07,0.4,0.16,0.43,,0,0
198,Ibai GÛmez,es ESP,MF,AlavÈs,26,1989,20.2,5,51,21,41.2,2.53,1.04,0.1,0.24,,0,0
199,Moi GÛmez,es ESP,MF,Sporting GijÛn,22,1994,20.7,2,21,6,28.6,1.01,0.29,0.05,0.17,,1,1
200,Sergi GÛmez,es ESP,DF,Celta Vigo,24,1992,21.2,0,3,1,33.3,0.14,0.05,0,0,,0,0
201,Vicente GÛmez,es ESP,MF,Las Palmas,27,1988,25.7,2,23,10,43.5,0.9,0.39,0.09,0.2,,0,0
202,Adri·n Gonz·lez,es ESP,MF,Eibar,28,1988,17,7,43,20,46.5,2.53,1.18,0.05,0.1,,5,5
203,¡Ålvaro Gonz·lez,es ESP,DF,Villarreal,26,1990,21,1,7,2,28.6,0.33,0.1,0.14,0.5,,0,0
204,¡Ålvaro Gonz·lez,es ESP,DF,Espanyol,26,1990,2,0,2,0,0,1,0,0,,,0,0
205,Bruno Gonz·lez,es ESP,DF,Betis,26,1990,14.8,1,3,1,33.3,0.2,0.07,0.33,1,,0,0
206,Diego Gonz·lez,es ESP,DF,Sevilla,21,1995,0.4,0,0,0,,0,0,,,,0,0
207,Mario Gonz·lez,es ESP,FW,Villarreal,20,1996,0.3,0,0,0,,0,0,,,,0,0
208,Mikel Gonz·lez,es ESP,DF,Real Sociedad,30,1985,7.4,0,2,0,0,0.27,0,0,,,0,0
209,Esteban Granero,es ESP,MF,Real Sociedad,29,1987,7.7,0,10,3,30,1.29,0.39,0,0,,0,0
210,Antoine Griezmann,fr FRA,FW,AtlÈtico Madrid,25,1991,33.9,16,88,41,46.6,2.59,1.21,0.18,0.39,,0,2
211,John Guidetti,se SWE,FW,Celta Vigo,24,1992,11.8,4,19,9,47.4,1.61,0.76,0.16,0.33,,1,1
212,Guilherme,br BRA,MF,La CoruÒa,25,1991,25.3,2,29,6,20.7,1.15,0.24,0.07,0.33,,0,0
213,Jon Guridi,es ESP,MF,Real Sociedad,21,1995,0.8,0,0,0,,0,0,,,,0,0
214,Felipe GutiÈrrez,cl CHI,MF,Betis,25,1990,8.4,1,7,2,28.6,0.83,0.24,0.14,0.5,,0,0
215,Munir El Haddadi,ma MAR,"FW,MF",Valencia,20,1995,22.6,6,49,19,38.8,2.17,0.84,0.12,0.32,,0,0
216,Munir El Haddadi,ma MAR,"FW,MF",Barcelona,20,1995,0.2,0,0,0,,0,0,,,,0,0
217,Alen Halilovi?,hr CRO,"MF,FW",Las Palmas,20,1996,7.2,0,17,7,41.2,2.35,0.97,0,0,,0,0
218,Uche Henry Agbo,ng NGA,MF,Granada,20,1995,26.4,0,13,2,15.4,0.49,0.08,0,0,,0,0
219,Hern·n,es ESP,MF,Las Palmas,25,1990,3.2,0,6,0,0,1.85,0,0,,,0,0
220,HÈctor Hern·ndez,es ESP,DF,Real Sociedad,25,1991,2.8,0,3,0,0,1.06,0,0,,,0,0
221,HÈctor Hern·ndez,es ESP,"DF,MF",Granada,25,1991,10.1,0,3,0,0,0.3,0,0,,,0,0
222,Lucas Hern·ndez,fr FRA,DF,AtlÈtico Madrid,20,1996,13.9,0,1,0,0,0.07,0,0,,,0,0
