,,,,,,,,,Standard,,,,,,,,Performance,
69,Darko Brasanac,rs SRB,MF,Osasuna,27,1992,24.9,0,21,7,33.3,0.84,0.28,0,0,11.2,0,0
70,Yan Brice Eteki,cm CMR,MF,Granada,21,1997,16.7,0,7,0,0,0.42,0,0,,19,0,0
71,Bryan,es ESP,"MF,FW",Leganés,18,2001,6.2,1,14,4,28.6,2.26,0.65,0.07,0.25,18,0,0
72,Bryan,es ESP,FW,Sevilla,18,2001,0.7,0,0,0,,0,0,,,,0,0
73,Ante Budimir,hr CRO,FW,Mallorca,28,1991,30.7,13,54,20,37,1.76,0.65,0.2,0.55,12,2,2
74,Esteban Burgos,ar ARG,DF,Eibar,27,1992,12.4,1,2,1,50,0.16,0.08,0.5,1,9.5,0,0
75,Burgui,es ESP,MF,Alavés,25,1993,0.2,0,0,0,,0,0,,,,0,0
76,Oliver Burke,sct SCO,"MF,FW",Alavés,22,1997,15.9,1,20,9,45,1.26,0.57,0.05,0.11,14.2,0,0
77,Sergio Busquets,es ESP,MF,Barcelona,31,1988,27.6,2,10,4,40,0.36,0.14,0.2,0.5,15.6,0,0
78,Unai Bustinza,es ESP,DF,Leganés,27,1992,29.8,0,7,3,42.9,0.23,0.1,0,0,12.6,0,0
79,Erick Cabaco,uy URU,DF,Getafe,24,1995,3,0,1,0,0,0.34,0,0,,6,0,0
80,Erick Cabaco,uy URU,DF,Levante,24,1995,9,0,4,0,0,0.44,0,0,,15.5,0,0
81,Ariday Cabrera,es ESP,"MF,FW",Mallorca,30,1988,0.4,0,1,1,100,2.43,2.43,0,0,20.2,0,0
82,Leandro Cabrera,uy URU,DF,Getafe,28,1991,17,2,9,3,33.3,0.53,0.18,0.22,0.67,12.7,0,0
83,Leandro Cabrera,uy URU,DF,Espanyol,28,1991,17,0,1,0,0,0.06,0,0,,19,0,0
84,Fernando Calero,es ESP,DF,Espanyol,23,1995,11.6,0,0,0,,0,0,,,,0,0
85,Jonathan Calleri,ar ARG,FW,Espanyol,25,1993,20.1,1,46,14,30.4,2.29,0.7,0.02,0.07,11.8,0,0
86,Víctor Camarasa,es ESP,MF,Alavés,25,1994,14.4,0,8,2,25,0.56,0.14,0,0,24,0,0
87,Sergio Camello,es ESP,FW,Atlético Madrid,18,2001,0.3,0,0,0,,0,0,,,,0,0
88,José Campaña,es ESP,MF,Levante,26,1993,35.1,2,44,8,18.2,1.25,0.23,0.05,0.25,21.7,0,0
89,Xisco Campos,es ESP,DF,Mallorca,37,1982,5.3,0,4,0,0,0.76,0,0,,13,0,0
90,Víctor Campuzano,es ESP,"FW,MF",Espanyol,22,1997,9.7,0,18,7,38.9,1.86,0.72,0,0,16,0,0
91,Sergio Canales,es ESP,"MF,FW",Betis,28,1991,35.1,6,47,14,29.8,1.34,0.4,0.06,0.21,21,3,4
92,Ander Capa,es ESP,DF,Athletic Club,27,1992,31.9,3,17,7,41.2,0.53,0.22,0.18,0.43,21,0,0
93,Marc Cardona,es ESP,FW,Osasuna,24,1995,7.8,1,13,4,30.8,1.66,0.51,0.08,0.25,15.7,0,0
94,Diego Carlos,br BRA,DF,Sevilla,26,1993,34.8,2,20,2,10,0.57,0.06,0.1,1,12.4,0,0
95,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,25,1993,7,1,17,6,35.3,2.42,0.86,0.06,0.17,19.5,0,0
96,Daniel Carriço,pt POR,DF,Sevilla,30,1988,9.4,0,4,0,0,0.43,0,0,,19.7,0,0
97,Guido Carrillo,ar ARG,FW,Leganés,28,1991,13.5,1,35,12,34.3,2.6,0.89,0.03,0.08,10.5,0,0
98,Dani Carvajal,es ESP,DF,Real Madrid,27,1992,30.4,1,20,9,45,0.66,0.3,0.05,0.11,19.4,0,0
99,William Carvalho,pt POR,MF,Betis,27,1992,9.9,0,6,2,33.3,0.61,0.2,0,0,21.1,0,0
100,Casemiro,br BRA,MF,Real Madrid,27,1992,34.3,4,44,12,27.3,1.28,0.35,0.09,0.33,21.4,0,0
101,Santi Cazorla,es ESP,MF,Villarreal,34,1984,27.2,11,39,14,35.9,1.43,0.51,0.08,0.21,23.9,8,8
102,Sofian Chakla,ma MAR,DF,Villarreal,25,1993,2,0,1,0,0,0.5,0,0,,13,0,0
103,Charles,br BRA,FW,Eibar,35,1984,14.5,6,23,9,39.1,1.59,0.62,0.22,0.56,14.1,1,2
104,Pablo Chavarría,ar ARG,"FW,MF",Mallorca,31,1988,2.3,0,5,0,0,2.15,0,0,,12.1,0,0
105,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,21,1997,6.7,0,2,0,0,0.3,0,0,,15.5,0,0
106,Chema,es ESP,DF,Getafe,27,1992,3.4,0,3,0,0,0.87,0,0,,12,0,0
107,Denis Cheryshev,ru RUS,"MF,FW",Valencia,28,1990,10.3,1,21,7,33.3,2.04,0.68,0.05,0.14,19.3,0,0
108,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,20,1999,22.8,3,50,11,22,2.2,0.48,0.06,0.27,17.8,0,0
109,Churripi,es ESP,GK,Valladolid,25,1994,2.7,0,0,0,,0,0,,,,0,0
110,Jasper Cillessen,nl NED,GK,Valencia,30,1989,23.3,0,0,0,,0,0,,,,0,0
111,Óscar Clemente,es ESP,MF,Atlético Madrid,20,1999,0,0,0,0,,0,0,,,,0,0
112,Carlos Clerc,es ESP,DF,Levante,27,1992,20.5,0,4,2,50,0.19,0.1,0,0,21.1,0,0
113,Coke,es ESP,DF,Levante,32,1987,11,1,8,2,25,0.73,0.18,0.13,0.5,12.4,0,0
114,Álex Collado,es ESP,DF,Barcelona,20,1999,0.1,0,0,0,,0,0,,,,0,0
115,Francis Coquelin,fr FRA,MF,Valencia,28,1991,21.2,0,10,1,10,0.47,0.05,0,0,17.4,0,0
116,Sébastien Corchia,fr FRA,DF,Espanyol,28,1990,3,0,3,1,33.3,1,0.33,0,0,22.2,0,0
117,Iñigo Córdoba,es ESP,FW,Athletic Club,22,1997,16,1,25,8,32,1.56,0.5,0.04,0.13,18.3,0,0
118,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,24,1995,22.9,5,44,17,38.6,1.92,0.74,0.11,0.29,15.1,0,0
119,Rober Correa,es ESP,DF,Eibar,26,1992,10.3,0,5,2,40,0.48,0.19,0,0,21.3,0,0
120,Thierry Correia,pt POR,DF,Valencia,20,1999,2.9,0,1,0,0,0.35,0,0,,27.7,0,0
121,Antonio Cortés,es ESP,"FW,MF",Granada,19,2000,2,1,3,2,66.7,1.49,0.99,0.33,0.5,9.8,0,0
122,Diego Costa,es ESP,FW,Atlético Madrid,30,1988,15,5,33,8,24.2,2.2,0.53,0.09,0.38,11.5,2,3
123,Jaume Costa,es ESP,DF,Valencia,31,1988,15.4,0,2,1,50,0.13,0.06,0,0,22.5,0,0
124,David Costas,es ESP,DF,Celta Vigo,24,1995,3.8,0,1,0,0,0.27,0,0,,5.8,0,0
125,Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34,0,1,1,100,0.03,0.03,0,0,7,0,0
126,Sebastián Cristóforo,uy URU,MF,Eibar,25,1993,9.7,0,7,3,42.9,0.72,0.31,0,0,26.6,0,0
127,Cucho,co COL,"FW,MF",Mallorca,20,1999,16.5,5,45,14,31.1,2.72,0.85,0.11,0.36,16.2,0,0
128,Marc Cucurella,es ESP,"MF,DF",Getafe,21,1998,36,1,31,6,19.4,0.86,0.17,0.03,0.17,19.5,0,0
129,Iván Cuéllar,es ESP,GK,Leganés,35,1984,27,0,0,0,,0,0,,,,0,0
130,Moanes Dabbur,il ISR,FW,Sevilla,27,1992,0.3,0,2,0,0,6.92,0,0,,11.3,0,0
131,Sergi Darder,es ESP,"MF,FW",Espanyol,25,1993,29.5,2,52,9,17.3,1.76,0.3,0.04,0.22,23.6,0,0
132,Ousmane Dembélé,fr FRA,FW,Barcelona,22,1997,4,1,5,2,40,1.26,0.5,0.2,0.5,15.2,0,0
133,Deyverson,br BRA,FW,Getafe,28,1991,2.3,0,4,1,25,1.76,0.44,0,0,27.2,0,0
134,Mouctar Diakhaby,gn GUI,DF,Valencia,22,1996,16,0,1,1,100,0.06,0.06,0,0,11.4,0,0
135,Brahim Díaz,es ESP,"FW,MF",Real Madrid,19,1999,0.7,0,3,2,66.7,4.15,2.77,0,0,15.5,0,0
136,Víctor Díaz,es ESP,DF,Granada,31,1988,32,1,16,1,6.3,0.5,0.03,0.06,1,24.4,0,0
137,Papakouli Diop,sn SEN,MF,Eibar,33,1986,25,1,26,7,26.9,1.04,0.28,0.04,0.14,22.4,0,0
138,Djené,tg TOG,DF,Getafe,27,1991,34,0,5,1,20,0.15,0.03,0,0,11.6,0,0
139,Naïs Djouahra,fr FRA,"FW,DF",Real Sociedad,19,1999,0.3,0,1,0,0,3.1,0,0,,16.1,0,0
140,Marko Dmitrovi?,rs SRB,GK,Eibar,27,1992,35,0,1,1,100,0.03,0.03,0,0,7,0,0
141,Jaume Doménech,es ESP,GK,Valencia,28,1990,14.7,0,0,0,,0,0,,,,0,0
142,Domingos Duarte,pt POR,DF,Granada,24,1995,34.3,3,10,4,40,0.29,0.12,0.3,0.75,7.6,0,0
143,Óscar Duarte,cr CRC,DF,Levante,30,1989,5.4,0,4,1,25,0.74,0.19,0,0,8.1,0,0
144,Rubén Duarte,es ESP,DF,Alavés,23,1995,29.6,0,20,8,40,0.68,0.27,0,0,17.3,0,0
145,Hugo Duro,es ESP,"FW,MF",Getafe,19,1999,4.2,1,6,3,50,1.43,0.71,0.17,0.33,9.5,0,0
146,Aritz Elustondo,es ESP,DF,Real Sociedad,25,1994,16.8,0,8,1,12.5,0.48,0.06,0,0,9.5,0,0
147,Rodrigo Ely,br BRA,DF,Alavés,25,1993,23.6,2,6,3,50,0.25,0.13,0.33,0.67,8.3,0,0
148,Adri Embarba,es ESP,"MF,FW",Espanyol,27,1992,15.2,2,37,14,37.8,2.43,0.92,0.03,0.07,25.4,1,1
149,Emerson,br BRA,DF,Betis,20,1999,31.5,3,23,4,17.4,0.73,0.13,0.13,0.75,15.8,0,0
150,Youssef En-Nesyri,ma MAR,FW,Sevilla,22,1997,8.8,4,21,8,38.1,2.37,0.9,0.19,0.5,10.9,0,0
151,Youssef En-Nesyri,ma MAR,FW,Leganés,22,1997,15.4,4,39,18,46.2,2.53,1.17,0.1,0.22,14.5,0,0
152,Sergi Enrich,es ESP,FW,Eibar,29,1990,20.7,1,30,6,20,1.45,0.29,0.03,0.17,10.3,0,0
153,Javier Eraso,es ESP,"MF,FW",Leganés,29,1990,9.1,0,10,4,40,1.1,0.44,0,0,18.3,0,0
154,Gonzalo Escalante,ar ARG,MF,Eibar,26,1993,18.6,0,23,5,21.7,1.24,0.27,0,0,14.2,0,0
155,Aarón Escandell,es ESP,GK,Granada,23,1995,3,0,0,0,,0,0,,,,0,0
156,Sergio Escudero,es ESP,DF,Sevilla,29,1989,8.6,1,8,6,75,0.93,0.7,0.13,0.17,19.8,0,0
157,Bernardo Espinosa,co COL,DF,Espanyol,30,1989,25.1,3,22,8,36.4,0.88,0.32,0.14,0.38,9.5,0,0
158,Vicente Esquerdo,es ESP,"MF,FW",Valencia,20,1999,0.2,0,0,0,,0,0,,,,0,0
159,Pervis Estupiñán,ec ECU,DF,Osasuna,21,1998,33.1,1,18,3,16.7,0.54,0.09,0.06,0.33,18.1,0,0
160,Oghenekaro Etebo,ng NGA,MF,Getafe,23,1995,6.4,1,9,3,33.3,1.42,0.47,0.11,0.33,16.2,0,0
161,Beñat Etxebarria,es ESP,MF,Athletic Club,32,1987,4.4,0,5,2,40,1.14,0.46,0,0,26.3,0,0
162,Xabier Etxeita,es ESP,DF,Getafe,31,1987,16.1,0,7,2,28.6,0.44,0.12,0,0,11,0,0
163,Edu Expósito,es ESP,MF,Eibar,22,1996,25.7,4,33,16,48.5,1.28,0.62,0.09,0.19,24,1,2
164,Fabricio,es ESP,GK,Mallorca,31,1987,1,0,0,0,,0,0,,,,0,0
165,Fayçal Fajr,ma MAR,MF,Getafe,30,1988,4.5,0,8,2,25,1.79,0.45,0,0,22.9,0,0
166,Eliseo Falcon,es ESP,"DF,MF",Levante,22,1997,0.8,0,0,0,,0,0,,,,0,0
167,Ansu Fati,es ESP,"FW,DF",Barcelona,16,2002,11.4,7,33,12,36.4,2.89,1.05,0.21,0.58,15.1,0,0
168,Aleix Febas,es ESP,MF,Mallorca,23,1996,18.8,0,8,3,37.5,0.43,0.16,0,0,20.2,0,0
169,Zouhair Feddal,ma MAR,DF,Betis,30,1989,15.9,1,9,3,33.3,0.57,0.19,0.11,0.33,12.7,0,0
170,Ljubomir Fejsa,rs SRB,MF,Alavés,30,1988,8.7,0,1,0,0,0.11,0,0,,29.2,0,0
171,Nabil Fekir,fr FRA,"MF,FW",Betis,26,1993,29.3,7,101,40,39.6,3.45,1.36,0.06,0.15,20.7,1,1
172,Felipe,br BRA,DF,Atlético Madrid,30,1989,23.4,1,20,5,25,0.86,0.21,0.05,0.2,10.8,0,0
173,João Félix,pt POR,"FW,MF",Atlético Madrid,19,1999,19.4,6,64,18,28.1,3.3,0.93,0.09,0.33,18.2,0,0
174,Matheus Fernandes,br BRA,MF,Valladolid,21,1998,1.8,0,2,0,0,1.08,0,0,,11.7,0,0
175,Aitor Fernández,es ESP,GK,Levante,28,1991,36,0,0,0,,0,0,,,,0,0
176,Andrés Fernández,es ESP,GK,Villarreal,32,1986,4,0,0,0,,0,0,,,,0,0
177,Carlos Fernández,es ESP,"FW,MF",Granada,23,1996,24.5,10,45,18,40,1.84,0.74,0.2,0.5,15,1,1
178,Gabriel Fernández,uy URU,"FW,MF",Celta Vigo,25,1994,6.2,1,7,3,42.9,1.12,0.48,0.14,0.33,10.3,0,0
179,Joaquín Fernández,es ESP,"MF,DF",Valladolid,23,1996,18.4,2,10,4,40,0.54,0.22,0.2,0.5,17.3,0,0
180,Fernando,br BRA,MF,Sevilla,32,1987,29.5,2,14,6,42.9,0.47,0.2,0.14,0.33,10.1,0,0
181,Facundo Ferreyra,ar ARG,FW,Espanyol,28,1991,6.4,1,7,6,85.7,1.1,0.94,0.14,0.17,15.6,0,0
182,Junior Firpo,es ESP,DF,Barcelona,22,1996,11.3,1,4,1,25,0.36,0.09,0.25,1,14.7,0,0
183,Alessandro Florenzi,it ITA,DF,Valencia,28,1991,8.4,0,8,1,12.5,0.96,0.12,0,0,19.3,0,0
184,Hernâni Fortes,pt POR,"MF,FW",Levante,27,1991,7.3,2,22,9,40.9,3.03,1.24,0.09,0.22,18.9,0,0
185,Dimitri Foulquier,fr FRA,DF,Granada,26,1993,12.4,1,5,2,40,0.4,0.16,0.2,0.5,18,0,0
186,Jorge de Frutos,es ESP,"MF,DF",Valladolid,22,1997,0.7,0,1,0,0,1.53,0,0,,10.6,0,0
187,Ramiro Funes Mori,ar ARG,DF,Villarreal,28,1991,5,0,3,0,0,0.6,0,0,,26.7,0,0
188,Enric Gallego,es ESP,"FW,MF",Getafe,32,1986,1.8,0,3,1,33.3,1.65,0.55,0,0,11.2,0,0
189,Enric Gallego,es ESP,FW,Osasuna,32,1986,9.8,3,21,7,33.3,2.15,0.72,0.14,0.43,11.6,0,0
190,Kévin Gameiro,fr FRA,FW,Valencia,32,1987,17.6,6,19,10,52.6,1.08,0.57,0.32,0.6,13.7,0,1
191,Fran Gámez,es ESP,DF,Mallorca,28,1991,19.6,0,15,2,13.3,0.76,0.1,0,0,19.9,0,0
192,Ezequiel Garay,ar ARG,DF,Valencia,32,1986,16,0,7,3,42.9,0.44,0.19,0,0,11.3,0,0
193,Dani García,es ESP,MF,Athletic Club,29,1990,33.7,0,14,0,0,0.42,0,0,,21.5,0,0
194,David García,es ESP,DF,Osasuna,25,1994,31,0,19,5,26.3,0.61,0.16,0,0,10.3,0,0
195,Javi García,es ESP,MF,Betis,32,1987,4.2,0,4,1,25,0.95,0.24,0,0,12.9,0,0
196,Manu García,es ESP,MF,Alavés,33,1986,21.9,0,20,7,35,0.92,0.32,0,0,12.8,0,0
197,Raúl García,es ESP,DF,Getafe,30,1989,2.7,0,0,0,,0,0,,,,0,0
198,Raúl García,es ESP,"MF,FW",Athletic Club,33,1986,31.9,15,75,27,36,2.35,0.85,0.11,0.3,18.7,7,7
199,Raúl García,es ESP,"DF,MF",Valladolid,30,1989,11.2,0,8,3,37.5,0.71,0.27,0,0,28.5,0,0
200,Rubén García,es ESP,"MF,FW",Osasuna,26,1993,24.3,8,52,19,36.5,2.14,0.78,0.13,0.37,19.7,1,1
201,Unai García,es ESP,DF,Osasuna,27,1992,6,1,2,1,50,0.34,0.17,0.5,1,7,0,0
202,Víctor García,es ESP,"FW,MF",Valladolid,22,1997,1,1,2,1,50,2.05,1.02,0.5,1,10.3,0,0
203,Manuel Garrido,es ESP,FW,Leganés,18,2000,1.3,0,1,1,100,0.78,0.78,0,0,14,0,0
204,Mario Gaspar,es ESP,DF,Villarreal,28,1990,21.8,0,14,1,7.1,0.64,0.05,0,0,17.4,0,0
205,José Antonio Martínez Gil,es ESP,DF,Granada,26,1993,13.2,0,2,0,0,0.15,0,0,,11.5,0,0
206,Ibai Gómez,es ESP,FW,Athletic Club,29,1989,7.7,0,14,5,35.7,1.81,0.65,0,0,19.7,0,0
207,Maxi Gómez,uy URU,FW,Valencia,22,1996,23.8,9,39,19,48.7,1.64,0.8,0.23,0.47,13.1,0,1
208,Moi Gómez,es ESP,"FW,MF",Villarreal,25,1994,25.8,5,37,14,37.8,1.44,0.54,0.14,0.36,21,0,0
209,Sergi Gómez,es ESP,DF,Sevilla,27,1992,8,0,3,0,0,0.38,0,0,,16,0,0
210,Maxime Gonalons,fr FRA,MF,Granada,30,1989,16.7,0,6,3,50,0.36,0.18,0,0,19.1,0,0
211,Bruno González,es ESP,DF,Getafe,29,1990,2,0,0,0,,0,0,,,,0,0
212,Bruno González,es ESP,DF,Levante,29,1990,5.1,0,1,0,0,0.2,0,0,,14,0,0
213,Édgar González,es ESP,MF,Betis,22,1997,7.6,0,6,1,16.7,0.79,0.13,0,0,6.6,0,0
214,Gonzalo,es ESP,DF,Levante,22,1997,0.1,0,0,0,,0,0,,,,0,0
215,Andoni Gorosabel,es ESP,DF,Real Sociedad,22,1996,7.9,0,1,1,100,0.13,0.13,0,0,30.1,0,0
216,Esteban Granero,es ESP,MF,Espanyol,32,1987,5.3,1,7,7,100,1.33,1.33,0.14,0.14,15.2,0,0
217,Antoine Griezmann,fr FRA,FW,Barcelona,28,1991,28.3,9,55,23,41.8,1.94,0.81,0.16,0.39,14.6,0,0
218,Andrés Guardado,mx MEX,MF,Betis,32,1986,22.7,0,12,4,33.3,0.53,0.18,0,0,21,0,0
219,Sergi Guardiola,es ESP,FW,Valladolid,28,1991,29.5,8,54,19,35.2,1.83,0.64,0.15,0.42,19.5,0,1
220,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,27,1991,13.5,0,7,1,14.3,0.52,0.07,0,0,25.1,0,0
