,,,,,,,,,Standard,,,,,,,,Performance,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt
25,Antoñito,es ESP,"DF,MF",Valladolid,30,1987,20.7,2,8,2,25,0.39,0.1,0.25,1,16.1,0,0
26,Vitorino Antunes,pt POR,DF,Getafe,31,1987,24.2,1,29,6,20.7,1.2,0.25,0.03,0.17,26.8,0,0
27,Anuar,ma MAR,MF,Valladolid,23,1995,12,1,10,4,40,0.83,0.33,0.1,0.25,11.8,0,0
28,Emmanuel Apeh,ng NGA,MF,Celta Vigo,21,1996,0.2,0,0,0,,0,0,,,,0,0
29,Mauro Arambarri,uy URU,MF,Getafe,22,1995,29.7,1,26,9,34.6,0.87,0.3,0.04,0.11,24.5,0,0
30,Guilherme Arana,br BRA,"MF,DF",Sevilla,21,1997,7,0,5,2,40,0.72,0.29,0,0,17.5,0,0
31,Néstor Araujo,mx MEX,DF,Celta Vigo,26,1991,29.8,3,12,7,58.3,0.4,0.23,0.25,0.43,9.8,0,0
32,Anaitz Arbilla,es ESP,DF,Eibar,31,1987,21.7,1,19,1,5.3,0.88,0.05,0.05,1,22.9,0,0
33,Santiago Arias,co COL,DF,Atlético Madrid,26,1992,19.7,1,9,1,11.1,0.46,0.05,0.11,1,17.6,0,0
34,José Arnaiz,es ESP,"DF,MF",Leganés,23,1995,1.3,0,1,0,0,0.8,0,0,,16.6,0,0
35,Sergio Asenjo,es ESP,GK,Villarreal,29,1989,32,0,0,0,,0,0,,,,0,0
36,Marco Asensio,es ESP,FW,Real Madrid,22,1996,19.8,1,45,17,37.8,2.28,0.86,0.02,0.06,17.8,0,0
37,Iago Aspas,es ESP,FW,Celta Vigo,30,1987,25,20,64,26,40.6,2.56,1.04,0.23,0.58,16.3,5,5
38,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,24,1994,22.2,10,89,23,25.8,4.01,1.04,0.1,0.39,19.4,1,1
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,27,1991,23.4,1,9,4,44.4,0.38,0.17,0.11,0.25,8,0,0
40,Carlos Bacca,co COL,FW,Villarreal,31,1986,14.1,6,30,14,46.7,2.13,0.99,0.17,0.36,14.4,1,1
