Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee
22,Sat,2/3/2018,13:00 (12:00),Eibar,5@1,Sevilla,"5,311",Estadio Municipal de Ipurúa,Daniel Trujillo
22,Sat,2/3/2018,16:15 (15:15),Betis,2@1,Villarreal,"50,102",Estadio Benito Villamarín,Alberola Rojas
22,Sat,2/3/2018,18:30 (17:30),Alavés,2@1,Celta Vigo,"19,437",Estadio de Mendizorroza,Juan Martínez
22,Sat,2/3/2018,20:45 (19:45),Levante,2@2,Real Madrid,"23,542",Estadio Ciudad de Valencia,Mario Melero
22,Sun,2/4/2018,12:00 (11:00),Getafe,0@0,Leganés,"10,657",Coliseum Alfonso Pérez,Alfonso Ãlvarez
22,Sun,2/4/2018,16:15 (15:15),Espanyol,1@1,Barcelona,"23,287",RCDE Stadium,Jesús Gil
22,Sun,2/4/2018,18:30 (17:30),Girona,2@0,Athletic Club,"9,602",Estadi Municipal de Montilivi,José Munuera
22,Sun,2/4/2018,20:45 (19:45),Atlético Madrid,1@0,Valencia,"49,596",Estadio Wanda Metropolitano,Ignacio Iglesias
22,Mon,2/5/2018,20:00,Las Palmas,1@0,Málaga,"17,424",Estadio de Gran Canaria,Ricardo de Burgos
23,Fri,2/9/2018,21:00 (20:00),Athletic Club,0@0,Las Palmas,"33,679",San Mamés,Javier Estrada
23,Sat,2/10/2018,13:00 (12:00),Villarreal,1@2,Alavés,"14,984",Estadio de la Cerámica,Daniel Trujillo
23,Sat,2/10/2018,16:15 (15:15),Málaga,0@1,Atlético Madrid,"25,482",Estadio La Rosaleda,José Sánchez
23,Sat,2/10/2018,18:30 (17:30),Leganés,0@1,Eibar,"9,327",Estadio Municipal de Butarque,Pablo González
23,Sat,2/10/2018,20:45 (19:45),Real Madrid,5@2,Real Sociedad,"63,811",Estadio Santiago Bernabéu,Alejandro Hernández
23,Sun,2/11/2018,12:00 (11:00),Sevilla,1@0,Girona,"33,129",Estadio Ramón Sánchez Pizjuán,Santiago Jaime
23,Sun,2/11/2018,16:15 (15:15),Barcelona,0@0,Getafe,"75,681",Camp Nou,David Fernández
23,Sun,2/11/2018,18:30 (17:30),Celta Vigo,2@2,Espanyol,"15,649",Estadio de Balaídos,José González
23,Sun,2/11/2018,20:45 (19:45),Valencia,3@1,Levante,"38,199",Estadio de Mestalla,David Medié
23,Mon,2/12/2018,21:00 (20:00),La Coruña,0@1,Betis,"20,490",Estadio Municipal de Riazor,Carlos del Cerro
24,Fri,2/16/2018,21:00 (20:00),Girona,3@0,Leganés,"9,142",Estadi Municipal de Montilivi,Antonio Matéu Lahoz
