,,,,,,,Total,,,,Short,,,Medium,,,Long,,
58,Markel Bergara,es ESP,MF,Getafe,0.6,13,18,72.2,225,85,5,6,83.3,6,7,85.7,1,2,50
59,Pedro Bigas,es ESP,DF,Eibar,6.5,245,300,81.7,5756,1789,49,55,89.1,130,148,87.8,62,87,71.3
60,Alejandro Blanco,es ESP,"FW,MF",Alavés,0.2,4,6,66.7,32,11,1,3,33.3,1,1,100,0,0,
61,Rubén Blanco,es ESP,GK,Celta Vigo,25,534,818,65.3,17769,13584,65,67,97,238,239,99.6,230,507,45.4
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,16.9,550,803,68.5,8961,3616,287,341,84.2,181,253,71.5,55,146,37.7
63,Emmanuel Boateng,gh GHA,FW,Levante,7.8,66,105,62.9,797,114,48,67,71.6,9,21,42.9,3,6,50
64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,2.7,46,61,75.4,563,63,32,39,82.1,8,11,72.7,2,3,66.7
65,Daniele Bonera,it ITA,DF,Villarreal,2.6,84,93,90.3,1842,687,19,20,95,48,50,96,17,22,77.3
66,Ryad Boudebouz,dz ALG,"MF,FW",Celta Vigo,8,301,397,75.8,4754,1412,162,177,91.5,90,122,73.8,32,59,54.2
67,Ryad Boudebouz,dz ALG,"MF,FW",Betis,6,282,343,82.2,4075,727,159,178,89.3,89,107,83.2,16,30,53.3
68,Sofiane Boufal,ma MAR,"MF,FW",Celta Vigo,23.2,659,872,75.6,9701,2415,382,441,86.6,188,257,73.2,48,91,52.7
69,Yassine Bounou,ma MAR,GK,Girona,31.8,660,984,67.1,21715,15369,51,51,100,312,319,97.8,296,611,48.4
70,Martin Braithwaite,dk DEN,FW,Leganés,15.6,176,245,71.8,2286,367,125,157,79.6,36,53,67.9,7,11,63.6
71,Darko Brasanac,rs SRB,MF,Alavés,17.6,501,637,78.6,8261,2543,236,277,85.2,202,247,81.8,41,66,62.1
72,Rajko Brezancic,rs SRB,DF,Huesca,0.7,15,24,62.5,279,111,8,9,88.9,6,9,66.7,1,5,20
73,Bryan,es ESP,"MF,FW",Sevilla,1.9,52,78,66.7,593,158,32,39,82.1,12,21,57.1,1,5,20
74,Burgui,es ESP,"MF,FW",Alavés,6.2,164,216,75.9,2599,827,88,103,85.4,57,75,76,15,23,65.2
75,Sergio Busquets,es ESP,MF,Barcelona,30.2,2152,2405,89.5,37275,11486,910,996,91.4,925,1006,91.9,232,273,85
76,Unai Bustinza,es ESP,DF,Leganés,22.5,717,1051,68.2,14328,6245,275,327,84.1,316,424,74.5,118,269,43.9
77,Erick Cabaco,uy URU,DF,Levante,18.1,514,710,72.4,10250,4914,208,236,88.1,219,281,77.9,79,171,46.2
78,Gustavo Cabral,ar ARG,DF,Celta Vigo,21.1,793,912,87,15514,5017,237,256,92.6,450,497,90.5,92,133,69.2
79,Leandro Cabrera,uy URU,DF,Getafe,31,556,1126,49.4,14398,7858,127,214,59.3,264,448,58.9,163,401,40.6
80,Jordi Calavera,es ESP,DF,Eibar,0,0,0,,0,0,0,0,,0,0,,0,0,
81,Fernando Calero,es ESP,DF,Valladolid,34.8,1218,1466,83.1,23897,9547,414,450,92,640,715,89.5,150,262,57.3
82,Jonathan Calleri,ar ARG,FW,Alavés,31.9,418,743,56.3,5955,1412,242,376,64.4,113,203,55.7,29,60,48.3
83,Juanjo Camacho,es ESP,"MF,DF",Huesca,0.4,12,24,50,103,49,9,14,64.3,1,4,25,0,3,0
84,Sergio Camello,es ESP,FW,Atlético Madrid,0.5,8,10,80,100,25,6,6,100,2,2,100,0,1,0
85,José Campaña,es ESP,MF,Levante,35.7,1617,2021,80,27765,9200,755,863,87.5,611,722,84.6,177,302,58.6
86,Sergio Canales,es ESP,MF,Betis,29.5,1581,1898,83.3,25620,5038,787,846,93,585,664,88.1,133,254,52.4
87,Ander Capa,es ESP,"DF,FW",Athletic Club,18.2,670,930,72,10178,4018,368,420,87.6,231,323,71.5,44,103,42.7
88,Marc Cardona,es ESP,"FW,MF",Eibar,6.7,121,175,69.1,1478,331,75,96,78.1,27,38,71.1,3,9,33.3
89,Daniel Carriço,pt POR,DF,Sevilla,23.7,802,1009,79.5,15263,6512,312,349,89.4,372,435,85.5,103,189,54.5
90,Guido Carrillo,ar ARG,FW,Leganés,22.1,410,650,63.1,5337,935,265,373,71,114,175,65.1,13,30,43.3
91,Dani Carvajal,es ESP,DF,Real Madrid,23.4,1575,1840,85.6,25791,7946,831,911,91.2,558,631,88.4,147,197,74.6
92,William Carvalho,pt POR,MF,Betis,26.5,1696,1912,88.7,28860,7849,806,876,92,660,717,92.1,176,223,78.9
93,Casemiro,br BRA,MF,Real Madrid,25.7,1431,1641,87.2,26905,7566,644,712,90.4,527,574,91.8,223,281,79.4
94,Santiago Cáseres,ar ARG,MF,Villarreal,17.6,784,866,90.5,15268,3775,300,322,93.2,349,374,93.3,122,145,84.1
95,Catena,es ESP,DF,Rayo Vallecano,2,85,99,85.9,1653,581,25,25,100,45,49,91.8,10,17,58.8
96,Santi Cazorla,es ESP,"MF,FW",Villarreal,29.4,1415,1750,80.9,26810,9060,619,675,91.7,548,635,86.3,213,357,59.7
97,Dani Ceballos,es ESP,"MF,FW",Real Madrid,13.9,953,1037,91.9,15425,3344,520,551,94.4,346,362,95.6,74,84,88.1
98,Charles,br BRA,FW,Eibar,19.3,381,561,67.9,4743,882,241,321,75.1,91,140,65,11,17,64.7
99,Chechu,es ESP,DF,Rayo Vallecano,1,47,52,90.4,1034,450,7,8,87.5,34,36,94.4,6,8,75
100,Chema,es ESP,DF,Levante,13.9,275,372,73.9,5585,2678,104,118,88.1,123,152,80.9,42,90,46.7
101,Denis Cheryshev,ru RUS,MF,Valencia,19,447,712,62.8,7066,2163,239,319,74.9,157,250,62.8,35,87,40.2
102,Leandro Chichizola,ar ARG,GK,Getafe,1,12,27,44.4,523,428,0,0,,3,4,75,9,23,39.1
103,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,19,377,537,70.2,6162,1562,201,246,81.7,127,170,74.7,36,56,64.3
104,Jasper Cillessen,nl NED,GK,Barcelona,3,98,111,88.3,2379,1570,19,19,100,54,55,98.2,25,37,67.6
105,Coke,es ESP,DF,Levante,20.2,696,934,74.5,11062,5019,372,440,84.5,259,327,79.2,51,108,47.2
106,Álex Collado,es ESP,FW,Barcelona,0.9,25,30,83.3,358,37,15,16,93.8,9,9,100,1,1,100
107,Santi Comesaña,es ESP,MF,Rayo Vallecano,22.6,910,1078,84.4,16841,5054,367,426,86.2,386,437,88.3,123,150,82
108,Duje ?op,hr CRO,FW,Valladolid,7.6,118,181,65.2,1475,252,79,105,75.2,25,44,56.8,5,6,83.3
109,Francis Coquelin,fr FRA,MF,Valencia,19.6,836,974,85.8,14916,4550,380,425,89.4,314,343,91.5,105,145,72.4
110,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,14.7,301,465,64.7,4222,1174,183,228,80.3,83,122,68,14,43,32.6
111,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,21.3,547,753,72.6,7219,1909,323,390,82.8,149,207,72,22,42,52.4
112,Diego Costa,es ESP,FW,Atlético Madrid,12.4,214,310,69,2551,330,129,163,79.1,44,70,62.9,10,12,83.3
113,Jaume Costa,es ESP,DF,Villarreal,16.6,768,967,79.4,12964,4939,365,408,89.5,336,402,83.6,58,119,48.7
114,David Costas,es ESP,DF,Celta Vigo,13,603,688,87.6,11990,3800,198,216,91.7,313,334,93.7,83,111,74.8
115,Thibaut Courtois,be BEL,GK,Real Madrid,27,651,841,77.4,17880,11717,77,77,100,390,393,99.2,184,368,50
116,Philippe Coutinho,br BRA,"FW,MF",Barcelona,22.4,1241,1461,84.9,17612,3634,743,823,90.3,368,416,88.5,69,115,60
117,Sebastián Cristóforo,uy URU,MF,Getafe,5,112,149,75.2,2161,731,47,54,87,48,57,84.2,15,30,50
118,Cucho,co COL,FW,Huesca,23.9,404,607,66.6,6293,1633,219,285,76.8,104,154,67.5,48,77,62.3
119,Marc Cucurella,es ESP,"MF,FW",Eibar,26.2,744,998,74.5,10562,2913,439,511,85.9,239,317,75.4,29,67,43.3
120,Iván Cuéllar,es ESP,GK,Leganés,33.9,599,1080,55.5,25351,21445,27,28,96.4,171,176,97.2,401,873,45.9
121,Sergi Darder,es ESP,MF,Espanyol,30.1,1010,1307,77.3,17918,5586,468,535,87.5,402,494,81.4,120,200,60
122,Moisés Delgado,es ESP,DF,Valladolid,3,63,101,62.4,1052,325,33,42,78.6,25,37,67.6,5,18,27.8
123,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,18.5,764,1004,76.1,11339,2356,434,510,85.1,241,321,75.1,55,93,59.1
124,Franco Di Santo,ar ARG,FW,Rayo Vallecano,1.9,23,38,60.5,317,24,13,20,65,8,14,57.1,1,1,100
125,Mouctar Diakhaby,gn GUI,DF,Valencia,17.6,592,700,84.6,11670,4175,200,225,88.9,305,338,90.2,79,118,66.9
126,Brahim Díaz,es ESP,FW,Real Madrid,4.2,142,170,83.5,1790,399,97,106,91.5,36,46,78.3,4,6,66.7
127,Javier Díaz,es ESP,GK,Sevilla,1,13,23,56.5,366,264,3,3,100,5,5,100,5,15,33.3
128,Adrián Diéguez,es ESP,DF,Huesca,8.3,151,208,72.6,2766,1141,65,76,85.5,68,86,79.1,15,41,36.6
129,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,21,417,645,64.7,13527,10691,54,55,98.2,178,184,96.7,185,401,46.1
130,Papakouli Diop,sn SEN,MF,Eibar,26.1,829,1146,72.3,15640,4202,318,414,76.8,411,521,78.9,89,157,56.7
131,Djené,tg TOG,DF,Getafe,33.1,705,991,71.1,15319,6000,193,257,75.1,385,475,81.1,119,222,53.6
132,Marko Dmitrovi?,rs SRB,GK,Eibar,24,367,760,48.3,15988,14023,24,25,96,110,111,99.1,232,622,37.3
133,Jaume Doménech,es ESP,GK,Valencia,4,59,92,64.1,2118,1850,9,9,100,15,17,88.2,35,65,53.8
134,Cheick Doukouré,ci CIV,MF,Levante,3.5,81,110,73.6,1332,390,39,56,69.6,31,38,81.6,7,10,70
135,Seydou Doumbia,ci CIV,FW,Girona,6,50,71,70.4,577,124,25,35,71.4,13,17,76.5,2,2,100
136,Óscar Duarte,cr CRC,"DF,MF",Espanyol,7.3,290,334,86.8,6120,2183,80,88,90.9,164,180,91.1,40,58,69
137,Rubén Duarte,es ESP,DF,Alavés,30.8,814,1230,66.2,14285,6793,411,481,85.4,300,445,67.4,93,256,36.3
138,Hugo Duro,es ESP,"MF,FW",Getafe,4.6,41,65,63.1,472,120,23,34,67.6,11,19,57.9,0,2,0
139,Raphael Dwamena,gh GHA,FW,Levante,2.5,29,44,65.9,405,97,16,21,76.2,10,12,83.3,1,3,33.3
140,Dennis Eckert,de GER,FW,Celta Vigo,2.4,30,43,69.8,385,52,17,21,81,11,14,78.6,0,0,
141,Aritz Elustondo,es ESP,DF,Real Sociedad,25,965,1236,78.1,17700,6581,370,422,87.7,510,611,83.5,78,159,49.1
142,Gorka Elustondo,es ESP,"MF,DF",Rayo Vallecano,3.2,118,146,80.8,2201,727,49,57,86,54,61,88.5,13,17,76.5
143,Rodrigo Ely,br BRA,DF,Alavés,4.8,114,160,71.3,2595,1273,35,40,87.5,51,67,76.1,27,47,57.4
144,Adri Embarba,es ESP,"MF,FW",Rayo Vallecano,25.4,486,823,59.1,8573,2811,218,279,78.1,168,262,64.1,69,195,35.4
145,Emerson,br BRA,"FW,DF",Betis,3.5,155,191,81.2,1864,692,94,107,87.9,37,46,80.4,5,7,71.4
146,Youssef En-Nesyri,ma MAR,FW,Leganés,23.4,279,513,54.4,4228,980,167,261,64,73,145,50.3,24,45,53.3
147,Sergi Enrich,es ESP,FW,Eibar,28.7,667,941,70.9,8211,1035,430,583,73.8,141,187,75.4,25,36,69.4
148,Javier Eraso,es ESP,"MF,FW",Leganés,7,176,234,75.2,2637,501,101,122,82.8,56,67,83.6,10,25,40
149,Gonzalo Escalante,ar ARG,MF,Eibar,19.9,591,767,77.1,10225,2183,267,329,81.2,252,295,85.4,55,87,63.2
150,Sergio Escudero,es ESP,"DF,FW",Sevilla,17.2,753,958,78.6,12000,4798,394,435,90.6,290,348,83.3,51,121,42.1
151,Bernardo Espinosa,co COL,DF,Girona,30.3,1198,1397,85.8,26059,8879,273,306,89.2,730,801,91.1,190,263,72.2
152,Beñat Etxebarria,es ESP,MF,Athletic Club,22.6,1026,1287,79.7,19358,5684,433,482,89.8,395,457,86.4,160,277,57.8
153,Xabier Etxeita,es ESP,DF,Huesca,29.7,666,899,74.1,13694,6134,220,253,87,327,404,80.9,112,213,52.6
154,Zouhair Feddal,ma MAR,DF,Betis,18.9,1104,1287,85.8,21115,6943,412,450,91.6,550,603,91.2,122,199,61.3
155,Aitor Fernández,es ESP,GK,Levante,16,279,461,60.5,9383,7505,31,32,96.9,109,111,98.2,138,313,44.1
156,Andrés Fernández,es ESP,GK,Villarreal,6,138,192,71.9,4658,3628,7,7,100,65,65,100,66,119,55.5
157,Borja Fernández,es ESP,"MF,DF",Valladolid,9.3,300,382,78.5,5851,1866,113,139,81.3,132,157,84.1,50,73,68.5
158,Joaquín Fernández,es ESP,"DF,MF",Valladolid,9.3,244,312,78.2,4456,1408,93,108,86.1,122,142,85.9,24,48,50
159,David Ferreiro,es ESP,"MF,FW",Huesca,25.3,647,1042,62.1,11351,3711,305,367,83.1,229,353,64.9,86,246,35
160,Facundo Ferreyra,ar ARG,FW,Espanyol,2.3,35,52,67.3,464,71,17,23,73.9,11,18,61.1,2,3,66.7
161,Junior Firpo,es ESP,"DF,FW",Betis,21.5,914,1138,80.3,13603,3975,534,602,88.7,311,391,79.5,47,84,56
162,Mathieu Flamini,fr FRA,MF,Getafe,5,89,135,65.9,1427,483,40,56,71.4,36,54,66.7,6,14,42.9
163,Pablo Fornals,es ESP,"MF,FW",Villarreal,27.5,897,1187,75.6,14620,4393,444,536,82.8,332,407,81.6,83,133,62.4
164,Dimitri Foulquier,fr FRA,"MF,DF",Getafe,20,276,459,60.1,4612,1616,134,182,73.6,106,162,65.4,27,57,47.4
165,Javi Fuego,es ESP,MF,Villarreal,2.6,106,144,73.6,1684,628,50,60,83.3,45,56,80.4,5,11,45.5
166,Ramiro Funes Mori,ar ARG,"DF,MF",Villarreal,29.2,985,1222,80.6,21193,7554,290,335,86.6,494,562,87.9,187,293,63.8
167,Javi Galán,es ESP,"DF,FW",Huesca,16,402,631,63.7,6147,3031,229,273,83.9,135,220,61.4,28,85,32.9
168,Álex Gallar,es ESP,"MF,FW",Huesca,11.2,326,463,70.4,5693,2070,151,189,79.9,111,150,74,44,76,57.9
169,Enric Gallego,es ESP,FW,Huesca,17.1,209,387,54,2578,729,132,215,61.4,50,100,50,6,17,35.3
170,Álex Gálvez,es ESP,DF,Rayo Vallecano,15.7,562,699,80.4,10931,4302,197,214,92.1,283,324,87.3,66,132,50
171,Kévin Gameiro,fr FRA,FW,Valencia,17.9,332,439,75.6,4217,756,205,243,84.4,88,110,80,8,18,44.4
172,Cristian Ganea,ro ROU,DF,Athletic Club,0.5,10,11,90.9,213,79,4,4,100,4,5,80,2,2,100
173,Ezequiel Garay,ar ARG,DF,Valencia,23.7,896,1075,83.3,18868,6953,266,293,90.8,480,529,90.7,142,235,60.4
174,Borja Garcés,es ESP,FW,Atlético Madrid,0.2,2,4,50,22,9,1,1,100,1,1,100,0,0,
175,Alberto García,es ESP,GK,Rayo Vallecano,17,387,554,69.9,12384,9051,39,40,97.5,176,182,96.7,172,331,52
176,Aleix García,es ESP,MF,Girona,18.5,945,1160,81.5,16792,5006,425,467,91,351,417,84.2,126,205,61.5
177,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,19.6,314,507,61.9,4899,1536,171,235,72.8,84,144,58.3,36,71,50.7
178,Borja García,es ESP,"MF,FW",Girona,29.2,1085,1345,80.7,17344,4003,587,655,89.6,348,426,81.7,106,176,60.2
179,Dani García,es ESP,MF,Athletic Club,27.5,1159,1406,82.4,21646,5438,478,550,86.9,505,581,86.9,149,217,68.7
180,Javi García,es ESP,"DF,MF",Betis,5.8,417,445,93.7,7451,2697,165,172,95.9,228,240,95,21,25,84
181,Manu García,es ESP,MF,Alavés,25.9,698,955,73.1,11470,3374,358,447,80.1,252,329,76.6,63,106,59.4
182,Raúl García,es ESP,"MF,FW",Athletic Club,26.3,502,932,53.9,7376,2700,298,448,66.5,143,275,52,37,108,34.3
183,Raúl García,es ESP,DF,Leganés,4.2,77,124,62.1,1480,784,34,39,87.2,33,52,63.5,9,23,39.1
184,Raúl García,es ESP,DF,Girona,9.4,346,502,68.9,5573,2591,187,218,85.8,119,163,73,31,88,35.2
185,Sergio García,es ESP,"FW,MF",Espanyol,16.5,317,505,62.8,5295,1751,173,231,74.9,100,152,65.8,33,72,45.8
186,Mario Gaspar,es ESP,DF,Villarreal,28.9,1059,1360,77.9,16330,6738,579,658,88,409,509,80.4,49,137,35.8
187,Joris Gnagnon,fr FRA,"DF,MF",Sevilla,5,234,260,90,4109,1163,83,90,92.2,123,135,91.1,17,23,73.9
188,Diego Godín,uy URU,DF,Atlético Madrid,27.9,844,1056,79.9,16070,7223,341,391,87.2,366,430,85.1,116,194,59.8
189,Ibai Gómez,es ESP,FW,Athletic Club,6.4,197,281,70.1,3098,1213,114,123,92.7,50,72,69.4,22,55,40
190,Ibai Gómez,es ESP,"MF,FW",Alavés,16.1,390,578,67.5,6555,2231,211,248,85.1,116,170,68.2,44,105,41.9
191,Maxi Gómez,uy URU,FW,Celta Vigo,32.9,497,694,71.6,7695,1323,269,354,76,148,197,75.1,44,65,67.7
192,Moi Gómez,es ESP,MF,Huesca,33.9,1210,1546,78.3,22702,7355,512,581,88.1,464,565,82.1,193,314,61.5
193,Sergi Gómez,es ESP,DF,Sevilla,30.7,1240,1467,84.5,25728,9063,394,432,91.2,637,716,89,195,271,72
194,Maxime Gonalons,fr FRA,MF,Sevilla,6,275,334,82.3,5418,1833,112,127,88.2,118,133,88.7,41,58,70.7
195,Álvaro González,es ESP,DF,Villarreal,32.9,1209,1528,79.1,26158,11225,362,401,90.3,629,735,85.6,209,363,57.6
196,Bruno González,es ESP,DF,Getafe,18.9,365,517,70.6,8325,2740,80,109,73.4,199,242,82.2,81,142,57
197,Cristo González,es ESP,FW,Real Madrid,0.5,10,11,90.9,175,63,2,2,100,6,6,100,1,1,100
198,Andoni Gorosabel,es ESP,DF,Real Sociedad,5.1,225,279,80.6,3260,1129,133,146,91.1,74,92,80.4,10,17,58.8
199,Álex Granell,es ESP,"MF,DF",Girona,26.6,1088,1533,71,21139,8385,457,531,86.1,435,559,77.8,169,369,45.8
200,Esteban Granero,es ESP,MF,Espanyol,22.4,988,1201,82.3,17134,4971,443,494,89.7,403,459,87.8,106,183,57.9
201,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,35.5,1123,1510,74.4,16009,4255,647,764,84.7,290,391,74.2,92,175,52.6
202,Andrés Guardado,mx MEX,"MF,DF",Betis,25.9,1453,1684,86.3,25347,5868,685,744,92.1,583,653,89.3,144,205,70.2
203,Sergi Guardiola,es ESP,FW,Valladolid,16.8,228,367,62.1,3482,698,133,183,72.7,62,90,68.9,22,40,55
204,Sergi Guardiola,es ESP,"MF,FW",Getafe,0.3,6,14,42.9,51,13,6,8,75,0,1,0,0,2,0
205,Gonçalo Guedes,pt POR,"MF,FW",Valencia,16.3,471,667,70.6,7219,2146,260,314,82.8,160,224,71.4,35,69,50.7
206,Javi Guerra,es ESP,"FW,MF",Rayo Vallecano,2.6,58,76,76.3,701,97,34,39,87.2,12,17,70.6,4,6,66.7
207,Francis Guerrero,es ESP,"DF,FW",Betis,19.8,776,997,77.8,10786,3486,482,546,88.3,227,290,78.3,35,77,45.5
208,Ander Guevara,es ESP,MF,Real Sociedad,1,42,44,95.5,748,199,16,16,100,18,19,94.7,5,5,100
