,,,,,,,,,Total,,,,Short,,,Medium,,,Long,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,Prog,Matches
578,Myrto Uzuni,al ALB,"FW,MF",Granada,26,1995,9.5,145,214,67.8,2104,608,74,97,76.3,47,69,68.1,10,20,50,1,1.3,1.1,-0.3,7,2,4,2,11,Matches
579,Álvaro Vadillo,es ESP,"DF,MF",Espanyol,26,1994,0.1,7,10,70,105,12,1,2,50,2,2,100,1,2,50,0,0,0,0,0,1,0,0,0,Matches
580,Óscar Valentín,es ESP,MF,Rayo Vallecano,26,1994,28.5,1102,1320,83.5,20083,6346,472,517,91.3,468,533,87.8,135,200,67.5,0,1.3,0.9,-1.3,15,132,11,0,108,Matches
581,Germán Valera,es ESP,FW,Real Sociedad,19,2002,0.6,14,18,77.8,192,27,11,13,84.6,1,2,50,2,3,66.7,0,0,0,0,0,0,0,0,0,Matches
582,Martin Valjent,sk SVK,DF,Mallorca,25,1995,35.3,1113,1378,80.8,22489,9561,398,438,90.9,529,590,89.7,163,306,53.3,0,0.6,0.4,-0.6,6,77,2,0,57,Matches
583,Jesús Vallejo,es ESP,DF,Real Madrid,24,1997,3.8,188,219,85.8,3328,1162,77,85,90.6,91,98,92.9,17,30,56.7,0,0,0,0,1,4,0,0,0,Matches
584,Manu Vallejo,es ESP,"MF,FW",Alavés,24,1997,4.1,81,114,71.1,1307,269,42,50,84,28,35,80,9,19,47.4,1,0.4,0.3,0.6,4,4,2,1,3,Matches
585,Manu Vallejo,es ESP,"FW,MF",Valencia,24,1997,1.1,23,39,59,326,117,10,15,66.7,6,10,60,3,7,42.9,0,0.2,0.2,-0.2,1,2,1,1,2,Matches
586,Federico Valverde,uy URU,MF,Real Madrid,23,1998,20.4,1039,1183,87.8,15572,3864,587,631,93,328,360,91.1,73,104,70.2,1,2.2,1.7,-1.2,24,119,19,0,77,Matches
587,José Luis García Vayá,es ESP,MF,Levante,22,1998,22.4,1005,1271,79.1,17578,5602,496,561,88.4,347,411,84.4,123,216,56.9,0,2.6,1.8,-2.6,26,109,14,5,82,Matches
588,Jesus Vazquez,es ESP,DF,Valencia,18,2003,9,249,348,71.6,3387,1337,149,169,88.2,81,118,68.6,10,21,47.6,0,0.2,0.7,-0.2,6,14,5,2,13,Matches
589,Kevin Vázquez,es ESP,DF,Celta Vigo,28,1993,14.8,678,878,77.2,9832,3394,382,423,90.3,218,296,73.6,42,85,49.4,1,1.2,1.5,-0.2,10,31,11,6,33,Matches
590,Lucas Vázquez,es ESP,DF,Real Madrid,30,1991,20.4,1327,1537,86.3,20437,5574,753,810,93,437,502,87.1,91,153,59.5,0,3.1,4.1,-3.1,31,61,35,11,80,Matches
591,Gabriel Veiga,es ESP,MF,Celta Vigo,19,2002,1.2,52,67,77.6,788,242,28,33,84.8,21,25,84,3,6,50,0,0,0.1,0,1,4,4,1,7,Matches
592,Unai Vencedor Paris,es ESP,MF,Athletic Club,20,2000,26.5,1013,1310,77.3,19123,6198,406,483,84.1,453,535,84.7,134,225,59.6,0,0.9,1.6,-0.9,15,128,24,5,128,Matches
593,Gonzalo Verdú,es ESP,DF,Elche,32,1988,15.5,595,712,83.6,13331,4571,123,134,91.8,374,406,92.1,93,155,60,0,0,0.2,0,0,24,0,0,17,Matches
594,Mikel Vesga,es ESP,MF,Athletic Club,28,1993,15.1,551,719,76.6,9621,3506,239,289,82.7,233,273,85.3,57,101,56.4,0,1.1,1,-1.1,12,74,12,2,84,Matches
595,Rúben Vezo,pt POR,DF,Levante,27,1994,26.9,1051,1264,83.1,22083,8328,317,364,87.1,569,620,91.8,159,245,64.9,0,0.7,0.2,-0.7,6,80,3,0,57,Matches
596,Aleix Vidal,es ESP,"DF,MF",Espanyol,31,1989,21.1,877,1093,80.2,14118,4962,439,475,92.4,341,411,83,61,121,50.4,0,2.3,2.2,-2.3,26,53,28,9,66,Matches
597,Nacho Vidal,es ESP,DF,Osasuna,26,1995,32.2,1069,1514,70.6,18449,8062,486,583,83.4,444,615,72.2,112,215,52.1,1,2.5,2,-1.5,21,89,29,9,69,Matches
598,Dídac Vilà,es ESP,"DF,MF",Espanyol,32,1989,2.3,70,87,80.5,1049,345,38,43,88.4,28,32,87.5,2,9,22.2,0,0.2,0,-0.2,3,4,1,0,3,Matches
599,Tonny Vilhena,nl NED,"MF,FW",Espanyol,26,1995,10.3,236,338,69.8,3312,1130,157,188,83.5,47,72,65.3,19,46,41.3,1,1,1,0,11,16,5,3,15,Matches
600,Daniel Villahermosa,es ESP,MF,Espanyol,20,2001,0.3,4,7,57.1,73,25,1,2,50,0,0,,1,2,50,0,0,0,0,0,1,0,0,1,Matches
601,Asier Villalibre,es ESP,FW,Athletic Club,23,1997,6.1,70,120,58.3,803,111,46,59,78,17,31,54.8,0,5,0,0,0.1,0.1,-0.1,3,5,1,0,3,Matches
602,Gonzalo Villar,es ESP,MF,Getafe,23,1998,3.3,118,140,84.3,2158,452,61,67,91,41,45,91.1,13,19,68.4,1,0.3,0.4,0.7,1,10,2,0,12,Matches
603,Vitolo,es ESP,MF,Getafe,31,1989,2.5,90,113,79.6,1134,294,61,68,89.7,26,31,83.9,0,4,0,0,0.2,0.2,-0.2,3,11,2,0,7,Matches
604,Daniel Vivian,es ESP,DF,Athletic Club,22,1999,22.1,787,951,82.8,16390,6476,225,252,89.3,433,474,91.4,122,199,61.3,1,0.5,0.5,0.5,2,30,0,0,42,Matches
605,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,29,1992,10.2,436,601,72.5,6434,2426,252,290,86.9,132,196,67.3,27,64,42.2,2,0.5,0.7,1.5,3,22,6,4,31,Matches
606,Nikola Vukcevic,me MNE,MF,Levante,29,1991,1.3,60,73,82.2,846,235,31,36,86.1,26,28,92.9,0,2,0,0,0.1,0,-0.1,2,4,0,0,6,Matches
607,Daniel Wass,dk DEN,"DF,FW",Atlético Madrid,32,1989,0.5,20,28,71.4,254,70,15,18,83.3,4,7,57.1,0,0,,0,0,0,0,0,0,0,0,1,Matches
608,Daniel Wass,dk DEN,MF,Valencia,32,1989,17.6,534,689,77.5,9173,2752,208,241,86.3,232,283,82,53,109,48.6,1,0.9,0.7,0.1,14,63,7,0,50,Matches
609,Iñaki Williams,gh GHA,FW,Athletic Club,27,1994,30.9,420,665,63.2,5590,1095,252,350,72,104,164,63.4,23,43,53.5,5,6,4.6,-1,33,25,23,3,42,Matches
610,Nico Williams,es ESP,MF,Athletic Club,19,2002,14.9,315,455,69.2,3971,921,198,225,88,83,140,59.3,9,28,32.1,0,1.5,1.4,-1.5,16,15,17,7,25,Matches
611,Okay Yokuslu,tr TUR,"DF,MF",Getafe,27,1994,5.2,155,195,79.5,2884,1076,63,70,90,75,88,85.2,17,35,48.6,0,0,0.1,0,0,9,2,0,6,Matches
612,Okay Yokuslu,tr TUR,"DF,MF",Celta Vigo,27,1994,1.6,72,80,90,1065,314,39,43,90.7,25,27,92.6,3,5,60,0,0,0,0,0,1,0,0,2,Matches
613,Joseba Zaldúa,es ESP,DF,Real Sociedad,29,1992,13,473,616,76.8,7937,3205,228,257,88.7,190,247,76.9,41,77,53.2,0,0.2,0.5,-0.2,4,24,10,5,22,Matches
614,Oier Zarraga,es ESP,MF,Athletic Club,22,1999,13,378,491,77,6095,2423,166,203,81.8,167,205,81.5,24,46,52.2,0,0.2,0.5,-0.2,5,54,7,0,47,Matches
615,Luca Zidane,fr FRA,GK,Rayo Vallecano,23,1998,7.2,172,231,74.5,5174,4135,28,28,100,71,73,97.3,73,130,56.2,0,0,0,0,0,2,0,0,0,Matches
616,Igor Zubeldia,es ESP,DF,Real Sociedad,24,1997,18.3,908,1045,86.9,17954,6031,272,298,91.3,534,576,92.7,96,151,63.6,1,1,0.4,0,2,55,4,1,52,Matches
617,Martín Zubimendi,es ESP,MF,Real Sociedad,22,1999,28.8,1245,1459,85.3,21021,6373,581,641,90.6,511,577,88.6,114,166,68.7,1,0.8,0.8,0.2,15,131,9,0,100,Matches
