,,,,,,,Total,,,,Short,,,Medium,,,Long,,
214,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,28,809,1080,74.9,12542,3324,436,539,80.9,253,314,80.6,70,116,60.3
215,Vicente Guaita,es ESP,GK,Getafe,33,429,1002,42.8,18806,16431,22,23,95.7,109,113,96.5,296,856,34.6
216,Andrés Guardado,mx MEX,MF,Betis,25.2,1311,1567,83.7,23838,5944,612,667,91.8,511,578,88.4,164,253,64.8
217,Gonçalo Guedes,pt POR,MF,Valencia,27.1,736,964,76.3,11657,3526,397,468,84.8,260,328,79.3,57,101,56.4
218,Ramiro Guerra,uy URU,MF,Villarreal,0.8,26,32,81.3,381,106,15,16,93.8,9,12,75,2,3,66.7
219,Francis Guerrero,es ESP,"DF,MF",Betis,11,456,601,75.9,6116,1869,301,341,88.3,121,167,72.5,17,41,41.5
220,John Guidetti,se SWE,FW,Alavés,13.6,230,367,62.7,3144,862,143,206,69.4,59,87,67.8,12,27,44.4
221,John Guidetti,se SWE,"FW,MF",Celta Vigo,1.3,28,38,73.7,373,114,17,22,77.3,6,8,75,1,2,50
222,Guilherme,br BRA,MF,La Coruña,29.3,1207,1441,83.8,23061,6301,480,536,89.6,521,596,87.4,173,243,71.2
223,Gerard Gumbau,es ESP,MF,Leganés,15.9,412,529,77.9,8119,2581,188,228,82.5,147,173,85,70,103,68
224,Jon Guridi,es ESP,MF,Real Sociedad,0.6,18,23,78.3,286,67,9,10,90,8,9,88.9,1,1,100
225,Alejandro Gutiérrez Mozo,es ESP,MF,Leganés,0.5,14,18,77.8,259,46,5,7,71.4,8,9,88.9,1,1,100
226,Hacen,mr MTN,"FW,MF",Levante,0.9,25,40,62.5,464,113,12,18,66.7,9,13,69.2,4,6,66.7
227,Munir El Haddadi,ma MAR,FW,Alavés,27.2,471,724,65.1,6677,1736,260,338,76.9,134,194,69.1,34,83,41
228,Achraf Hakimi,ma MAR,DF,Real Madrid,8.4,411,506,81.2,5365,1833,285,317,89.9,103,132,78,14,33,42.4
229,Alen Halilovi?,hr CRO,"FW,MF",Las Palmas,14.5,387,539,71.8,5933,1601,213,250,85.2,114,155,73.5,36,84,42.9
230,Mario Hermoso,es ESP,DF,Espanyol,21.4,712,962,74,16861,6691,183,205,89.3,359,423,84.9,166,314,52.9
231,Hernán,es ESP,MF,Las Palmas,3.9,214,238,89.9,3138,707,120,130,92.3,78,85,91.8,9,10,90
232,Héctor Hernández,es ESP,DF,Alavés,0.2,2,2,100,47,26,1,1,100,0,0,,1,1,100
233,Lucas Hernández,fr FRA,DF,Atlético Madrid,23.5,873,1084,80.5,13248,4704,481,538,89.4,298,356,83.7,56,120,46.7
234,Luis Hernández,es ESP,DF,Málaga,36,1154,1463,78.9,24432,11328,347,388,89.4,592,688,86,206,352,58.5
235,Pablo Hernández,cl CHI,MF,Celta Vigo,20.2,1033,1238,83.4,19206,5783,440,506,87,428,488,87.7,145,194,74.7
236,Theo Hernández,fr FRA,DF,Real Madrid,10.7,541,642,84.3,7234,2246,365,393,92.9,134,168,79.8,19,37,51.4
237,Borja Herrera,es ESP,DF,Las Palmas,2.7,157,189,83.1,2254,803,91,96,94.8,54,67,80.6,8,16,50
238,Iago Herrerín,es ESP,GK,Athletic Club,8,175,288,60.8,7231,6285,18,18,100,42,43,97.7,115,227,50.7
239,Andrew Hjulsager,dk DEN,"DF,MF",Celta Vigo,0.2,5,8,62.5,95,13,0,0,,5,7,71.4,0,1,0
240,Brown Ideye,ng NGA,FW,Málaga,8.1,109,159,68.6,1399,241,63,90,70,30,40,75,3,7,42.9
241,Asier Illarramendi,es ESP,MF,Real Sociedad,35.1,2229,2585,86.2,39187,13317,991,1071,92.5,981,1100,89.2,213,310,68.7
242,Andrés Iniesta,es ESP,MF,Barcelona,20.3,1352,1562,86.6,20818,5920,747,805,92.8,401,453,88.5,127,173,73.4
243,Takashi Inui,jp JPN,"MF,FW",Eibar,29.2,710,936,75.9,10659,1703,407,470,86.6,234,303,77.2,45,93,48.4
244,Gorka Iraizoz,es ESP,GK,Girona,8.5,145,249,58.2,5497,4596,9,10,90,45,46,97.8,90,191,47.1
245,Carlos Isaac,es ESP,DF,Atlético Madrid,0.7,36,44,81.8,512,135,21,24,87.5,13,14,92.9,1,3,33.3
246,Isco,es ESP,MF,Real Madrid,19.7,1387,1636,84.8,20955,5838,826,889,92.9,415,483,85.9,106,169,62.7
247,Manuel Iturra,cl CHI,MF,Málaga,17.6,478,606,78.9,8850,2515,202,242,83.5,194,227,85.5,69,110,62.7
248,Ander Iturraspe,es ESP,MF,Athletic Club,21.2,1013,1275,79.5,19925,5811,425,494,86,388,467,83.1,181,263,68.8
249,Ivi,es ESP,"MF,FW",Levante,19.6,442,674,65.6,7581,2112,223,286,78,128,190,67.4,62,134,46.3
250,Adnan Januzaj,be BEL,FW,Real Sociedad,17.5,407,552,73.7,6423,2055,237,263,90.1,113,144,78.5,35,84,41.7
251,Jason,es ESP,"FW,MF",Levante,19.8,370,576,64.2,5332,1449,216,273,79.1,108,166,65.1,27,58,46.6
252,Álvaro Jiménez,es ESP,"MF,FW",Getafe,5.9,82,146,56.2,1236,419,45,62,72.6,26,50,52,6,18,33.3
253,Joaquín,es ESP,"MF,FW",Betis,27.5,1114,1348,82.6,18012,4232,616,678,90.9,348,420,82.9,116,176,65.9
254,Jony,es ESP,"FW,MF",Málaga,2.4,53,107,49.5,909,372,29,39,74.4,14,31,45.2,9,26,34.6
255,Joan Jordán,es ESP,MF,Eibar,27,1013,1301,77.9,18719,4162,460,526,87.5,358,449,79.7,159,254,62.6
256,Willian José,br BRA,FW,Real Sociedad,30.8,638,864,73.8,9308,1503,352,423,83.2,153,223,68.6,58,95,61.1
257,Jozabed,es ESP,MF,Celta Vigo,16.4,763,888,85.9,13360,3476,348,382,91.1,298,331,90,89,114,78.1
258,Juanfran,es ESP,DF,La Coruña,34,1335,1869,71.4,22134,10014,682,785,86.9,478,644,74.2,129,312,41.3
259,Juanfran,es ESP,DF,Atlético Madrid,14.5,536,681,78.7,7751,3154,323,363,89,175,228,76.8,21,48,43.8
260,Juankar,es ESP,DF,Málaga,8.7,309,420,73.6,5344,2496,151,188,80.3,118,157,75.2,33,61,54.1
261,Juanmi,es ESP,"FW,MF",Real Sociedad,16.5,286,356,80.3,3729,508,188,218,86.2,62,76,81.6,15,19,78.9
262,Juanpe,es ESP,DF,Girona,34.1,1029,1348,76.3,23202,9993,290,332,87.3,520,602,86.4,202,376,53.7
263,Juanpi,ve VEN,"MF,FW",Málaga,6.8,177,225,78.7,2646,720,108,120,90,45,58,77.6,14,27,51.9
264,David Juncà,es ESP,DF,Eibar,10,447,643,69.5,8720,3244,163,196,83.2,207,280,73.9,70,142,49.3
265,Aleksandar Katai,rs SRB,"MF,DF",Alavés,0.6,8,10,80,96,42,2,2,100,4,5,80,0,0,
266,Olarenwaju Kayode,ng NGA,"FW,MF",Girona,4.3,36,58,62.1,574,50,19,29,65.5,7,14,50,6,6,100
267,Keko,es ESP,"MF,FW",Málaga,13.4,271,395,68.6,4039,1025,164,197,83.2,74,113,65.5,20,42,47.6
268,Kike,es ESP,FW,Eibar,27.3,501,709,70.7,6144,781,317,401,79.1,120,174,69,14,35,40
269,Simon Kjær,dk DEN,DF,Sevilla,17.5,666,790,84.3,13037,4600,254,277,91.7,307,354,86.7,94,140,67.1
270,Koke,es ESP,MF,Atlético Madrid,30.6,1729,2153,80.3,28200,9343,901,989,91.1,547,652,83.9,189,349,54.2
271,Geoffrey Kondogbia,cf CTA,MF,Valencia,29,1355,1559,86.9,24809,6908,589,653,90.2,567,630,90,173,222,77.9
272,Mateo Kovacic,hr CRO,MF,Real Madrid,11,742,797,93.1,12983,3580,319,336,94.9,334,348,96,72,83,86.7
273,Maksym Koval,ua UKR,GK,La Coruña,1.3,32,48,66.7,1200,860,5,5,100,7,8,87.5,20,35,57.1
274,Bojan Krki?,es ESP,"FW,MF",Alavés,4.9,109,141,77.3,1865,397,52,60,86.7,38,49,77.6,12,18,66.7
275,Michael Krohn-Dehli,dk DEN,MF,La Coruña,8.1,301,362,83.1,4858,1439,157,175,89.7,104,121,86,29,40,72.5
276,Michael Krohn-Dehli,dk DEN,"MF,FW",Sevilla,6,308,382,80.6,5019,1242,165,181,91.2,109,125,87.2,27,52,51.9
277,Toni Kroos,de GER,MF,Real Madrid,25.1,1982,2235,88.7,36218,11343,920,965,95.3,736,810,90.9,277,377,73.5
278,Zdravko Kuzmanovi?,rs SRB,MF,Málaga,5.3,304,342,88.9,5473,1690,134,142,94.4,128,141,90.8,35,46,76.1
279,Alberto de la Bella,es ESP,DF,Real Sociedad,17,852,1072,79.5,14170,4869,450,501,89.8,312,387,80.6,77,147,52.4
280,Mehdi Lacen,dz ALG,MF,Málaga,11.7,408,486,84,7737,1986,179,204,87.7,158,176,89.8,61,75,81.3
281,Mehdi Lacen,dz ALG,MF,Getafe,0.7,22,27,81.5,297,133,13,13,100,8,10,80,0,2,0
282,Víctor Laguardia,es ESP,DF,Alavés,17,384,565,68,8690,4361,104,129,80.6,198,234,84.6,81,194,41.8
283,Aymeric Laporte,es ESP,DF,Athletic Club,19,822,990,83,19242,6785,220,246,89.4,404,451,89.6,195,275,70.9
284,Borja Lasso,es ESP,MF,Sevilla,0.6,26,35,74.3,460,96,17,22,77.3,5,6,83.3,4,5,80
285,Toni Lato,es ESP,"DF,MF",Valencia,8.9,317,411,77.1,5293,2019,145,171,84.8,148,176,84.1,18,43,41.9
286,Miguel Layún,mx MEX,DF,Sevilla,13.2,504,683,73.8,8433,3145,259,299,86.6,180,238,75.6,49,107,45.8
287,Iñigo Lekue,es ESP,"DF,FW",Athletic Club,23.5,922,1231,74.9,15319,4906,472,545,86.6,344,444,77.5,83,166,50
288,Mauricio Lemos,uy URU,"DF,MF",Las Palmas,14,729,830,87.8,14783,5521,275,297,92.6,316,343,92.1,127,172,73.8
289,Clément Lenglet,fr FRA,DF,Sevilla,33.3,1441,1727,83.4,27507,12148,550,604,91.1,685,751,91.2,179,316,56.6
290,Pedro León,es ESP,"FW,MF",Eibar,10.3,231,429,53.8,3879,1416,130,163,79.8,57,102,55.9,35,128,27.3
291,Sergio León,es ESP,FW,Betis,22,259,381,68,3530,541,158,195,81,50,89,56.2,24,46,52.2
292,Jefferson Lerma,co COL,MF,Levante,23.7,894,1103,81.1,15424,4363,393,463,84.9,391,452,86.5,86,129,66.7
293,Maxime Lestienne,be BEL,MF,Málaga,7.4,160,236,67.8,2449,660,82,104,78.8,49,70,70,18,37,48.6
294,Raúl Lizoain,es ESP,GK,Las Palmas,11,296,383,77.3,7746,5614,34,34,100,182,187,97.3,79,160,49.4
295,Diego Llorente,es ESP,DF,Real Sociedad,25.8,1360,1532,88.8,27297,8585,459,498,92.2,690,733,94.1,194,268,72.4
296,Marcos Llorente,es ESP,MF,Real Madrid,6.1,401,430,93.3,7029,1567,160,169,94.7,193,201,96,33,38,86.8
297,Stanislav Lobotka,sk SVK,MF,Celta Vigo,34,1888,2087,90.5,33434,10038,854,926,92.2,772,838,92.1,217,244,88.9
298,David Lombán,es ESP,DF,Eibar,11,363,450,80.7,8659,3303,96,112,85.7,174,192,90.6,91,142,64.1
299,Adrián López,es ESP,"FW,MF",La Coruña,26.1,610,904,67.5,8325,2435,377,496,76,188,275,68.4,21,45,46.7
300,Alberto López,es ESP,DF,Málaga,0.5,17,22,77.3,166,48,9,11,81.8,5,6,83.3,0,2,0
301,Andoni López,es ESP,DF,Athletic Club,1,36,45,80,678,141,12,15,80,19,20,95,3,6,50
302,David López,es ESP,"DF,MF",Espanyol,37,1565,1933,81,31746,13490,547,608,90,767,845,90.8,237,427,55.5
303,Diego López,es ESP,GK,Espanyol,9.5,147,270,54.4,5175,4340,10,10,100,60,63,95.2,76,195,39
304,Iván López,es ESP,DF,Levante,1.9,77,104,74,1488,719,38,40,95,27,34,79.4,11,25,44
305,Javi López,es ESP,DF,Espanyol,10.7,455,613,74.2,6643,2752,272,313,86.9,154,213,72.3,23,59,39
306,Pedro López Muñoz,es ESP,DF,Levante,17.7,612,830,73.7,9652,4361,323,365,88.5,234,316,74.1,45,113,39.8
307,Pau López,es ESP,GK,Espanyol,28.5,465,817,56.9,17532,14641,34,34,100,184,188,97.9,246,591,41.6
308,Pedro López,es ESP,GK,Betis,4.6,144,182,79.1,3550,2800,30,30,100,74,76,97.4,40,76,52.6
309,Víctor López,es ESP,MF,Alavés,0.7,10,18,55.6,223,97,4,5,80,2,4,50,4,6,66.7
310,Anthony Lozano,hn HON,"FW,MF",Girona,5.2,81,129,62.8,1179,271,48,62,77.4,29,45,64.4,2,8,25
311,Filipe Luís,br BRA,DF,Atlético Madrid,18.4,956,1178,81.2,14285,5380,557,608,91.6,307,372,82.5,56,116,48.3
312,José Luis Gayà,es ESP,DF,Valencia,32.4,1325,1676,79.1,21329,7488,680,750,90.7,525,654,80.3,93,195,47.7
313,José Luis Morales,es ESP,"MF,FW",Levante,34,609,973,62.6,10379,3234,325,410,79.3,201,307,65.5,71,148,48
314,Luisinho,pt POR,DF,La Coruña,29.1,1206,1580,76.3,19835,8603,609,680,89.6,482,614,78.5,92,212,43.4
315,Douglas Luiz,br BRA,"MF,FW",Girona,3.4,107,144,74.3,1776,502,54,65,83.1,42,52,80.8,9,18,50
316,Sasa Lukic,rs SRB,MF,Levante,11,289,345,83.8,4541,1376,138,157,87.9,118,132,89.4,17,30,56.7
317,Antonio Luna,es ESP,DF,Levante,22.5,681,997,68.3,11520,5711,343,405,84.7,248,349,71.1,66,182,36.3
318,Pablo Maffeo,es ESP,DF,Girona,29.4,879,1240,70.9,14966,4211,440,511,86.1,322,445,72.4,92,221,41.6
319,Nemanja Maksimovi?,rs SRB,MF,Valencia,6.2,216,258,83.7,3422,754,113,129,87.6,80,93,86,17,27,63
320,Hugo Mallo,es ESP,DF,Celta Vigo,33.3,1608,2187,73.5,26399,10439,818,940,87,628,798,78.7,126,329,38.3
321,Aïssa Mandi,dz ALG,DF,Betis,33.6,1965,2146,91.6,35804,13637,827,876,94.4,943,1010,93.4,182,227,80.2
322,Martín Mantovani,ar ARG,DF,Leganés,11.4,297,384,77.3,5705,2183,116,136,85.3,141,172,82,36,67,53.7
323,José Manuel Jurado,es ESP,"MF,FW",Espanyol,16.7,512,642,79.8,7600,1869,303,335,90.4,145,181,80.1,40,75,53.3
324,Marcelo,br BRA,DF,Real Madrid,25.1,1569,1969,79.7,24686,9968,908,975,93.1,467,593,78.8,144,285,50.5
325,Óscar de Marcos,es ESP,"DF,FW",Athletic Club,18.4,706,921,76.7,11694,3605,364,422,86.3,266,335,79.4,61,113,54
326,José María Giménez,uy URU,DF,Atlético Madrid,18.8,595,765,77.8,12334,5525,212,239,88.7,267,308,86.7,108,199,54.3
327,Adrián Marín,es ESP,DF,Villarreal,2.6,84,101,83.2,1541,550,43,49,87.8,31,36,86.1,10,14,71.4
328,Guillermo Maripán,cl CHI,DF,Alavés,17,352,460,76.5,6982,2963,117,132,88.6,184,219,84,48,99,48.5
329,Roger Martí,es ESP,FW,Levante,10.7,138,197,70.1,1920,568,87,106,82.1,35,53,66,9,16,56.3
330,Aarón Martín,es ESP,DF,Espanyol,31.3,1053,1412,74.6,15981,5502,635,717,88.6,320,419,76.4,77,194,39.7
331,Carlos Martínez,es ESP,DF,Real Sociedad,0,3,5,60,60,43,1,3,33.3,2,2,100,0,0,
332,Emiliano Martínez,ar ARG,GK,Getafe,5,70,153,45.8,3597,3323,2,2,100,11,11,100,57,137,41.6
333,Iñigo Martínez,es ESP,DF,Athletic Club,16,595,780,76.3,13872,5767,154,178,86.5,309,357,86.6,125,210,59.5
334,Iñigo Martínez,es ESP,DF,Real Sociedad,11.7,611,780,78.3,12085,4509,231,253,91.3,281,329,85.4,90,165,54.5
335,Roger Martínez,co COL,FW,Villarreal,2.6,45,62,72.6,578,85,33,40,82.5,8,12,66.7,2,6,33.3
336,Javier Mascherano,ar ARG,DF,Barcelona,6,402,444,90.5,9435,3559,87,91,95.6,223,231,96.5,90,111,81.1
337,Borja Mayoral,es ESP,"FW,MF",Real Madrid,3.8,101,121,83.5,1192,191,74,84,88.1,17,20,85,3,5,60
338,Róbert Mazá?,sk SVK,DF,Celta Vigo,0.9,74,84,88.1,1274,436,32,35,91.4,38,41,92.7,4,6,66.7
339,Álvaro Medrán,es ESP,MF,Alavés,10.5,368,473,77.8,6946,2308,158,185,85.4,145,168,86.3,56,88,63.6
340,Álvaro Medrán,es ESP,MF,Valencia,0.8,44,48,91.7,972,330,16,17,94.1,18,19,94.7,10,10,100
341,Óscar Melendo,es ESP,"MF,FW",Espanyol,7.6,221,270,81.9,3483,761,113,132,85.6,76,85,89.4,20,30,66.7
342,Brais Méndez,es ESP,"MF,FW",Celta Vigo,10.5,362,476,76.1,5206,1503,209,246,85,113,144,78.5,18,41,43.9
343,Gabriel Mercado,ar ARG,DF,Sevilla,23.5,878,1079,81.4,14112,5293,452,489,92.4,355,412,86.2,54,125,43.2
344,Sabin Merino,es ESP,"FW,MF",Athletic Club,4.2,61,93,65.6,786,157,40,52,76.9,15,27,55.6,2,3,66.7
345,Roque Mesa,es ESP,MF,Sevilla,3.8,202,223,90.6,3329,851,99,107,92.5,72,80,90,22,23,95.7
346,Lionel Messi,ar ARG,FW,Barcelona,33.3,1544,1978,78.1,22697,8144,893,1023,87.3,448,548,81.8,116,192,60.4
347,Michel,br BRA,DF,Las Palmas,23.7,963,1200,80.3,14048,5509,578,630,91.7,308,385,80,48,109,44
348,Santi Mina,es ESP,FW,Valencia,17.3,367,475,77.3,4992,872,235,288,81.6,86,116,74.1,22,33,66.7
349,Yerry Mina,co COL,DF,Barcelona,4.1,226,244,92.6,3970,1335,103,108,95.4,101,104,97.1,19,26,73.1
350,Ignasi Miquel,es ESP,DF,Málaga,19.7,517,727,71.1,11500,4896,139,169,82.2,273,330,82.7,102,207,49.3
351,Luka Modric,hr CRO,MF,Real Madrid,21.9,1394,1572,88.7,24341,7973,692,739,93.6,491,545,90.1,169,207,81.6
352,Johan Mojica,co COL,DF,Girona,23.7,855,1163,73.5,13587,4540,498,572,87.1,251,342,73.4,81,167,48.5
353,Jorge Molina,es ESP,FW,Getafe,31,502,864,58.1,6546,1788,304,489,62.2,128,206,62.1,21,47,44.7
354,Daniel Molina Orta,es ESP,MF,Celta Vigo,0.1,2,3,66.7,44,17,0,0,,2,3,66.7,0,0,
355,Francisco Molinero,es ESP,DF,Getafe,6.4,190,267,71.2,2987,1477,108,119,90.8,62,86,72.1,16,41,39
356,Momo,es ESP,"FW,MF",Las Palmas,7.5,312,404,77.2,4950,1603,165,187,88.2,99,120,82.5,33,59,55.9
357,Jefferson Montero,ec ECU,"MF,FW",Getafe,0.6,10,20,50,154,64,6,6,100,3,6,50,1,3,33.3
358,Martín Montoya,es ESP,DF,Valencia,23.9,976,1257,77.6,15642,5452,502,563,89.2,405,505,80.2,58,139,41.7
359,Walter Montoya,ar ARG,FW,Sevilla,0.8,17,24,70.8,247,72,9,11,81.8,4,6,66.7,2,4,50
360,Shaquell Moore,us USA,DF,Levante,4.7,170,226,75.2,2498,1047,105,120,87.5,54,74,73,9,26,34.6
361,Emre Mor,tr TUR,"FW,MF",Celta Vigo,7.4,189,292,64.7,3004,654,106,135,78.5,57,84,67.9,18,42,42.9
362,Sergio Mora,es ESP,MF,Getafe,9,302,401,75.3,4863,1730,158,193,81.9,109,143,76.2,25,41,61
363,Erik Morán,es ESP,MF,Leganés,2.5,81,111,73,1492,518,39,46,84.8,29,42,69,13,21,61.9
364,Gerard Moreno,es ESP,FW,Espanyol,37.9,846,1246,67.9,13940,3217,465,613,75.9,254,357,71.1,99,160,61.9
365,Héctor Moreno,mx MEX,DF,Real Sociedad,8,441,511,86.3,9010,3024,134,147,91.2,244,263,92.8,57,86,66.3
366,Marlos Moreno,co COL,"MF,DF",Girona,0.3,1,1,100,11,0,1,1,100,0,0,,0,0,
367,Loren Morón,es ESP,FW,Betis,11.8,139,197,70.6,1837,395,93,119,78.2,28,39,71.8,7,13,53.8
368,Pedro Mosquera,es ESP,MF,La Coruña,15.5,574,727,79,11023,3893,252,294,85.7,210,245,85.7,97,149,65.1
369,Toni Moya,es ESP,MF,Atlético Madrid,0,1,1,100,10,0,1,1,100,0,0,,0,0,
370,Álex Mula,es ESP,"FW,MF",Málaga,6.2,159,218,72.9,2627,498,83,99,83.8,55,68,80.9,18,42,42.9
371,Iker Muniain,es ESP,"MF,FW",Athletic Club,8.7,372,451,82.5,6433,1649,165,191,86.4,148,173,85.5,41,59,69.5
372,Marc Muniesa,es ESP,DF,Girona,12.5,506,640,79.1,10263,4372,182,209,87.1,252,291,86.6,70,119,58.8
373,Ezequiel Muñoz,ar ARG,DF,Leganés,15.6,381,497,76.7,7123,2343,143,174,82.2,186,222,83.8,47,91,51.6
374,Sulley Muntari,gh GHA,MF,La Coruña,4.5,110,158,69.6,2136,893,52,62,83.9,36,49,73.5,21,36,58.3
375,Luis Muriel,co COL,FW,Sevilla,17.9,326,445,73.3,4444,960,199,245,81.2,97,129,75.2,10,19,52.6
376,Jeison Murillo,co COL,DF,Valencia,15.3,671,752,89.2,14054,5048,198,224,88.4,376,399,94.2,94,124,75.8
377,Fahad Al Muwallad,sa KSA,MF,Levante,0.3,6,9,66.7,69,2,3,4,75,2,3,66.7,0,0,
378,Alfred N'Diaye,sn SEN,"DF,MF",Villarreal,1.1,32,36,88.9,628,220,13,14,92.9,12,13,92.3,7,9,77.8
379,Nacho,es ESP,DF,Real Madrid,23,1064,1195,89,17838,6173,516,552,93.5,433,477,90.8,90,120,75
380,Matías Nahuel,es ESP,"MF,FW",Betis,2.8,97,124,78.2,1375,193,60,67,89.6,24,31,77.4,7,13,53.8
381,Naldo,br BRA,DF,Espanyol,10.2,360,434,82.9,7538,2429,99,109,90.8,206,229,90,53,85,62.4
382,Nano,es ESP,FW,Levante,3.1,36,59,61,564,121,16,24,66.7,16,21,76.2,2,3,66.7
383,Naranjo,es ESP,"MF,FW",Leganés,6.2,111,159,69.8,1661,413,62,76,81.6,28,36,77.8,11,25,44
384,Juanjo Narváez,co COL,MF,Betis,3.4,142,161,88.2,2331,377,68,72,94.4,60,67,89.6,10,14,71.4
385,Fernando Navarro,es ESP,DF,La Coruña,11.6,412,529,77.9,7396,3281,192,222,86.5,161,202,79.7,52,89,58.4
386,Marc Navarro,es ESP,DF,Espanyol,12.3,418,588,71.1,6702,2369,234,266,88,142,200,71,33,90,36.7
387,Rafa Navarro,es ESP,DF,Betis,1.5,73,82,89,1064,302,43,46,93.5,24,27,88.9,4,6,66.7
388,Ximo Navarro,es ESP,DF,Las Palmas,29,1130,1372,82.4,20643,7459,473,522,90.6,523,591,88.5,113,207,54.6
389,Jesús Navas,es ESP,"FW,DF",Sevilla,19.6,678,960,70.6,10432,3209,401,475,84.4,209,296,70.6,52,107,48.6
390,Keylor Navas,cr CRC,GK,Real Madrid,27,560,700,80,15660,10760,59,60,98.3,309,314,98.4,191,325,58.8
391,Raúl Navas,es ESP,DF,Real Sociedad,19.9,1054,1230,85.7,22969,7664,281,303,92.7,567,621,91.3,198,277,71.5
392,Merveille Ndockyt,cg CGO,"MF,FW",Getafe,0.8,16,25,64,239,51,12,16,75,3,6,50,1,2,50
393,Neto,br BRA,GK,Valencia,33,484,820,59,16966,14262,56,57,98.2,198,203,97.5,227,555,40.9
394,Saúl Ñíguez,es ESP,MF,Atlético Madrid,35.1,1420,1750,81.1,21740,7111,802,910,88.1,464,580,80,102,154,66.2
395,Nolito,es ESP,"FW,MF",Sevilla,17.8,461,654,70.5,7015,2553,271,320,84.7,148,200,74,31,72,43.1
396,Unai Núñez,es ESP,DF,Athletic Club,32.7,1220,1489,81.9,26641,9466,334,383,87.2,641,707,90.7,233,365,63.8
397,Steven Nzonzi,fr FRA,MF,Sevilla,24.6,1632,1865,87.5,25757,7954,867,942,92,599,688,87.1,114,147,77.6
398,Jan Oblak,si SVN,GK,Atlético Madrid,37,505,911,55.4,17911,14753,49,49,100,186,190,97.9,270,668,40.4
399,Álvaro Odriozola,es ESP,DF,Real Sociedad,32.4,1436,1756,81.8,20470,6202,873,950,91.9,434,548,79.2,73,130,56.2
400,Oier Olazábal,es ESP,GK,Levante,26,383,727,52.7,14832,12803,15,15,100,134,142,94.4,233,568,41
401,Paulo Oliveira,pt POR,DF,Eibar,24.6,658,897,73.4,14770,5159,162,200,81,344,423,81.3,143,254,56.3
402,Mathías Olivera,uy URU,MF,Getafe,1.1,11,31,35.5,110,29,9,16,56.3,1,5,20,0,3,0
403,Michael Olunga,ke KEN,"FW,MF",Girona,4.8,76,112,67.9,996,120,43,63,68.3,25,30,83.3,1,3,33.3
404,Javier Ontiveros,es ESP,"MF,FW",Málaga,4.3,118,173,68.2,1876,648,67,81,82.7,37,56,66.1,10,22,45.5
405,Fabián Orellana,cl CHI,"MF,FW",Eibar,13.1,377,541,69.7,6144,1292,207,257,80.5,108,161,67.1,44,72,61.1
406,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,30.8,740,1008,73.4,10621,2571,457,543,84.2,169,228,74.1,59,114,51.8
407,Daniel Pacheco,es ESP,"MF,FW",Getafe,1.9,62,102,60.8,1208,358,29,38,76.3,20,34,58.8,13,22,59.1
408,Fernando Pacheco,es ESP,GK,Alavés,37.3,580,1056,54.9,23565,20654,49,50,98,153,157,97.5,377,844,44.7
409,Costel Pantilimon,ro ROU,GK,La Coruña,6,108,169,63.9,3904,3305,14,14,100,33,34,97.1,61,118,51.7
410,Rubén Pardo,es ESP,MF,Real Sociedad,2.5,107,140,76.4,1977,588,44,50,88,48,57,84.2,12,25,48
411,Nicolás Pareja,ar ARG,DF,Sevilla,4.5,197,228,86.4,4155,1683,70,74,94.6,86,97,88.7,37,53,69.8
412,Daniel Parejo,es ESP,MF,Valencia,33.3,2090,2560,81.6,41540,16327,803,905,88.7,906,1037,87.4,333,499,66.7
413,Thomas Partey,gh GHA,"MF,DF",Atlético Madrid,26.4,1182,1437,82.3,20409,6531,577,649,88.9,429,506,84.8,135,195,69.2
414,Paulinho,br BRA,MF,Barcelona,21.6,1074,1231,87.2,14866,3365,615,679,90.6,324,366,88.5,47,58,81
415,Gabriel Paulista,br BRA,DF,Valencia,28.7,1197,1379,86.8,24126,9489,368,405,90.9,655,719,91.1,165,230,71.7
416,Giampaolo Pazzini,it ITA,FW,Levante,4.9,43,66,65.2,542,67,30,44,68.2,9,12,75,1,3,33.3
417,Alfonso Pedraza,es ESP,"MF,DF",Alavés,27.1,454,720,63.1,6895,2806,251,324,77.5,160,227,70.5,25,72,34.7
418,Rubén Peña,es ESP,"DF,MF",Eibar,19.2,664,955,69.5,11799,4717,315,399,78.9,241,328,73.5,89,170,52.4
419,Gabriel Peñalba,ar ARG,MF,Las Palmas,6.3,326,381,85.6,5200,1516,162,178,91,122,139,87.8,24,39,61.5
420,Adalberto Peñaranda,ve VEN,"FW,MF",Málaga,8.9,193,249,77.5,2497,310,122,149,81.9,52,63,82.5,7,10,70
421,Andreas Pereira,br BRA,MF,Valencia,12,262,405,64.7,4479,1583,135,176,76.7,90,140,64.3,29,55,52.7
422,Hernán Pérez,py PAR,MF,Alavés,4.2,101,149,67.8,1611,458,57,76,75,26,36,72.2,12,24,50
423,Hernán Pérez,py PAR,"MF,DF",Espanyol,1.6,47,79,59.5,746,312,29,37,78.4,12,24,50,5,12,41.7
424,Lucas Pérez,es ESP,FW,La Coruña,31.1,680,1001,67.9,11110,3608,353,432,81.7,215,307,70,77,184,41.8
425,Rubén Pérez,es ESP,MF,Leganés,28,1140,1500,76,23886,8303,417,507,82.2,487,583,83.5,216,346,62.4
