,,,,,,Total,,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
383,Nano,es ESP,FW,Cádiz,0.1,1,3,33.3,14,0,1,3,33.3,0,0,,0,0,
384,Roberto Navarro,es ESP,MF,Real Sociedad,0.4,17,22,77.3,262,81,9,9,100,6,8,75,1,3,33.3
385,Ximo Navarro,es ESP,DF,Alavés,26.4,802,1077,74.5,14278,5611,365,442,82.6,330,430,76.7,92,157,58.6
386,Jesús Navas,es ESP,DF,Sevilla,31.4,1668,2113,78.9,27107,8026,884,967,91.4,572,728,78.6,160,282,56.7
387,Raúl Navas,es ESP,DF,Osasuna,1.9,40,54,74.1,974,516,12,14,85.7,12,17,70.6,15,22,68.2
388,Álvaro Negredo,es ESP,FW,Cádiz,24.4,322,578,55.7,4793,997,170,268,63.4,95,158,60.1,26,58,44.8
389,Neto,br BRA,GK,Barcelona,7,212,242,87.6,4439,2739,67,67,100,103,104,99,42,68,61.8
390,Carlos Neva,es ESP,DF,Granada,20,421,627,67.1,6605,2782,227,262,86.6,155,234,66.2,26,75,34.7
391,Mamor Niang,sn SEN,"MF,FW",Getafe,0.2,4,4,100,35,4,3,3,100,0,0,,0,0,
392,Nieto,es ESP,"FW,DF",Cádiz,0.2,3,3,100,24,0,3,3,100,0,0,,0,0,
393,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,22.6,976,1180,82.7,13205,3413,575,655,87.8,292,357,81.8,42,64,65.6
394,Nino,es ESP,"FW,MF",Elche,3.2,106,120,88.3,1488,256,65,70,92.9,25,26,96.2,8,13,61.5
395,Fernando Niño,es ESP,FW,Villarreal,6.6,94,129,72.9,1201,152,59,73,80.8,22,26,84.6,4,7,57.1
396,Nolito,es ESP,"MF,FW",Celta Vigo,28.9,725,1007,72,11843,3718,359,432,83.1,269,355,75.8,69,133,51.9
397,Unai Núñez,es ESP,DF,Athletic Club,23.4,988,1193,82.8,21968,7763,259,295,87.8,547,611,89.5,177,262,67.6
398,Kelechi Nwakali,ng NGA,"MF,FW",Huesca,1.6,70,81,86.4,1304,362,34,36,94.4,28,31,90.3,8,13,61.5
399,Allan Nyom,cm CMR,"MF,DF",Getafe,25.8,577,903,63.9,9417,3925,301,385,78.2,208,295,70.5,52,157,33.1
400,Jan Oblak,si SVN,GK,Atlético Madrid,38,642,1005,63.9,20935,15886,87,87,100,230,233,98.7,322,679,47.4
401,Lucas Ocampos,ar ARG,FW,Sevilla,29.2,736,991,74.3,10477,2539,423,500,84.6,227,290,78.3,39,81,48.1
402,Álvaro Odriozola,es ESP,DF,Real Madrid,9.2,398,466,85.4,5784,1414,226,240,94.2,138,166,83.1,19,32,59.4
403,Shinji Okazaki,jp JPN,"FW,MF",Huesca,12.5,129,174,74.1,1669,314,69,88,78.4,41,49,83.7,4,6,66.7
404,Lucas Olaza,uy URU,DF,Valladolid,14,493,701,70.3,8241,3906,245,284,86.3,195,268,72.8,42,111,37.8
405,Lucas Olaza,uy URU,DF,Celta Vigo,17.9,754,999,75.5,12028,4250,386,442,87.3,292,386,75.6,48,105,45.7
406,Christian Oliva,uy URU,MF,Valencia,2.2,85,104,81.7,1408,319,40,48,83.3,33,34,97.1,7,13,53.8
407,Kiko Olivas,es ESP,DF,Valladolid,2,89,105,84.8,1570,689,41,45,91.1,36,38,94.7,10,16,62.5
408,Paulo Oliveira,pt POR,DF,Eibar,29.3,835,1226,68.1,19006,7201,195,245,79.6,466,577,80.8,166,366,45.4
409,Mathías Olivera,uy URU,DF,Getafe,29,783,1168,67,12139,5744,434,538,80.7,249,370,67.3,62,146,42.5
410,Javier Ontiveros,es ESP,"FW,MF",Huesca,10.2,355,467,76,5349,1593,213,248,85.9,94,125,75.2,29,61,47.5
411,Fabián Orellana,cl CHI,"MF,FW",Valladolid,23.8,572,796,71.9,9604,2228,294,351,83.8,186,247,75.3,65,125,52
412,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,26.8,673,978,68.8,10783,2762,352,429,82.1,209,282,74.1,67,160,41.9
413,Fernando Pacheco,es ESP,GK,Alavés,37.2,748,1083,69.1,25926,21077,118,119,99.2,259,267,97,368,686,53.6
414,Jon Pacheco,es ESP,DF,Real Sociedad,0.4,46,50,92,751,212,22,22,100,21,21,100,3,6,50
415,Helibelton Palacios,co COL,DF,Elche,8.3,247,329,75.1,4067,1932,128,139,92.1,93,119,78.2,23,57,40.4
416,Ante Palaversa,hr CRO,MF,Getafe,0.1,7,10,70,131,90,4,5,80,1,2,50,2,3,66.7
417,Daniel Parejo,es ESP,MF,Villarreal,34.6,2454,2794,87.8,43180,14807,1201,1282,93.7,892,967,92.2,304,426,71.4
418,Thomas Partey,gh GHA,MF,Atlético Madrid,2.2,197,223,88.3,3611,1073,80,89,89.9,81,89,91,26,35,74.3
419,Gabriel Paulista,br BRA,DF,Valencia,30.2,1332,1516,87.9,27977,11223,397,434,91.5,734,781,94,192,265,72.5
420,Alfonso Pedraza,es ESP,DF,Villarreal,23.3,942,1226,76.8,13599,3751,544,620,87.7,331,404,81.9,34,84,40.5
421,Pedri,es ESP,MF,Barcelona,26.8,1498,1721,87,22376,4124,827,897,92.2,483,543,89,99,129,76.7
422,Facundo Pellistri,uy URU,"MF,FW",Alavés,6,73,120,60.8,915,216,54,75,72,14,29,48.3,1,1,100
423,Rubén Peña,es ESP,DF,Villarreal,12.4,443,595,74.5,6526,2314,243,291,83.5,153,196,78.1,23,56,41.1
424,Pepe,es ESP,DF,Granada,2.8,43,79,54.4,732,327,17,25,68,21,34,61.8,4,17,23.5
425,Alberto Perea,es ESP,MF,Cádiz,17.2,379,525,72.2,5685,1925,217,252,86.1,112,152,73.7,32,65,49.2
