,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
223,Raúl Guti,es ESP,MF,Elche,31.8,48,28,21,22,5,16,52,30.8,36,25,3,22,49,97,25,0
224,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,20.3,23,15,15,8,0,15,24,62.5,9,18,12,6,22,45,78,0
225,Miguel Gutiérrez,es ESP,DF,Real Madrid,3.5,4,0,0,3,1,1,7,14.3,6,3,0,3,5,9,5,0
226,Munir El Haddadi,ma MAR,FW,Sevilla,9.4,12,8,5,5,2,2,12,16.7,10,6,0,6,5,17,6,0
227,Eden Hazard,be BEL,"FW,MF",Real Madrid,5.9,3,2,1,2,0,0,3,0,3,3,0,3,3,6,0,0
228,Mario Hermoso,es ESP,DF,Atlético Madrid,28.6,55,31,40,11,4,37,61,60.7,24,23,10,13,36,91,73,0
229,Aridane Hernández,gq EQG,DF,Osasuna,22.5,20,11,13,6,1,7,12,58.3,5,22,19,3,34,54,127,1
230,Héctor Herrera,mx MEX,MF,Atlético Madrid,7.6,12,7,5,6,1,7,13,53.8,6,7,2,5,14,26,8,0
231,Sergio Herrera,es ESP,GK,Osasuna,32.9,0,0,0,0,0,0,2,0,2,0,0,0,3,3,29,3
232,Yangel Herrera,ve VEN,MF,Granada,25.7,59,26,19,32,8,11,41,26.8,30,53,17,36,26,85,32,1
233,Pablo Hervías,es ESP,"DF,MF",Valladolid,13.4,19,12,7,9,3,9,26,34.6,17,6,0,6,11,30,8,0
234,Jordan Holsgrove,sct SCO,MF,Celta Vigo,1.6,6,4,4,1,1,5,8,62.5,3,2,0,2,2,8,1,0
235,Vicente Iborra,es ESP,MF,Villarreal,10.3,18,8,8,7,3,8,24,33.3,16,14,7,7,14,32,25,1
236,Oussama Idrissi,ma MAR,"FW,MF",Sevilla,0.3,1,1,0,1,0,1,2,50,1,2,0,2,1,2,0,0
237,Iglesias,es ESP,"DF,MF",Getafe,6.7,27,15,14,10,3,11,19,57.9,8,11,1,10,17,44,19,0
238,Borja Iglesias,es ESP,FW,Betis,15.7,1,1,0,0,1,1,8,12.5,7,7,2,5,3,4,9,0
239,Asier Illarramendi,es ESP,MF,Real Sociedad,3.7,5,2,1,4,0,1,5,20,4,2,0,2,5,10,7,0
240,Pablo Insua,es ESP,DF,Huesca,17.6,37,18,26,9,2,14,31,45.2,17,14,8,6,24,61,68,0
241,Takashi Inui,jp JPN,"MF,FW",Eibar,20.2,13,8,6,3,4,3,12,25,9,19,0,19,12,25,7,0
242,Alexander Isak,se SWE,FW,Real Sociedad,26,9,5,0,3,6,3,8,37.5,5,17,1,16,3,12,7,0
243,Isco,es ESP,MF,Real Madrid,10.1,13,9,5,5,3,2,14,14.3,12,7,1,6,2,15,2,0
244,Jairo Izquierdo,es ESP,"MF,DF",Cádiz,14.2,21,13,13,8,0,12,31,38.7,19,7,1,6,14,35,12,0
245,Saidy Janko,gm GAM,DF,Valladolid,13.6,19,10,12,5,2,8,14,57.1,6,9,1,8,18,37,47,0
246,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,11.3,9,8,0,6,3,3,8,37.5,5,7,2,5,3,12,4,0
247,Jason,es ESP,"MF,DF",Valencia,4.9,9,3,5,2,2,4,16,25,12,6,1,5,10,19,4,0
248,Luis Javier Suárez,co COL,"FW,MF",Granada,18.5,19,11,5,7,7,6,17,35.3,11,10,1,9,8,27,11,0
249,Joaquín,es ESP,"FW,MF",Betis,14.3,9,3,1,5,3,4,12,33.3,8,8,0,8,17,26,11,0
250,John Joe,ie IRL,"MF,FW",Getafe,0.7,2,0,0,2,0,0,0,,0,0,0,0,0,2,0,0
251,Frenkie de Jong,nl NED,"MF,DF",Barcelona,35,44,27,21,19,4,15,35,42.9,20,20,4,16,38,82,29,2
252,Luuk de Jong,nl NED,FW,Sevilla,14.1,9,5,3,2,4,1,7,14.3,6,11,3,8,5,14,15,0
253,Jony,es ESP,"MF,FW",Osasuna,9.7,7,3,1,2,4,5,20,25,15,5,0,5,14,21,3,0
254,Joan Jordán,es ESP,MF,Sevilla,26.7,52,28,17,29,6,17,76,22.4,59,22,3,19,27,79,25,0
255,Josan,es ESP,"MF,DF",Elche,21.4,34,18,23,11,0,13,39,33.3,26,24,1,23,21,55,26,1
256,Willian José,br BRA,FW,Real Sociedad,7.7,3,1,0,3,0,1,3,33.3,2,3,1,2,0,3,8,0
257,Joselu,es ESP,FW,Alavés,33.6,27,14,6,15,6,8,28,28.6,20,26,3,23,15,42,58,1
258,Josema,es ESP,DF,Elche,21.8,43,28,33,10,0,10,18,55.6,8,17,7,10,37,80,92,0
259,Jota,pt POR,"MF,FW",Valladolid,7.4,7,3,1,4,2,5,10,50,5,4,0,4,6,13,5,1
260,Jota,es ESP,MF,Alavés,15.5,19,14,6,7,6,3,29,10.3,26,12,0,12,9,28,9,0
261,Luka Jovic,rs SRB,FW,Real Madrid,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
262,Juanmi,es ESP,"FW,MF",Betis,6.7,13,9,3,5,5,4,18,22.2,14,4,0,4,2,15,4,0
263,Vinicius Júnior,br BRA,FW,Real Madrid,21.9,32,22,14,10,8,11,43,25.6,32,28,0,28,7,39,4,0
264,Jens Jønsson,dk DEN,MF,Cádiz,29.1,55,29,25,25,5,22,52,42.3,30,39,7,32,51,106,45,0
265,Damian K?dzior,pl POL,"FW,MF",Eibar,2.2,1,0,0,1,0,1,5,20,4,1,0,1,0,1,0,0
266,Lee Kangin,kr KOR,"FW,MF",Valencia,14,15,11,8,4,3,3,31,9.7,28,12,0,12,2,17,0,0
267,Stephane Keller,cm CMR,DF,Alavés,0.2,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
268,Kenedy,br BRA,"FW,MF",Granada,16.3,22,12,10,7,5,5,25,20,20,21,4,17,26,48,15,1
269,Kike,es ESP,FW,Eibar,34.3,24,18,5,7,12,6,22,27.3,16,24,1,23,7,31,29,0
270,Giorgi Kochorashvili,ge GEO,MF,Levante,0.3,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
271,Kenan Kodro,ba BIH,"FW,MF",Valladolid,5.1,0,0,0,0,0,0,2,0,2,2,1,1,2,2,6,0
272,Kenan Kodro,ba BIH,"FW,MF",Athletic Club,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
273,Koba Koindredi,fr FRA,MF,Valencia,0.2,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
274,Koke,es ESP,MF,Atlético Madrid,33.6,64,42,22,31,11,28,98,28.6,70,35,6,29,36,100,40,0
275,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,6.8,30,20,12,16,2,11,20,55,9,11,5,6,11,41,8,1
276,Geoffrey Kondogbia,cf CTA,MF,Valencia,4.9,16,9,9,4,3,7,19,36.8,12,6,1,5,8,24,8,0
277,Youssouf Koné,ml MLI,"DF,MF",Elche,0.8,2,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0
278,Jules Koundé,fr FRA,DF,Sevilla,33.1,27,15,14,11,2,10,24,41.7,14,24,16,8,40,67,104,0
279,Toni Kroos,de GER,MF,Real Madrid,23.5,42,22,15,15,12,11,44,25,33,26,6,20,15,57,10,3
280,Takefusa Kubo,jp JPN,"MF,FW",Villarreal,3.3,1,1,0,0,1,1,5,20,4,2,0,2,1,2,2,0
281,Takefusa Kubo,jp JPN,"MF,FW",Getafe,8.9,7,4,2,3,2,1,14,7.1,13,14,0,14,14,21,4,0
282,Kuki,es ESP,MF,Valladolid,0.3,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
283,Víctor Laguardia,es ESP,DF,Alavés,29.2,20,12,13,6,1,14,31,45.2,17,25,13,12,37,57,104,0
284,Diego Lainez,mx MEX,"FW,MF",Betis,9.6,9,4,3,5,1,6,16,37.5,10,15,0,15,11,20,6,0
285,Toni Lato,es ESP,DF,Valencia,8.1,13,6,7,3,3,6,13,46.2,7,12,1,11,10,23,21,0
286,Lauti,uy URU,FW,Celta Vigo,0.2,,0,,,,,,,,,,,0,,,
287,Robin Le Normand,fr FRA,DF,Real Sociedad,30.5,34,20,25,8,1,9,19,47.4,10,35,24,11,36,70,87,1
288,Jeremías Ledesma,ar ARG,GK,Cádiz,32,1,0,1,0,0,1,1,100,0,1,0,1,0,1,22,6
289,Florian Lejeune,fr FRA,DF,Alavés,33.5,43,32,36,7,0,21,35,60,14,38,24,14,51,94,149,1
290,Iñigo Lekue,es ESP,DF,Athletic Club,7.2,9,7,6,3,0,3,8,37.5,5,8,1,7,4,13,24,0
291,Thomas Lemar,fr FRA,MF,Atlético Madrid,15.2,30,17,9,17,4,11,24,45.8,13,22,1,21,11,41,10,0
292,Clément Lenglet,fr FRA,DF,Barcelona,27.5,36,21,23,10,3,19,28,67.9,9,26,12,14,33,69,71,1
293,Pedro León,es ESP,"MF,FW",Eibar,10.4,9,8,3,3,3,3,17,17.6,14,11,0,11,7,16,2,0
294,Sergio León,es ESP,FW,Levante,8.3,6,2,0,4,2,2,8,25,6,4,0,4,3,9,2,0
295,Diego Llorente,es ESP,DF,Real Sociedad,1,1,0,1,0,0,1,2,50,1,1,1,0,2,3,5,0
296,Marcos Llorente,es ESP,"MF,FW",Atlético Madrid,32.8,71,42,21,40,10,26,62,41.9,36,40,3,37,29,100,28,0
297,Renan Lodi,br BRA,"DF,FW",Atlético Madrid,12.5,30,17,13,12,5,17,26,65.4,9,15,0,15,16,46,18,0
298,Adrián López,es ESP,"FW,MF",Osasuna,5.3,3,3,0,1,2,1,5,20,4,3,0,3,0,3,3,0
299,Javi López,es ESP,"DF,MF",Alavés,2.8,5,5,3,2,0,2,3,66.7,1,2,0,2,3,8,3,1
300,Pedro López Muñoz,es ESP,DF,Huesca,11.9,23,15,10,8,5,15,22,68.2,7,10,4,6,16,39,23,1
301,Roberto López,es ESP,"MF,FW",Real Sociedad,5.6,5,1,1,2,2,2,5,40,3,2,0,2,4,9,6,0
302,Unai López,es ESP,MF,Athletic Club,15.8,27,17,13,13,1,10,29,34.5,19,20,5,15,18,45,9,1
303,Anthony Lozano,hn HON,FW,Cádiz,16.9,12,4,1,5,6,2,13,15.4,11,3,1,2,3,15,8,0
304,Jeison Lucumí,co COL,MF,Elche,0.5,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
305,José Luis Gayà,es ESP,DF,Valencia,31.6,59,33,40,13,6,33,68,48.5,35,22,3,19,38,97,62,1
306,José Luis Morales,es ESP,"MF,FW",Levante,27.1,18,10,7,9,2,8,36,22.2,28,17,0,17,11,29,11,0
307,Luisinho,pt POR,DF,Huesca,2,3,3,2,1,0,1,3,33.3,2,3,0,3,4,7,7,0
308,Luismi,es ESP,"MF,DF",Elche,1.9,4,2,1,3,0,1,2,50,1,2,0,2,4,8,0,0
309,Darwin Machís,ve VEN,"FW,MF",Granada,22.5,30,17,12,10,8,6,19,31.6,13,21,2,19,22,52,13,0
310,Pablo Maffeo,es ESP,DF,Huesca,21.8,26,17,21,4,1,12,26,46.2,14,18,6,12,35,61,27,0
311,Abdallahi Mahmoud,mr MTN,MF,Alavés,0.7,2,2,1,1,0,0,1,0,1,0,0,0,1,3,0,0
312,Nemanja Maksimovi?,rs SRB,MF,Getafe,30.3,50,28,22,24,4,19,46,41.3,27,40,9,31,57,107,46,1
313,Filip Malbasic,rs SRB,"FW,MF",Cádiz,9.6,12,7,4,5,3,6,18,33.3,12,10,0,10,4,16,2,0
314,Hugo Mallo,es ESP,DF,Celta Vigo,28.9,58,40,34,23,1,24,52,46.2,28,42,11,31,37,95,77,0
315,Mickael Malsa,mq MTQ,MF,Levante,26,55,26,28,24,3,23,51,45.1,28,38,9,29,43,98,36,2
316,Aïssa Mandi,dz ALG,DF,Betis,26.6,30,17,20,10,0,10,16,62.5,6,21,13,8,39,69,90,0
317,Eliaquim Mangala,fr FRA,DF,Valencia,3.6,0,0,0,0,0,0,1,0,1,8,6,2,6,6,12,0
318,Maranhão,br BRA,FW,Valladolid,13.1,8,2,2,2,4,0,8,0,8,15,2,13,2,10,9,0
319,Marcelo,br BRA,"DF,MF",Real Madrid,11.7,25,21,11,6,8,11,24,45.8,13,13,1,12,10,35,15,0
320,Iván Marcone,ar ARG,MF,Elche,29.4,64,41,42,17,5,35,84,41.7,49,27,8,19,36,100,33,3
321,Óscar de Marcos,es ESP,"DF,MF",Athletic Club,16.9,28,17,12,10,6,10,25,40,15,12,1,11,12,40,38,0
322,José Mari,es ESP,MF,Cádiz,16.1,32,17,13,18,1,14,31,45.2,17,16,7,9,27,59,33,1
323,José María Giménez,uy URU,DF,Atlético Madrid,19.6,20,7,14,5,1,12,17,70.6,5,17,11,6,21,41,65,0
324,Mariano,do DOM,FW,Real Madrid,5.7,4,2,2,1,1,0,9,0,9,3,1,2,0,4,3,0
325,Adrián Marín,es ESP,"DF,MF",Alavés,1,1,1,0,1,0,0,2,0,2,1,0,1,2,3,2,0
326,Adrián Marín,es ESP,"DF,MF",Granada,3,5,2,1,3,1,2,3,66.7,1,5,2,3,4,9,9,0
327,Roger Martí,es ESP,FW,Levante,24.4,11,7,5,4,2,6,23,26.1,17,10,3,7,4,15,6,0
328,Aarón Martín,es ESP,DF,Celta Vigo,17.1,34,20,15,16,3,10,33,30.3,23,15,4,11,13,47,37,0
329,Álex Martín,es ESP,DF,Cádiz,1.1,2,0,1,1,0,2,4,50,2,1,1,0,0,2,6,0
330,Iñigo Martínez,es ESP,DF,Athletic Club,28,22,15,16,6,0,9,27,33.3,18,17,7,10,28,50,96,0
331,Javi Martínez,es ESP,"MF,FW",Osasuna,5.1,9,4,1,6,2,5,12,41.7,7,9,0,9,5,14,4,0
332,Marvin,es ESP,"DF,MF",Real Madrid,1.5,3,2,0,3,0,1,2,50,1,1,0,1,2,5,3,0
333,Jordi Masip,es ESP,GK,Valladolid,25,0,0,0,0,0,0,2,0,2,2,0,2,2,2,8,1
334,Jaime Mata,es ESP,FW,Getafe,22.6,12,7,1,3,8,3,18,16.7,15,13,2,11,6,18,16,0
335,Borja Mayoral,es ESP,FW,Real Madrid,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
336,Gonzalo Melero,es ESP,"MF,FW",Levante,20.6,24,15,11,6,7,10,39,25.6,29,14,5,9,18,42,22,1
337,Brais Méndez,es ESP,"MF,FW",Celta Vigo,29.7,59,31,23,27,9,16,65,24.6,49,27,2,25,32,91,34,0
338,Édgar Méndez,es ESP,"MF,FW",Alavés,23.2,39,29,18,13,8,15,48,31.3,33,20,3,17,19,58,14,0
339,Eñaut Mendía,es ESP,FW,Eibar,0.7,2,1,2,0,0,1,2,50,1,1,1,0,0,2,0,0
340,Ferland Mendy,fr FRA,DF,Real Madrid,24.5,26,16,17,6,3,12,24,50,12,16,4,12,26,52,32,1
341,Mikel Merino,es ESP,MF,Real Sociedad,23.9,61,36,14,36,11,18,45,40,27,36,8,28,32,93,26,0
342,Martín Merquelanz,es ESP,"MF,FW",Real Sociedad,6.1,9,3,3,2,4,2,7,28.6,5,7,1,6,3,12,4,0
343,Roque Mesa,es ESP,MF,Valladolid,19.6,46,29,18,24,4,20,47,42.6,27,11,2,9,14,60,23,1
344,Lionel Messi,ar ARG,"FW,MF",Barcelona,33.6,18,10,3,9,6,6,17,35.3,11,12,0,12,6,24,0,2
345,Omenuke Mfulu,cd COD,MF,Elche,8.8,18,12,10,8,0,5,15,33.3,10,7,1,6,11,29,18,0
346,Míchel,es ESP,MF,Valladolid,10.5,18,11,10,3,5,5,22,22.7,17,10,1,9,9,27,12,1
347,Éder Militão,br BRA,DF,Real Madrid,12.6,20,8,13,6,1,8,14,57.1,6,19,6,13,19,39,42,0
348,Luis Milla,es ESP,MF,Granada,13.9,22,11,11,10,1,6,28,21.4,22,10,0,10,24,46,16,1
349,Pere Milla,es ESP,"FW,MF",Elche,22,24,17,12,10,2,8,37,21.6,29,17,5,12,13,37,17,1
350,Álex Millán,es ESP,FW,Villarreal,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
351,Santi Mina,es ESP,FW,Celta Vigo,26.8,31,13,9,12,10,6,37,16.2,31,15,3,12,6,37,17,0
352,Óscar Mingueza,es ESP,DF,Barcelona,21.1,52,33,28,17,7,30,53,56.6,23,19,6,13,20,72,48,2
353,Rafa Mir,es ESP,FW,Huesca,32,15,9,4,4,7,7,22,31.8,15,14,2,12,15,30,25,0
354,Jorge Miramón,es ESP,DF,Levante,19.2,32,22,26,6,0,21,35,60,14,22,2,20,27,59,54,0
355,Juan Miranda,es ESP,DF,Betis,18.4,27,11,16,9,2,16,32,50,16,18,2,16,29,56,58,1
356,Luka Modric,hr CRO,MF,Real Madrid,30.4,37,23,18,16,3,13,36,36.1,23,14,2,12,48,85,14,1
357,Johan Mojica,co COL,DF,Elche,13.4,21,10,15,5,1,8,18,44.4,10,15,4,11,15,36,27,0
358,Guillem Molina,es ESP,DF,Valencia,1.7,1,0,1,0,0,0,5,0,5,1,1,0,4,5,5,0
359,Jorge Molina,es ESP,FW,Granada,17.9,11,4,3,5,3,8,22,36.4,14,5,1,4,3,14,19,0
360,Victor Mollejo,es ESP,"MF,DF",Getafe,0.8,2,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0
361,Jon Moncayola,es ESP,MF,Osasuna,29.6,61,36,27,23,11,24,67,35.8,43,27,9,18,23,84,38,0
362,Nacho Monreal,es ESP,DF,Real Sociedad,23.1,31,19,17,11,3,7,20,35,13,14,3,11,31,62,43,0
363,Ángel Montoro,es ESP,MF,Granada,15.1,15,9,7,7,1,4,16,25,12,13,3,10,22,37,21,0
364,Martín Montoya,es ESP,DF,Betis,2.7,6,3,2,2,2,1,3,33.3,2,1,1,0,2,8,6,0
365,Emre Mor,tr TUR,"FW,MF",Celta Vigo,5.6,8,4,1,3,4,0,3,0,3,5,0,5,5,13,0,0
366,Jon Morcillo,es ESP,"MF,FW",Athletic Club,15.1,16,9,3,6,7,7,30,23.3,23,9,0,9,15,31,11,0
367,Alberto Moreno,es ESP,DF,Villarreal,2.1,7,4,7,0,0,2,5,40,3,2,1,1,3,10,2,0
368,Álex Moreno,es ESP,DF,Betis,19.8,42,26,25,12,5,20,43,46.5,23,18,4,14,35,77,48,0
369,Gerard Moreno,es ESP,FW,Villarreal,29.7,24,15,8,10,6,7,34,20.6,27,17,4,13,15,39,26,0
370,Tete Morente,es ESP,"MF,FW",Elche,22.4,31,17,17,9,5,9,39,23.1,30,20,0,20,13,44,28,0
371,Ilaix Moriba,gn GUI,MF,Barcelona,6,14,6,5,7,2,5,10,50,5,16,1,15,5,19,4,1
372,Loren Morón,es ESP,FW,Betis,11,11,7,2,6,3,1,16,6.3,15,11,0,11,3,14,14,0
373,Pedro Mosquera,es ESP,MF,Huesca,22.8,38,18,19,18,1,13,53,24.5,40,23,6,17,31,69,38,1
374,Javi Moyano,es ESP,DF,Valladolid,1.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,2,0
375,Iker Muniain,es ESP,"MF,FW",Athletic Club,21.6,20,7,4,10,6,6,24,25,18,15,0,15,11,31,4,0
376,Aihen Muñoz,es ESP,DF,Real Sociedad,13.4,23,16,15,5,3,11,19,57.9,8,12,2,10,10,33,31,0
377,Joaquín Muñoz,es ESP,FW,Huesca,0.5,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0
378,Jeison Murillo,co COL,DF,Celta Vigo,30,45,21,35,9,1,24,44,54.5,20,29,17,12,36,81,100,2
379,Yunus Musah,us USA,MF,Valencia,17,21,18,12,3,6,8,24,33.3,16,20,0,20,15,36,12,1
380,Yoshinori Mut?,jp JPN,"FW,MF",Eibar,12.5,12,7,1,4,7,3,8,37.5,5,5,0,5,3,15,2,0
381,Nacho,es ESP,DF,Valladolid,20.1,43,21,29,10,4,24,52,46.2,28,21,1,20,29,72,47,0
382,Nacho,es ESP,DF,Real Madrid,22.2,27,14,13,11,3,12,35,34.3,23,19,9,10,40,67,58,0
383,Nano,es ESP,FW,Cádiz,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
384,Roberto Navarro,es ESP,MF,Real Sociedad,0.4,1,1,1,0,0,0,2,0,2,0,0,0,1,2,0,0
385,Ximo Navarro,es ESP,DF,Alavés,26.4,54,30,36,17,1,14,30,46.7,16,14,4,10,47,101,75,3
386,Jesús Navas,es ESP,DF,Sevilla,31.4,27,21,15,11,1,15,22,68.2,7,10,3,7,37,64,62,1
387,Raúl Navas,es ESP,DF,Osasuna,1.9,6,3,5,1,0,4,6,66.7,2,0,0,0,3,9,13,0
388,Álvaro Negredo,es ESP,FW,Cádiz,24.4,11,5,3,4,4,5,11,45.5,6,7,2,5,3,14,19,0
389,Neto,br BRA,GK,Barcelona,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1
390,Carlos Neva,es ESP,DF,Granada,20,12,6,6,6,0,6,11,54.5,5,16,4,12,27,39,58,0
391,Mamor Niang,sn SEN,"MF,FW",Getafe,0.2,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
392,Nieto,es ESP,"FW,DF",Cádiz,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
393,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,22.6,57,34,27,23,7,30,59,50.8,29,35,2,33,19,76,43,0
394,Nino,es ESP,"FW,MF",Elche,3.2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
395,Fernando Niño,es ESP,FW,Villarreal,6.6,8,3,0,4,4,2,9,22.2,7,1,0,1,2,10,2,0
396,Nolito,es ESP,"MF,FW",Celta Vigo,28.9,70,36,30,30,10,32,92,34.8,60,46,2,44,22,92,19,0
397,Unai Núñez,es ESP,DF,Athletic Club,23.4,23,12,16,7,0,10,15,66.7,5,19,14,5,32,55,110,0
398,Kelechi Nwakali,ng NGA,"MF,FW",Huesca,1.6,4,3,1,2,1,0,4,0,4,1,0,1,1,5,1,0
399,Allan Nyom,cm CMR,"MF,DF",Getafe,25.8,38,23,14,19,5,15,30,50,15,16,2,14,22,60,42,0
400,Jan Oblak,si SVN,GK,Atlético Madrid,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,2
401,Lucas Ocampos,ar ARG,FW,Sevilla,29.2,36,24,12,16,8,13,37,35.1,24,33,1,32,19,55,30,1
402,Álvaro Odriozola,es ESP,DF,Real Madrid,9.2,14,7,5,8,1,3,5,60,2,6,3,3,6,20,12,1
403,Shinji Okazaki,jp JPN,"FW,MF",Huesca,12.5,7,5,5,0,2,0,5,0,5,5,0,5,4,11,6,0
404,Lucas Olaza,uy URU,DF,Valladolid,14,20,9,11,7,2,9,17,52.9,8,15,7,8,15,35,38,0
405,Lucas Olaza,uy URU,DF,Celta Vigo,17.9,25,16,12,12,1,10,18,55.6,8,15,1,14,24,49,34,0
406,Christian Oliva,uy URU,MF,Valencia,2.2,2,0,1,1,0,1,6,16.7,5,1,0,1,6,8,0,0
407,Kiko Olivas,es ESP,DF,Valladolid,2,3,2,2,1,0,3,5,60,2,2,2,0,7,10,3,0
408,Paulo Oliveira,pt POR,DF,Eibar,29.3,42,21,32,8,2,19,36,52.8,17,39,14,25,59,101,112,0
409,Mathías Olivera,uy URU,DF,Getafe,29,61,33,31,21,9,32,56,57.1,24,33,3,30,31,92,55,0
410,Javier Ontiveros,es ESP,"FW,MF",Huesca,10.2,21,14,10,10,1,9,26,34.6,17,12,0,12,9,30,6,0
411,Fabián Orellana,cl CHI,"MF,FW",Valladolid,23.8,33,19,12,14,7,12,55,21.8,43,18,0,18,15,48,9,0
412,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,26.8,30,17,14,12,4,10,31,32.3,21,30,5,25,15,45,17,0
413,Fernando Pacheco,es ESP,GK,Alavés,37.2,2,0,2,0,0,2,4,50,2,0,0,0,2,4,19,0
414,Jon Pacheco,es ESP,DF,Real Sociedad,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
415,Helibelton Palacios,co COL,DF,Elche,8.3,20,10,16,3,1,8,13,61.5,5,9,1,8,5,25,21,0
416,Ante Palaversa,hr CRO,MF,Getafe,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
417,Daniel Parejo,es ESP,MF,Villarreal,34.6,65,40,32,23,10,33,81,40.7,48,35,8,27,45,110,21,3
418,Thomas Partey,gh GHA,MF,Atlético Madrid,2.2,7,4,4,3,0,5,8,62.5,3,4,1,3,2,9,1,0
419,Gabriel Paulista,br BRA,DF,Valencia,30.2,17,11,9,5,3,6,17,35.3,11,32,27,5,59,76,132,3
420,Alfonso Pedraza,es ESP,DF,Villarreal,23.3,35,19,16,11,8,11,31,35.5,20,21,5,16,34,69,47,1
421,Pedri,es ESP,MF,Barcelona,26.8,44,27,16,16,12,17,71,23.9,54,46,1,45,33,77,7,0
422,Facundo Pellistri,uy URU,"MF,FW",Alavés,6,8,5,2,4,2,3,13,23.1,10,0,0,0,4,12,3,0
423,Rubén Peña,es ESP,DF,Villarreal,12.4,25,14,8,15,2,19,33,57.6,14,20,1,19,13,38,19,0
424,Pepe,es ESP,DF,Granada,2.8,4,2,2,2,0,3,4,75,1,5,2,3,4,8,9,0
425,Alberto Perea,es ESP,MF,Cádiz,17.2,28,17,12,10,6,9,35,25.7,26,26,1,25,21,49,9,0
426,Iñigo Pérez,es ESP,"MF,DF",Osasuna,15,20,10,9,6,5,10,16,62.5,6,12,0,12,15,35,8,1
427,Juan Pérez,es ESP,GK,Osasuna,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
428,Kike Pérez,es ESP,MF,Valladolid,12.9,26,19,8,14,4,7,33,21.2,26,10,1,9,17,43,18,0
429,Lucas Pérez,es ESP,FW,Alavés,19.5,6,2,3,3,0,2,10,20,8,6,1,5,2,8,5,0
430,Luis Pérez,es ESP,DF,Valladolid,14.4,33,17,16,17,0,18,30,60,12,26,8,18,14,47,54,1
431,Nehuén Pérez,ar ARG,DF,Granada,8.2,6,3,6,0,0,4,6,66.7,2,5,4,1,12,18,33,0
432,Pablo Piatti,ar ARG,"MF,FW",Elche,4,8,6,3,3,2,3,12,25,9,5,0,5,2,10,1,0
433,Cristiano Piccini,it ITA,DF,Valencia,0.7,1,1,1,0,0,1,2,50,1,0,0,0,0,1,3,0
434,Tomás Pina Isla,es ESP,MF,Alavés,28.6,39,18,18,16,5,16,42,38.1,26,28,8,20,37,76,42,0
435,Yeremi Pino,es ESP,"FW,MF",Villarreal,8.9,19,11,10,7,2,8,28,28.6,20,20,1,19,9,28,8,0
436,Gerard Piqué,es ESP,DF,Barcelona,16.5,16,11,11,5,0,9,12,75,3,9,4,5,26,42,46,0
437,Miralem Pjani?,ba BIH,MF,Barcelona,7,13,8,7,4,2,7,13,53.8,6,5,1,4,11,24,5,0
438,Óscar Plano,es ESP,"MF,FW",Valladolid,28,42,24,24,12,6,14,46,30.4,32,35,6,29,34,76,43,0
439,Dani Plomer,es ESP,FW,Granada,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
440,Jorge Pombo,es ESP,"FW,MF",Cádiz,5.8,7,3,3,2,2,1,8,12.5,7,2,0,2,2,9,3,0
441,Pere Pons,es ESP,MF,Alavés,13.2,20,10,8,8,4,5,16,31.3,11,15,2,13,7,27,10,0
442,Francisco Portillo,es ESP,"MF,FW",Getafe,4.6,5,3,1,4,0,2,14,14.3,12,3,0,3,5,10,1,0
443,Portu,es ESP,"FW,MF",Real Sociedad,24.3,18,8,4,10,4,7,36,19.4,29,24,2,22,8,26,5,0
444,Sergio Postigo,es ESP,DF,Levante,18,16,12,12,3,1,7,18,38.9,11,21,10,11,33,49,84,1
445,Darío Poveda,es ESP,FW,Getafe,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
