,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
127,Sergi Darder,es ESP,MF,Espanyol,30.9,64,43,29,28,7,19,62,30.6,43,31,5,26,52,116,48,1
128,Salem Al-Dawsari,sa KSA,MF,Villarreal,0.4,1,0,0,1,0,1,1,100,0,1,0,1,0,1,0,0
129,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,10.3,10,7,2,5,3,1,13,7.7,12,8,0,8,5,15,2,0
130,Ermedin Demirovi?,ba BIH,FW,Alavés,2,1,1,0,1,0,0,1,0,1,5,0,5,0,1,2,0
131,Gerard Deulofeu,es ESP,"MF,FW",Barcelona,5.6,8,5,6,1,1,3,4,75,1,2,0,2,8,16,0,0
132,Adrián Diéguez,es ESP,DF,Alavés,4.8,10,5,5,5,0,6,13,46.2,7,5,0,5,11,21,24,1
133,Lucas Digne,fr FRA,DF,Barcelona,7.8,22,17,13,6,3,8,12,66.7,4,15,3,12,12,34,18,0
134,Papakouli Diop,sn SEN,MF,Espanyol,2.9,5,3,1,3,1,0,3,0,3,5,2,3,6,11,6,0
135,Papakouli Diop,sn SEN,MF,Eibar,10.4,26,20,6,16,4,11,26,42.3,15,3,0,3,13,39,10,0
136,Djené,tg TOG,DF,Getafe,36,87,65,71,15,1,34,52,65.4,18,33,14,19,78,165,190,1
137,Marko Dmitrovi?,rs SRB,GK,Eibar,36,4,4,4,0,0,4,11,36.4,7,1,0,1,2,6,26,2
138,Jaume Doménech,es ESP,GK,Valencia,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
139,Mauro dos Santos,ar ARG,DF,Leganés,10.9,16,14,11,5,0,10,15,66.7,5,7,5,2,12,28,53,1
140,Cheick Doukouré,ci CIV,MF,Levante,11.4,34,19,18,15,1,6,22,27.3,16,15,4,11,14,48,4,0
141,Óscar Duarte,cr CRC,DF,Espanyol,11,12,9,8,4,0,4,11,36.4,7,8,8,0,9,21,60,2
142,Rubén Duarte,es ESP,DF,Alavés,23.8,76,40,42,27,7,35,59,59.3,24,40,10,30,44,120,94,0
143,Riza Durmisi,dk DEN,DF,Betis,23.1,39,21,24,14,1,10,18,55.6,8,18,7,11,15,54,65,1
144,Hugo Duro,es ESP,FW,Getafe,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
145,Aritz Elustondo,es ESP,DF,Real Sociedad,17.7,32,20,20,9,3,19,30,63.3,11,20,7,13,45,77,84,0
146,Rodrigo Ely,br BRA,DF,Alavés,29.9,32,18,26,6,0,19,34,55.9,15,45,36,9,50,82,183,0
147,Youssef En-Nesyri,ma MAR,FW,Málaga,17.7,31,25,10,14,7,6,26,23.1,20,11,0,11,9,40,32,0
148,Sergi Enrich,es ESP,FW,Eibar,14.8,11,8,3,3,5,2,8,25,6,13,1,12,6,17,8,0
149,Javier Eraso,es ESP,"MF,FW",Leganés,28.1,32,15,10,18,4,13,42,31,29,16,5,11,23,55,17,0
150,Gonzalo Escalante,ar ARG,MF,Eibar,17.4,59,35,21,32,6,17,39,43.6,22,26,3,23,32,91,19,0
151,Sergio Escudero,es ESP,DF,Sevilla,25.9,78,49,40,26,12,32,62,51.6,30,35,6,29,66,144,69,1
