,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
19,Carles Aleñá,es ESP,MF,Getafe,25.8,27,19,11,13,3,9,48,18.8,39,21,2,19,15,42,16,0
20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
21,Hugo Álvarez,es ESP,FW,Celta Vigo,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0
22,Yeray Álvarez,es ESP,DF,Athletic Club,20.7,24,14,15,8,1,10,18,55.6,8,21,16,5,45,69,97,0
23,Dani Alves,br BRA,DF,Barcelona,12.2,30,19,13,13,4,14,26,53.8,12,10,3,7,11,41,10,2
24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,0.9,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0
25,Amath,sn SEN,"FW,MF",Mallorca,9.8,21,11,11,6,4,7,17,41.2,10,12,0,12,7,28,7,0
26,Florin Andone,ro ROU,FW,Cádiz,2,1,1,1,0,0,0,1,0,1,2,0,2,0,1,1,0
27,José Ángel,es ESP,DF,Osasuna,12,20,13,9,9,2,9,14,64.3,5,6,1,5,10,30,21,0
28,Josep Antoni Gayá,es ESP,DF,Mallorca,0.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1
29,Mauro Arambarri,uy URU,MF,Getafe,29.6,62,37,19,32,11,20,68,29.4,48,35,5,30,32,94,18,0
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29.1,22,14,17,5,0,9,21,42.9,12,17,10,7,27,49,105,2
31,Ronald Araújo,uy URU,DF,Barcelona,25.2,41,23,29,12,0,21,25,84,4,37,20,17,23,64,66,1
32,Jesús Areso,es ESP,DF,Osasuna,2.1,3,3,2,1,0,0,2,0,2,0,0,0,0,3,2,1
33,Matias Arezo,uy URU,"FW,MF",Granada,1.8,5,3,2,1,2,4,9,44.4,5,1,0,1,1,6,1,0
34,Santiago Arias,co COL,DF,Granada,4.9,12,5,8,3,1,4,9,44.4,5,8,4,4,5,17,10,0
35,Santiago Arzamendia,py PAR,MF,Cádiz,5.2,14,6,6,5,3,6,13,46.2,7,6,0,6,4,18,7,0
36,Sergio Asenjo,es ESP,GK,Villarreal,6,0,0,0,0,0,0,1,0,1,0,0,0,1,1,6,0
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
38,Marco Asensio,es ESP,"FW,MF",Real Madrid,19.2,12,8,6,4,2,4,18,22.2,14,8,1,7,12,24,6,1
39,Iago Aspas,es ESP,FW,Celta Vigo,34.3,14,7,1,5,8,4,24,16.7,20,23,2,21,11,25,19,0
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,12,2,2,0,1,1,0,5,0,5,9,1,8,2,4,4,0
41,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,8.8,18,14,11,3,4,8,13,61.5,5,10,3,7,5,23,21,0
42,Serge Aurier,ci CIV,DF,Villarreal,11.2,14,9,11,2,1,4,7,57.1,3,14,7,7,11,25,25,0
43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,20.8,17,7,6,7,4,7,21,33.3,14,14,2,12,13,30,15,1
44,Iddrisu Baba,gh GHA,MF,Mallorca,21.5,57,30,31,23,3,25,43,58.1,18,19,5,14,24,81,34,1
45,Carlos Bacca,co COL,FW,Granada,5.7,4,4,2,0,2,0,3,0,3,5,0,5,1,5,5,0
46,Édgar Badía,es ESP,GK,Elche,24,0,0,0,0,0,0,0,,0,0,0,0,0,0,16,2
47,Miguel Baeza,es ESP,DF,Celta Vigo,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
48,Alejandro Balde,es ESP,"DF,FW",Barcelona,2.1,2,1,1,0,1,0,0,,0,2,2,0,1,3,1,0
49,Gareth Bale,wls WAL,FW,Real Madrid,3.1,2,1,1,0,1,1,4,25,3,2,0,2,2,4,1,0
50,Mikel Balenziaga,es ESP,DF,Athletic Club,22.5,33,24,15,15,3,25,43,58.1,18,27,4,23,21,54,79,0
51,Iván Balliu,al ALB,DF,Rayo Vallecano,35,45,22,25,11,9,19,31,61.3,12,24,5,19,39,84,64,0
52,Barbero,es ESP,"FW,MF",Osasuna,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
53,Barcia,es ESP,DF,Granada,0.8,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,1
54,Enis Bardhi,mk MKD,"MF,FW",Levante,18.9,29,12,12,14,3,12,35,34.3,23,13,2,11,10,39,7,0
55,Keidi Bare,al ALB,MF,Espanyol,16.5,27,17,14,12,1,11,31,35.5,20,20,10,10,15,42,26,1
56,Kike Barja,es ESP,"MF,FW",Osasuna,9.6,15,11,4,7,4,8,22,36.4,14,10,1,9,9,24,4,0
57,Antonio Barragán,es ESP,DF,Elche,11.3,21,14,13,7,1,11,17,64.7,6,5,3,2,17,38,34,0
58,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,6.1,15,10,9,6,0,8,18,44.4,10,7,0,7,2,17,2,0
59,Marc Bartra,es ESP,DF,Betis,22.1,39,14,18,17,4,19,35,54.3,16,39,22,17,33,72,105,1
60,Álvaro Bastida,es ESP,MF,Cádiz,2.2,7,4,2,4,1,4,5,80,1,1,0,1,3,10,1,0
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,13.1,32,16,13,19,0,15,30,50,15,21,10,11,10,42,36,0
62,Jon Bautista,es ESP,MF,Real Sociedad,0.5,3,0,0,3,0,0,1,0,1,1,0,1,1,4,1,0
63,Bebé,cv CPV,FW,Rayo Vallecano,9.6,6,5,1,3,2,4,16,25,12,18,0,18,3,9,6,0
64,Héctor Bellerín,es ESP,DF,Betis,22,52,32,29,20,3,31,44,70.5,13,11,2,9,23,75,57,1
65,Fran Beltrán,es ESP,MF,Celta Vigo,28.9,56,41,27,23,6,28,68,41.2,40,29,5,24,32,88,39,0
66,Darío Benedetto,ar ARG,"FW,MF",Elche,6.6,5,1,2,2,1,3,6,50,3,4,0,4,1,6,1,0
67,Iker Benito,es ESP,"FW,MF",Osasuna,1.3,2,1,1,0,1,0,1,0,1,2,0,2,0,2,2,0
68,Pedro Benito,es ESP,FW,Cádiz,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
69,Karim Benzema,fr FRA,FW,Real Madrid,28.8,11,9,5,3,3,2,9,22.2,7,10,0,10,4,15,13,0
70,Yuri Berchiche,es ESP,DF,Athletic Club,11.3,25,11,10,11,4,7,14,50,7,19,6,13,13,38,25,0
71,Álex Berenguer,es ESP,MF,Athletic Club,24.1,45,26,23,14,8,11,51,21.6,40,40,2,38,16,61,20,0
72,Pedro Bigas,es ESP,DF,Elche,17.2,24,10,16,8,0,9,20,45,11,21,16,5,18,42,77,1
73,Blanco,es ESP,MF,Real Madrid,0.3,2,0,1,1,0,0,0,,0,1,1,0,1,3,0,0
74,Yassine Bounou,ma MAR,GK,Sevilla,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1
75,Lucas Boyé,ar ARG,FW,Elche,19,27,13,5,15,7,9,24,37.5,15,24,1,23,2,29,23,0
76,Martin Braithwaite,dk DEN,FW,Barcelona,2.6,1,1,0,0,1,0,0,,0,2,0,2,1,2,1,0
77,Darko Brasanac,rs SRB,MF,Osasuna,26.7,35,22,19,14,2,14,40,35,26,25,8,17,25,60,15,0
78,Claudio Bravo,cl CHI,GK,Betis,16.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,2
79,Yan Brice Eteki,cm CMR,MF,Granada,3.8,6,3,3,2,1,3,7,42.9,4,7,3,4,4,10,6,1
80,Bryan,es ESP,"MF,FW",Valencia,8.4,13,8,6,3,4,2,13,15.4,11,13,0,13,1,14,4,0
81,Ante Budimir,hr CRO,FW,Osasuna,19.3,24,10,3,15,6,6,19,31.6,13,22,4,18,3,27,16,0
82,Sergio Busquets,es ESP,MF,Barcelona,35.5,93,49,31,48,14,46,83,55.4,37,44,8,36,45,138,31,0
83,Adrián Butzke,es ESP,FW,Granada,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
84,Erick Cabaco,uy URU,DF,Getafe,4.5,2,1,1,1,0,2,5,40,3,5,2,3,4,6,10,0
85,Leandro Cabrera,uy URU,DF,Espanyol,37,37,24,27,10,0,21,34,61.8,13,32,23,9,44,81,222,2
86,Martín Cáceres,uy URU,DF,Levante,7.4,2,2,2,0,0,1,5,20,4,2,2,0,11,13,16,1
87,Cala,es ESP,DF,Cádiz,10.5,9,4,9,0,0,8,17,47.1,9,12,6,6,12,21,56,0
88,Calderón,es ESP,DF,Betis,0.7,2,0,1,0,1,1,3,33.3,2,0,0,0,0,2,2,0
89,Fernando Calero,es ESP,DF,Espanyol,12.1,17,10,12,5,0,8,13,61.5,5,7,2,5,16,33,63,1
90,Víctor Camarasa,es ESP,"MF,FW",Betis,1.2,2,1,1,1,0,0,1,0,1,2,1,1,2,4,2,0
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,13.7,52,35,22,20,10,20,38,52.6,18,20,2,18,17,69,14,1
92,José Campaña,es ESP,MF,Levante,15.8,27,16,13,10,4,12,32,37.5,20,13,2,11,21,48,19,1
93,Sergio Canales,es ESP,"FW,MF",Betis,31,24,14,8,12,4,10,35,28.6,25,16,1,15,10,34,12,0
94,Álex Cantero,es ESP,"FW,MF",Levante,6.8,6,4,2,3,1,1,8,12.5,7,2,0,2,1,7,0,0
95,Ander Capa,es ESP,DF,Athletic Club,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
96,Étienne Capoue,fr FRA,MF,Villarreal,25.4,44,26,18,23,3,15,28,53.6,13,17,5,12,35,79,51,0
97,Isaac Carcelen,es ESP,"DF,MF",Cádiz,17.2,43,29,29,12,2,28,56,50,28,25,6,19,34,77,42,0
98,Cárdenas,es ESP,GK,Levante,24,1,1,1,0,0,0,3,0,3,0,0,0,1,2,19,0
99,Carlo,es ESP,MF,Villarreal,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
100,Diego Carlos,br BRA,DF,Sevilla,32.9,35,24,20,13,2,16,24,66.7,8,48,33,15,24,59,120,5
101,Carmona,es ESP,DF,Sevilla,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
102,Yannick Carrasco,be BEL,"FW,MF",Atlético Madrid,28.7,34,19,16,12,6,19,44,43.2,25,26,5,21,19,53,12,2
103,Guido Carrillo,ar ARG,FW,Elche,13,7,4,2,4,1,3,13,23.1,10,9,2,7,1,8,27,0
104,Dani Carvajal,es ESP,DF,Real Madrid,17.2,43,28,21,15,7,15,26,57.7,11,22,8,14,20,63,38,2
105,William Carvalho,pt POR,MF,Betis,20.1,49,33,20,25,4,15,40,37.5,25,18,7,11,16,65,20,0
106,Casemiro,br BRA,MF,Real Madrid,28.5,79,51,45,30,4,30,67,44.8,37,65,19,46,38,117,65,3
107,Kiko Casilla,es ESP,GK,Elche,14,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2
108,Catena,es ESP,DF,Rayo Vallecano,36,39,23,24,15,0,25,42,59.5,17,26,19,7,30,69,168,3
109,Dani Ceballos,es ESP,MF,Real Madrid,3.1,7,5,4,3,0,1,5,20,4,8,2,6,4,11,2,0
110,Franco Cervi,ar ARG,MF,Celta Vigo,20,73,41,35,22,16,33,77,42.9,44,38,2,36,21,94,19,0
111,Chapela,es ESP,"MF,FW",Cádiz,4.4,4,2,1,0,3,2,4,50,2,6,1,5,4,8,5,0
112,Chema,es ESP,MF,Getafe,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
113,Denis Cheryshev,ru RUS,"MF,FW",Valencia,6.3,14,5,6,1,7,6,15,40,9,9,1,8,9,23,9,0
114,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,14.8,13,9,6,5,2,3,6,50,3,7,0,7,5,18,4,0
115,Víctor Chust,es ESP,DF,Cádiz,20.3,19,10,14,4,1,11,17,64.7,6,20,8,12,16,35,87,0
116,Jasper Cillessen,nl NED,GK,Valencia,16.2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,6,0
117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,12.2,31,15,20,8,3,12,26,46.2,14,16,6,10,30,61,27,0
118,Carlos Clerc,es ESP,DF,Levante,16.8,35,17,21,10,4,7,19,36.8,12,8,3,5,26,61,32,1
119,Coke,es ESP,DF,Levante,1.3,3,2,1,1,1,3,4,75,1,1,0,1,2,5,7,0
120,Álex Collado,es ESP,"MF,FW",Granada,11.3,27,12,6,16,5,12,31,38.7,19,28,2,26,6,33,11,0
121,Eray Cömert,ch SUI,DF,Valencia,4.5,5,3,4,1,0,3,6,50,3,3,2,1,2,7,6,0
122,Santi Comesaña,es ESP,MF,Rayo Vallecano,29.8,87,56,45,33,9,40,104,38.5,64,46,6,40,33,120,30,0
123,Diego Conde,es ESP,GK,Getafe,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
124,Francis Coquelin,fr FRA,MF,Villarreal,9.2,26,17,9,11,6,11,20,55,9,15,5,10,19,45,11,0
125,Jesús Corona,mx MEX,"FW,DF",Sevilla,12.9,12,7,7,5,0,3,6,50,3,4,0,4,8,20,6,0
126,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,20.6,16,8,5,10,1,7,29,24.1,22,25,2,23,10,26,4,0
127,Thierry Correia,pt POR,DF,Valencia,15.7,35,23,26,6,3,14,29,48.3,15,20,5,15,19,54,27,0
128,Hélder Costa,ao ANG,"MF,FW",Valencia,12.4,27,16,11,9,7,14,41,34.1,27,12,1,11,3,30,9,0
129,Jaume Costa,es ESP,DF,Mallorca,20.3,35,26,23,7,5,23,31,74.2,8,22,7,15,23,58,55,0
130,Thibaut Courtois,be BEL,GK,Real Madrid,36,1,0,1,0,0,1,2,50,1,0,0,0,0,1,9,1
131,Philippe Coutinho,br BRA,"MF,FW",Barcelona,5.6,6,3,3,3,0,3,11,27.3,8,3,0,3,4,10,3,0
132,Cristo,es ESP,DF,Real Sociedad,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
133,Juan Cruz Armada,es ESP,DF,Osasuna,21.5,28,21,15,12,1,8,16,50,8,15,12,3,16,44,58,1
134,Marc Cucurella,es ESP,"MF,DF",Getafe,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
135,Jorge Cuenca,es ESP,DF,Getafe,29.8,46,32,30,15,1,21,28,75,7,29,14,15,39,85,155,0
136,Matheus Cunha,br BRA,FW,Atlético Madrid,11.8,19,12,3,11,5,5,20,25,15,18,2,16,6,25,9,0
137,Sergi Darder,es ESP,MF,Espanyol,34.7,45,22,16,19,10,18,54,33.3,36,16,1,15,26,71,32,1
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,23.9,55,30,22,25,8,30,60,50,30,24,3,21,21,76,17,2
139,Thomas Delaney,dk DEN,MF,Sevilla,17.2,41,24,17,21,3,16,30,53.3,14,19,10,9,13,54,35,0
140,Ousmane Dembélé,fr FRA,FW,Barcelona,15.7,24,16,6,10,8,7,23,30.4,16,8,0,8,8,32,3,0
141,Yusuf Demir,at AUT,FW,Barcelona,2.1,3,1,1,1,1,2,5,40,3,1,0,1,2,5,1,0
142,Memphis Depay,nl NED,FW,Barcelona,20.6,10,4,2,4,4,3,13,23.1,10,9,1,8,3,13,4,0
143,Sergiño Dest,us USA,"DF,FW",Barcelona,16.8,32,15,21,10,1,13,18,72.2,5,22,4,18,2,34,18,0
144,Boulaye Dia,sn SEN,FW,Villarreal,14.1,8,6,3,4,1,2,5,40,3,6,1,5,5,13,4,0
145,Mouctar Diakhaby,gn GUI,DF,Valencia,21.6,35,24,18,15,2,13,23,56.5,10,29,17,12,30,65,87,3
146,Javier Díaz,es ESP,GK,Sevilla,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
147,Víctor Díaz,es ESP,DF,Granada,16.7,23,15,14,9,0,12,25,48,13,19,11,8,17,40,71,1
148,Landry Dimata,be BEL,"FW,MF",Espanyol,6,2,2,1,1,0,1,4,25,3,0,0,0,1,3,7,0
149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,30.8,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,3
150,Matías Dituro,ar ARG,GK,Celta Vigo,38,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,5
151,Djené,tg TOG,DF,Getafe,34.6,44,26,24,16,4,23,34,67.6,11,24,5,19,59,103,109,2
152,Naïs Djouahra,fr FRA,"FW,MF",Real Sociedad,2.4,7,3,2,2,3,4,8,50,4,3,0,3,2,9,2,0
153,Marko Dmitrovi?,rs SRB,GK,Sevilla,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
154,Jaume Doménech,es ESP,GK,Valencia,3.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
155,Carlos Dominguez,es ESP,DF,Celta Vigo,3.8,4,1,4,0,0,4,6,66.7,2,2,1,1,4,8,21,0
156,Mario Dominguez,es ESP,FW,Valencia,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
157,John Donald,es ESP,DF,Elche,2,7,4,4,2,1,5,8,62.5,3,5,3,2,3,10,3,0
158,Domingos Duarte,pt POR,DF,Granada,18.7,18,14,9,9,0,6,11,54.5,5,27,20,7,22,40,82,0
159,Óscar Duarte,cr CRC,DF,Levante,19.7,18,8,12,6,0,8,23,34.8,15,18,9,9,24,42,102,0
160,Rubén Duarte,es ESP,DF,Alavés,29.1,76,47,43,27,6,43,85,50.6,42,40,6,34,57,133,82,0
161,Unai Dufur,es ESP,DF,Osasuna,1,0,0,0,0,0,0,0,,0,1,0,1,4,4,4,0
162,Hugo Duro,es ESP,"DF,MF",Getafe,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
163,Hugo Duro,es ESP,"FW,MF",Valencia,20.4,25,19,11,13,1,15,38,39.5,23,24,2,22,4,29,20,1
164,Aritz Elustondo,es ESP,DF,Real Sociedad,23.4,21,14,16,5,0,10,20,50,10,19,13,6,29,50,86,0
165,Adri Embarba,es ESP,"FW,MF",Espanyol,22.1,44,29,22,15,7,26,69,37.7,43,35,3,32,19,63,30,0
166,Emerson,br BRA,DF,Barcelona,1,3,3,2,1,0,1,2,50,1,1,0,1,2,5,1,0
167,Youssef En-Nesyri,ma MAR,FW,Sevilla,14.2,10,5,5,2,3,4,11,36.4,7,9,1,8,4,14,18,0
168,Gonzalo Escalante,ar ARG,MF,Alavés,14.4,30,14,9,20,1,13,34,38.2,21,27,2,25,21,51,28,0
169,Aarón Escandell,es ESP,GK,Granada,3.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0
170,Sergio Escudero,es ESP,"DF,MF",Granada,15.9,46,24,25,17,4,26,54,48.1,28,18,3,15,26,72,35,0
171,Alfonso Espino,uy URU,DF,Cádiz,37,107,63,58,39,10,44,112,39.3,68,45,10,35,54,161,87,1
172,Estanis,es ESP,FW,Barcelona,0.1,1,1,0,1,0,1,1,100,0,0,0,0,0,1,0,0
173,Pervis Estupiñán,ec ECU,DF,Villarreal,17.5,36,22,20,11,5,17,24,70.8,7,13,5,8,25,61,29,2
174,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,6.4,17,9,9,5,3,5,8,62.5,3,3,0,3,9,26,0,0
175,Radamel Falcao,co COL,FW,Rayo Vallecano,9.3,2,1,0,1,1,1,4,25,3,4,1,3,2,4,11,0
176,Fali,es ESP,"DF,MF",Cádiz,20,32,19,24,8,0,17,32,53.1,15,26,16,10,24,56,82,0
177,Omar Faraj,se SWE,FW,Levante,0,1,0,1,0,0,1,1,100,0,0,0,0,0,1,0,0
178,Ansu Fati,es ESP,FW,Barcelona,3.7,3,2,0,2,1,1,1,100,0,4,0,4,1,4,0,0
179,Aleix Febas,es ESP,MF,Mallorca,1.3,4,1,0,4,0,2,4,50,2,0,0,0,0,4,0,0
180,Nabil Fekir,fr FRA,MF,Betis,31,43,29,5,25,13,7,36,19.4,29,14,0,14,7,50,7,0
181,Felipe,br BRA,DF,Atlético Madrid,16.7,20,15,11,8,1,8,18,44.4,10,17,11,6,28,48,77,0
182,João Félix,pt POR,"FW,MF",Atlético Madrid,14,5,2,1,4,0,1,5,20,4,4,1,3,7,12,8,0
183,Aitor Fernández,es ESP,GK,Levante,13,2,1,2,0,0,2,2,100,0,0,0,0,0,2,7,0
184,Álex Fernández,es ESP,MF,Cádiz,22.8,47,31,22,17,8,21,61,34.4,40,30,7,23,30,77,31,0
185,Fernando,br BRA,"MF,DF",Sevilla,20.6,24,17,14,9,1,12,33,36.4,21,21,13,8,29,53,32,2
186,Fidel,es ESP,MF,Elche,25.1,44,23,18,17,9,14,57,24.6,43,9,1,8,7,51,20,0
187,José Fontán,es ESP,DF,Celta Vigo,3.1,5,3,3,2,0,1,5,20,4,3,1,2,10,15,10,0
188,Dimitri Foulquier,fr FRA,DF,Granada,2,0,0,0,0,0,0,1,0,1,2,1,1,1,1,2,0
189,Dimitri Foulquier,fr FRA,DF,Valencia,26,36,17,17,15,4,21,34,61.8,13,19,3,16,29,65,49,0
190,Juan Foyth,ar ARG,DF,Villarreal,21.4,69,49,35,28,6,35,47,74.5,12,29,7,22,20,89,50,0
191,Enric Franquesa,es ESP,"DF,FW",Levante,6.9,5,3,4,0,1,0,1,0,1,4,0,4,7,12,11,0
192,Jorge de Frutos,es ESP,"MF,FW",Levante,19.6,33,15,14,11,8,10,51,19.6,41,11,1,10,12,45,13,0
193,Javi Galán,es ESP,DF,Celta Vigo,36.6,108,66,60,37,11,42,99,42.4,57,48,8,40,45,153,52,0
194,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,15.3,40,21,14,21,5,14,30,46.7,16,16,2,14,20,60,21,0
195,Thiago Galhardo,br BRA,"FW,MF",Celta Vigo,12.8,12,6,3,3,6,2,12,16.7,10,15,2,13,6,18,9,0
196,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,33.3,42,23,15,18,9,8,35,22.9,27,27,3,24,42,84,24,0
197,Dani García,es ESP,MF,Athletic Club,24.2,36,22,15,17,4,14,47,29.8,33,27,10,17,24,60,41,1
198,David García,es ESP,DF,Osasuna,34.5,28,14,15,11,2,12,22,54.5,10,27,21,6,52,80,168,0
199,Eric García,es ESP,DF,Barcelona,22.7,27,18,13,13,1,11,26,42.3,15,22,12,10,44,71,53,3
200,Francisco Garcia,es ESP,DF,Rayo Vallecano,33.6,60,35,44,12,4,39,73,53.4,34,34,8,26,45,105,53,0
201,Joan García,es ESP,GK,Espanyol,1.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,2
202,Manu García,es ESP,MF,Alavés,12,18,9,6,9,3,9,27,33.3,18,8,2,6,13,31,4,0
203,Raúl García,es ESP,FW,Athletic Club,20,27,17,6,11,10,8,36,22.2,28,30,4,26,9,36,21,0
204,Rubén García,es ESP,"MF,FW",Osasuna,26.4,43,26,12,23,8,16,49,32.7,33,31,4,27,24,67,16,0
205,Saúl García,es ESP,MF,Alavés,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
206,Unai García,es ESP,DF,Osasuna,15.6,21,12,14,6,1,14,17,82.4,3,19,11,8,22,43,78,0
207,Mario Gaspar,es ESP,DF,Villarreal,6.9,10,4,2,5,3,6,10,60,4,6,3,3,6,16,15,0
208,Gavi,es ESP,"MF,FW",Barcelona,25.7,38,18,13,18,7,9,33,27.3,24,36,0,36,25,63,13,0
209,Óscar Gil,es ESP,DF,Espanyol,18.8,52,35,27,20,5,25,46,54.3,21,33,9,24,19,71,33,2
210,Mario Gila,es ESP,DF,Real Madrid,0.3,1,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0
211,Dani Gómez,es ESP,FW,Levante,11.8,7,4,3,2,2,4,12,33.3,8,3,0,3,3,10,5,0
212,Maxi Gómez,uy URU,FW,Valencia,21.7,5,3,1,2,2,5,8,62.5,3,5,1,4,3,8,22,0
213,Moi Gómez,es ESP,"MF,FW",Villarreal,14.3,15,7,8,3,4,5,17,29.4,12,5,0,5,6,21,6,0
214,Papu Gómez,ar ARG,"FW,MF",Sevilla,19.8,19,11,9,5,5,9,35,25.7,26,15,2,13,7,26,12,2
215,Sergi Gómez,es ESP,DF,Espanyol,30.2,33,24,29,3,1,18,27,66.7,9,33,23,10,40,73,125,2
216,Maxime Gonalons,fr FRA,MF,Granada,17.2,43,28,17,22,4,14,39,35.9,25,33,10,23,18,61,29,0
217,Diego González,es ESP,DF,Elche,19.9,25,16,18,7,0,9,16,56.3,7,21,13,8,19,44,87,0
218,Édgar González,es ESP,DF,Betis,16.3,25,19,15,8,2,17,24,70.8,7,17,11,6,23,48,82,0
219,Giovanni González,uy URU,DF,Mallorca,4.1,9,3,4,4,1,3,5,60,2,7,2,5,4,13,14,0
220,Nicolás González,es ESP,MF,Barcelona,12.4,31,20,5,23,3,11,27,40.7,16,12,0,12,6,37,12,0
221,Peter González,do DOM,"MF,DF",Real Madrid,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
222,Roberto González,es ESP,"FW,MF",Betis,1.5,5,4,3,2,0,4,6,66.7,2,5,0,5,1,6,1,0
