,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
223,Ander Guevara,es ESP,MF,Real Sociedad,10.4,27,11,9,17,1,12,30,40,18,13,3,10,8,35,15,1
224,John Guidetti,se SWE,"FW,MF",Alavés,1.1,2,1,0,1,1,0,0,,0,1,0,1,0,2,0,0
225,Hugo Guillamón,es ESP,DF,Valencia,5.5,8,3,5,2,1,5,10,50,5,3,2,1,5,13,29,0
226,Munir El Haddadi,ma MAR,FW,Sevilla,13.9,19,17,6,11,2,4,21,19,17,8,0,8,7,26,8,0
227,Eden Hazard,be BEL,"FW,MF",Real Madrid,12,7,3,2,3,2,3,15,20,12,5,0,5,6,13,0,0
228,Mario Hermoso,es ESP,DF,Atlético Madrid,13.5,15,8,12,2,1,11,20,55,9,11,5,6,12,27,61,0
229,Aridane Hernández,gq EQG,DF,Osasuna,29,35,23,22,13,0,15,19,78.9,4,24,15,9,34,69,137,2
230,Javier Hernández,mx MEX,FW,Sevilla,5,6,4,0,4,2,1,6,16.7,5,5,0,5,5,11,1,0
231,Juan Hernández,es ESP,"FW,MF",Celta Vigo,1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
232,Héctor Herrera,mx MEX,MF,Atlético Madrid,12.5,31,21,9,18,4,13,32,40.6,19,16,7,9,17,48,13,2
233,Sergio Herrera,es ESP,GK,Osasuna,18.4,1,1,1,0,0,1,4,25,3,0,0,0,1,2,13,3
234,Yangel Herrera,ve VEN,MF,Granada,26.3,88,49,25,53,10,36,80,45,44,38,9,29,34,122,28,0
235,Iago Herrerín,es ESP,GK,Athletic Club,4.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
236,Pablo Hervías,es ESP,"MF,FW",Valladolid,11.3,24,20,8,14,2,12,22,54.5,10,8,0,8,5,29,0,0
237,Robert Ibáñez,es ESP,"MF,FW",Osasuna,6,13,8,4,5,4,7,20,35,13,7,0,7,5,18,5,0
238,Vicente Iborra,es ESP,MF,Villarreal,29.4,61,42,31,25,5,30,67,44.8,37,35,16,19,40,101,63,1
239,Borja Iglesias,es ESP,FW,Betis,21.4,7,5,1,4,2,0,9,0,9,7,4,3,5,12,18,0
240,Asier Illarramendi,es ESP,MF,Real Sociedad,2.4,2,2,1,0,1,2,6,33.3,4,2,1,1,5,7,6,0
241,Takashi Inui,jp JPN,"MF,FW",Eibar,21.8,20,10,7,8,5,11,34,32.4,23,23,4,19,18,38,12,0
242,Alexander Isak,se SWE,FW,Real Sociedad,16.7,7,2,0,3,4,1,8,12.5,7,8,0,8,3,10,6,0
243,Isco,es ESP,"FW,MF",Real Madrid,13.1,13,9,2,10,1,5,14,35.7,9,9,0,9,7,20,4,1
244,Ismael,es ESP,MF,Betis,0.9,2,1,1,1,0,1,2,50,1,2,1,1,2,4,2,0
245,Ander Iturraspe,es ESP,MF,Espanyol,2.7,2,0,1,1,0,2,5,40,3,0,0,0,1,3,7,0
246,Jacobo,es ESP,"DF,MF",Celta Vigo,0.9,3,3,2,1,0,1,1,100,0,0,0,0,0,3,2,0
247,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,13,8,7,3,2,3,3,16,18.8,13,9,1,8,7,15,2,0
248,Jason,es ESP,MF,Getafe,13.1,29,20,8,16,5,15,33,45.5,18,18,3,15,18,47,9,0
249,Joaquín,es ESP,"MF,FW",Betis,22.9,14,7,4,8,2,4,11,36.4,7,10,2,8,15,29,22,1
250,Frenkie de Jong,nl NED,MF,Barcelona,23.5,26,19,7,12,7,7,22,31.8,15,17,7,10,21,47,9,0
251,Luuk de Jong,nl NED,FW,Sevilla,22.9,21,10,4,8,9,6,17,35.3,11,12,1,11,7,28,22,0
252,Joan Jordán,es ESP,MF,Sevilla,25,64,34,27,31,6,21,76,27.6,55,25,5,20,26,90,20,4
253,Willian José,br BRA,FW,Real Sociedad,22.3,5,2,0,4,1,2,8,25,6,10,4,6,1,6,16,0
254,Joselu,es ESP,FW,Alavés,30.9,26,17,4,12,10,4,32,12.5,28,36,5,31,13,39,46,0
255,Luka Jovic,rs SRB,FW,Real Madrid,4.8,2,1,0,0,2,1,2,50,1,1,0,1,2,4,0,0
256,Juanmi,es ESP,"FW,MF",Betis,2.9,4,1,1,2,1,1,4,25,3,1,0,1,0,4,0,0
257,David Juncà,es ESP,DF,Celta Vigo,2.9,6,5,4,1,1,2,3,66.7,1,4,1,3,2,8,3,0
258,Lago Junior,ci CIV,"MF,FW",Mallorca,24.3,32,19,12,11,9,12,29,41.4,17,23,5,18,14,46,25,0
259,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,15.2,26,16,13,8,5,8,32,25,24,14,0,14,3,29,2,0
260,Lee Kangin,kr KOR,"MF,FW",Valencia,5,3,1,0,2,1,3,6,50,3,5,0,5,3,6,0,0
261,Wilfrid Kaptoum,cm CMR,MF,Betis,2.2,5,2,3,2,0,3,3,100,0,4,1,3,1,6,3,0
262,Kenedy,br BRA,MF,Getafe,6.5,9,5,3,3,3,2,5,40,3,10,0,10,11,20,4,0
263,Kike,es ESP,FW,Eibar,19.6,13,7,0,5,8,4,12,33.3,8,15,1,14,1,14,9,0
264,Giorgi Kochorashvili,ge GEO,MF,Levante,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
265,Kenan Kodro,ba BIH,"FW,MF",Athletic Club,4,1,0,0,0,1,0,2,0,2,1,0,1,0,1,4,0
266,Koke,es ESP,MF,Atlético Madrid,30,70,42,27,30,13,29,89,32.6,60,33,8,25,29,99,28,2
267,Geoffrey Kondogbia,cf CTA,MF,Valencia,20.1,63,40,40,18,5,19,51,37.3,32,25,6,19,57,120,36,2
268,Jules Koundé,fr FRA,DF,Sevilla,25.7,23,12,14,5,4,10,18,55.6,8,16,12,4,23,46,91,2
269,Leonardo Koutris,gr GRE,DF,Mallorca,1,1,1,0,0,1,1,2,50,1,1,1,0,1,2,6,0
270,Ismail Köybasi,tr TUR,"DF,FW",Granada,2.6,4,4,3,1,0,0,2,0,2,4,0,4,5,9,2,0
271,Toni Kroos,de GER,MF,Real Madrid,29.5,56,28,18,29,9,18,70,25.7,52,27,0,27,23,79,15,0
272,Takefusa Kubo,jp JPN,"MF,FW",Mallorca,25.7,34,22,16,12,6,15,44,34.1,29,19,1,18,23,57,10,0
273,Víctor Laguardia,es ESP,DF,Alavés,29.5,21,15,15,6,0,16,30,53.3,14,24,18,6,37,58,131,1
274,Diego Lainez,mx MEX,"MF,FW",Betis,3.9,6,5,2,4,0,5,8,62.5,3,6,0,6,1,7,1,0
275,Larra,es ESP,"FW,MF",Athletic Club,2.8,2,2,0,1,1,0,0,,0,1,0,1,0,2,0,0
276,Toni Lato,es ESP,"DF,MF",Osasuna,5.2,22,15,11,8,3,9,10,90,1,9,1,8,8,30,13,1
277,Robin Le Normand,fr FRA,DF,Real Sociedad,26.6,48,27,33,15,0,26,35,74.3,9,20,7,13,20,68,99,0
278,Wu Lei,cn CHN,"FW,MF",Espanyol,19.1,13,8,5,6,2,4,38,10.5,34,32,1,31,15,28,19,1
279,Iñigo Lekue,es ESP,"FW,DF",Athletic Club,6.9,22,12,14,6,2,11,14,78.6,3,7,0,7,3,25,11,0
280,Thomas Lemar,fr FRA,MF,Atlético Madrid,10.3,12,8,4,5,3,2,11,18.2,9,14,1,13,6,18,6,0
281,Clément Lenglet,fr FRA,DF,Barcelona,26.9,44,31,29,15,0,16,32,50,16,29,15,14,35,79,79,1
282,Pedro León,es ESP,"MF,FW",Eibar,21.1,28,20,8,9,11,12,25,48,13,18,1,17,19,47,7,0
283,Sergio León,es ESP,FW,Levante,7.5,3,3,0,3,0,2,4,50,2,3,0,3,1,4,2,0
284,Lillo,es ESP,DF,Osasuna,2.2,4,2,2,2,0,1,1,100,0,2,1,1,2,6,8,0
285,Diego Llorente,es ESP,DF,Real Sociedad,25.9,30,14,20,9,1,16,28,57.1,12,14,7,7,28,58,101,5
286,Marcos Llorente,es ESP,"MF,FW",Atlético Madrid,15.2,29,15,7,16,6,7,21,33.3,14,24,4,20,14,43,9,0
287,Stanislav Lobotka,sk SVK,MF,Celta Vigo,15.4,19,11,13,5,1,4,19,21.1,15,8,2,6,8,27,7,0
288,Renan Lodi,br BRA,DF,Atlético Madrid,26.6,73,46,28,35,10,40,65,61.5,25,28,7,21,38,111,56,0
289,Rony Lopes,pt POR,FW,Sevilla,1.5,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
290,Adrián López,es ESP,FW,Osasuna,16,7,5,1,5,1,2,19,10.5,17,6,2,4,4,11,8,0
291,David López,es ESP,"DF,MF",Espanyol,27.3,38,20,15,20,3,13,41,31.7,28,28,13,15,35,73,63,3
292,Diego López,es ESP,GK,Espanyol,35.9,2,2,2,0,0,1,2,50,1,0,0,0,2,4,8,1
293,Javi López,es ESP,DF,Alavés,1,6,5,4,2,0,4,5,80,1,1,1,0,1,7,5,0
294,Javi López,es ESP,DF,Espanyol,15.4,47,34,23,18,6,19,40,47.5,21,12,6,6,21,68,38,2
295,Lluis López,es ESP,DF,Espanyol,3.3,4,2,3,1,0,2,2,100,0,4,0,4,1,5,6,1
296,Roberto López,es ESP,"FW,MF",Real Sociedad,0.6,4,2,1,1,2,2,2,100,0,0,0,0,0,4,0,0
297,Unai López,es ESP,MF,Athletic Club,19.9,30,22,8,18,4,10,41,24.4,31,13,2,11,18,48,12,1
298,Losada,es ESP,"MF,FW",Celta Vigo,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
299,Pol Lozano,es ESP,MF,Espanyol,1.9,5,3,3,2,0,3,7,42.9,4,3,0,3,1,6,2,0
300,José Luis Gayà,es ESP,DF,Valencia,22.1,44,30,29,12,3,28,41,68.3,13,22,9,13,18,62,48,1
301,José Luis Morales,es ESP,"FW,MF",Levante,28,17,8,5,9,3,6,34,17.6,28,14,1,13,6,23,5,1
303,Darwin Machís,ve VEN,"FW,MF",Granada,23.7,23,13,11,8,4,8,23,34.8,15,22,4,18,31,54,9,0
304,Lisandro Magallán,ar ARG,DF,Alavés,13.3,22,15,10,12,0,8,14,57.1,6,17,6,11,16,38,43,1
305,Abdallahi Mahmoud,mr MTN,MF,Alavés,1.7,4,4,2,1,1,1,6,16.7,5,0,0,0,5,9,2,0
306,Nemanja Maksimovi?,rs SRB,MF,Getafe,32.2,49,28,12,31,6,10,44,22.7,34,37,7,30,56,105,30,1
307,Hugo Mallo,es ESP,DF,Celta Vigo,21.8,62,42,44,16,2,27,48,56.3,21,24,8,16,22,84,97,1
308,Aïssa Mandi,dz ALG,DF,Betis,28.6,33,15,22,8,3,18,28,64.3,10,29,15,14,38,71,93,0
309,Eliaquim Mangala,fr FRA,DF,Valencia,7.5,4,4,3,1,0,1,2,50,1,7,6,1,7,11,40,0
310,Marcelo,br BRA,DF,Real Madrid,14.4,19,11,8,8,3,9,28,32.1,19,19,2,17,18,37,21,0
311,Óscar de Marcos,es ESP,"DF,FW",Athletic Club,6,5,3,2,1,2,3,6,50,3,6,0,6,8,13,8,0
312,Miguel Marí,es ESP,MF,Eibar,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
313,José María Giménez,uy URU,DF,Atlético Madrid,19.5,20,16,18,1,1,7,11,63.6,4,14,7,7,23,43,75,1
314,Mariano,do DOM,"FW,MF",Real Madrid,0.5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
315,Adrián Marín,es ESP,DF,Alavés,9.5,22,15,14,6,2,13,15,86.7,2,13,4,9,13,35,32,0
316,Guillermo Maripán,cl CHI,DF,Alavés,1,1,1,1,0,0,1,2,50,1,0,0,0,2,3,10,0
317,Roger Martí,es ESP,FW,Levante,25.2,18,11,8,7,3,7,29,24.1,22,14,0,14,6,24,17,0
318,Daniel Martín,es ESP,GK,Betis,5.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
319,Álex Martínez,es ESP,DF,Granada,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
320,Iñigo Martínez,es ESP,DF,Athletic Club,33,48,30,33,13,2,27,47,57.4,20,28,13,15,39,87,140,0
321,Javi Martínez,es ESP,MF,Osasuna,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
322,Pablo Martínez,es ESP,MF,Levante,0.4,2,0,1,1,0,0,1,0,1,0,0,0,0,2,2,0
323,Jordi Masip,es ESP,GK,Valladolid,35,1,1,1,0,0,0,2,0,2,0,0,0,1,2,7,3
324,Jaime Mata,es ESP,FW,Getafe,30.5,21,13,3,11,7,3,20,15,17,16,1,15,7,28,15,0
325,Borja Mayoral,es ESP,FW,Levante,23.8,12,3,4,6,2,2,13,15.4,11,11,0,11,4,16,6,0
326,Óscar Melendo,es ESP,"MF,FW",Espanyol,12.4,10,4,4,4,2,4,12,33.3,8,7,2,5,2,12,3,0
327,Gonzalo Melero,es ESP,MF,Levante,13.7,20,13,9,9,2,7,27,25.9,20,12,3,9,9,29,15,1
328,Arthur Melo,br BRA,MF,Barcelona,13.1,15,10,4,7,4,4,12,33.3,8,9,0,9,4,19,5,2
329,Brais Méndez,es ESP,"MF,FW",Celta Vigo,16.4,26,11,14,9,3,12,39,30.8,27,20,0,20,12,38,23,1
330,Édgar Méndez,es ESP,"MF,FW",Alavés,9.6,11,7,4,6,1,5,13,38.5,8,10,2,8,5,16,7,0
331,Ferland Mendy,fr FRA,DF,Real Madrid,20.1,32,26,20,9,3,14,18,77.8,4,19,5,14,22,54,30,1
332,Fran Mérida,es ESP,MF,Osasuna,12.9,27,15,11,10,6,9,27,33.3,18,15,4,11,25,52,10,0
333,Mikel Merino,es ESP,MF,Real Sociedad,34.9,79,52,20,44,15,28,86,32.6,58,46,8,38,51,130,52,0
334,Sabin Merino,es ESP,FW,Leganés,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
335,Roque Mesa,es ESP,MF,Leganés,22.4,40,21,17,18,5,13,44,29.5,31,13,4,9,11,51,8,0
336,Lionel Messi,ar ARG,FW,Barcelona,32,21,10,4,7,10,3,21,14.3,18,9,0,9,7,28,1,0
337,Míchel,es ESP,MF,Valladolid,24.2,50,28,26,19,5,22,75,29.3,53,22,4,18,33,83,41,1
338,Miguel,es ESP,FW,Valladolid,2.6,2,1,1,0,1,1,2,50,1,3,1,2,0,2,1,0
339,Éder Militão,br BRA,DF,Real Madrid,11.4,25,15,15,9,1,10,17,58.8,7,12,6,6,20,45,42,0
340,Santi Mina,es ESP,"FW,MF",Celta Vigo,21.6,13,8,8,5,0,5,38,13.2,33,19,2,17,10,23,27,0
341,Jorge Miramón,es ESP,DF,Levante,27,52,27,35,13,4,26,45,57.8,19,30,8,22,46,98,61,1
342,Luka Modric,hr CRO,MF,Real Madrid,22.2,37,18,9,15,13,16,41,39,25,10,2,8,22,59,12,0
343,Jorge Molina,es ESP,FW,Getafe,21,8,2,0,4,4,0,12,0,12,13,2,11,4,12,18,0
344,Jon Moncayola,es ESP,"MF,DF",Osasuna,16.6,52,30,26,22,4,27,54,50,27,29,5,24,16,68,23,1
345,Nacho Monreal,es ESP,DF,Real Sociedad,26.6,38,16,26,9,3,22,42,52.4,20,20,4,16,43,81,66,0
346,Joan Monterde,es ESP,MF,Levante,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
347,Ángel Montoro,es ESP,MF,Granada,10.8,19,8,8,9,2,3,13,23.1,10,10,1,9,13,32,15,0
348,Álvaro Morata,es ESP,FW,Atlético Madrid,23.3,17,8,4,9,4,1,13,7.7,12,12,2,10,5,22,23,0
349,Alberto Moreno,es ESP,DF,Villarreal,16.3,27,16,15,11,1,9,25,36,16,15,3,12,25,52,36,0
350,Álex Moreno,es ESP,DF,Betis,25.2,37,20,27,8,2,12,32,37.5,20,21,8,13,23,60,47,1
351,Gerard Moreno,es ESP,"FW,MF",Villarreal,30.5,19,8,4,10,5,5,46,10.9,41,19,3,16,10,29,51,0
352,Manu Morlanes,es ESP,MF,Villarreal,2.8,7,3,3,4,0,2,9,22.2,7,1,1,0,2,9,2,0
353,Loren Morón,es ESP,FW,Betis,22.6,18,12,6,7,5,9,23,39.1,14,25,6,19,9,27,13,0
354,Toni Moya,es ESP,MF,Atlético Madrid,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
355,Javi Moyano,es ESP,DF,Valladolid,24.7,19,8,11,8,0,8,20,40,12,18,5,13,27,46,63,0
356,Iker Muniain,es ESP,"FW,MF",Athletic Club,26.5,26,19,11,10,5,4,24,16.7,20,9,0,9,12,38,7,0
357,Aihen Muñoz,es ESP,DF,Real Sociedad,10.9,28,18,13,12,3,18,27,66.7,9,13,2,11,2,30,19,0
358,Javier Muñoz,es ESP,"FW,MF",Alavés,0.6,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
359,Jeison Murillo,co COL,DF,Celta Vigo,17,37,20,30,6,1,18,27,66.7,9,13,9,4,20,57,74,2
360,Nacho,es ESP,DF,Valladolid,21,43,22,24,15,4,17,48,35.4,31,36,8,28,25,68,61,0
361,Nacho,es ESP,DF,Real Madrid,4.9,11,6,6,3,2,6,10,60,4,5,3,2,12,23,18,1
362,Naldo,br BRA,DF,Espanyol,14.8,24,13,15,9,0,7,15,46.7,8,11,7,4,21,45,50,1
363,Marc Navarro,es ESP,"FW,DF",Leganés,2.4,3,3,2,1,0,1,1,100,0,2,1,1,0,3,3,0
364,Ximo Navarro,es ESP,DF,Alavés,21.1,34,19,17,15,2,16,28,57.1,12,20,7,13,52,86,76,2
365,Jesús Navas,es ESP,DF,Sevilla,37.4,27,15,16,7,4,15,32,46.9,17,20,7,13,31,58,70,0
366,Raúl Navas,es ESP,DF,Osasuna,7.9,10,5,4,6,0,4,13,30.8,9,10,4,6,18,28,30,0
367,Neto,br BRA,GK,Barcelona,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
368,Carlos Neva,es ESP,DF,Granada,24.5,16,11,12,3,1,9,21,42.9,12,15,2,13,28,44,60,0
369,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,34.1,95,59,44,42,9,39,88,44.3,49,58,13,45,55,150,68,1
370,Fernando Niño,es ESP,FW,Villarreal,0.9,1,0,0,1,0,1,2,50,1,0,0,0,0,1,2,0
371,Nolito,es ESP,FW,Sevilla,10,21,12,5,11,5,7,20,35,13,7,0,7,1,22,1,0
372,Nolito,es ESP,"MF,FW",Celta Vigo,3.6,7,5,5,2,0,3,8,37.5,5,4,1,3,1,8,4,0
373,Unai Núñez,es ESP,DF,Athletic Club,17.5,13,10,10,2,1,6,16,37.5,10,25,17,8,23,36,71,0
374,Allan Nyom,cm CMR,"DF,MF",Getafe,26.9,45,25,26,15,4,20,37,54.1,17,24,5,19,14,59,50,1
375,Jan Oblak,si SVN,GK,Atlético Madrid,37.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,2
376,Rafel Obrador,es ESP,DF,Mallorca,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
377,Lucas Ocampos,ar ARG,"FW,MF",Sevilla,30.5,54,31,30,19,5,30,72,41.7,42,33,2,31,22,76,27,0
378,Álvaro Odriozola,es ESP,DF,Real Madrid,3.8,5,2,4,0,1,5,8,62.5,3,4,0,4,2,7,8,0
379,Lucas Olaza,uy URU,DF,Celta Vigo,34.9,56,39,36,17,3,39,59,66.1,20,37,10,27,31,87,60,1
380,Oier Olazábal,es ESP,GK,Espanyol,2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
381,Kiko Olivas,es ESP,DF,Valladolid,32.7,33,16,25,7,1,13,35,37.1,22,30,16,14,61,94,112,2
382,Paulo Oliveira,pt POR,DF,Eibar,23.2,31,19,22,8,1,18,30,60,12,23,13,10,42,73,107,1
383,Mathías Olivera,uy URU,DF,Getafe,20.8,64,40,34,16,14,27,45,60,18,32,3,29,23,87,44,0
384,Kenneth Omeruo,ng NGA,DF,Leganés,20.8,28,17,25,3,0,11,18,61.1,7,21,12,9,36,64,112,2
385,Javier Ontiveros,es ESP,"FW,MF",Villarreal,9.9,29,14,13,14,2,8,35,22.9,27,13,1,12,5,34,7,0
386,Fabián Orellana,cl CHI,"MF,FW",Eibar,26.6,29,18,10,6,13,14,52,26.9,38,9,0,9,20,49,2,0
387,Aimar Oroz,es ESP,FW,Osasuna,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
388,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,33.9,36,15,13,15,8,16,46,34.8,30,32,2,30,13,49,19,1
389,Fernando Pacheco,es ESP,GK,Alavés,26.2,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,10,0
390,Jon Pacheco,es ESP,DF,Real Sociedad,0.9,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
391,Daniel Parejo,es ESP,MF,Valencia,33.6,67,41,29,32,6,32,101,31.7,69,38,11,27,22,89,20,2
392,Miquel Parera,es ESP,GK,Mallorca,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
393,Thomas Partey,gh GHA,MF,Atlético Madrid,28.3,70,41,34,30,6,26,58,44.8,32,32,8,24,48,118,41,7
394,Paulino,es ESP,"FW,MF",Alavés,0.8,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0
395,Gabriel Paulista,br BRA,DF,Valencia,31.1,22,14,17,2,3,15,25,60,10,36,29,7,48,70,151,3
396,Alfonso Pedraza,es ESP,DF,Betis,15,30,19,16,11,3,19,33,57.6,14,18,6,12,16,46,26,1
397,Marc Pedraza,es ESP,MF,Mallorca,1.4,1,1,1,0,0,1,5,20,4,0,0,0,4,5,1,0
398,Pedrosa,es ESP,"DF,MF",Espanyol,12.1,19,13,8,9,2,7,25,28,18,12,1,11,11,30,32,0
399,Rubén Peña,es ESP,DF,Villarreal,21.2,42,24,23,19,0,17,50,34,33,25,8,17,35,77,58,2
400,Luis Perea,es ESP,FW,Osasuna,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
401,Victor Perea,es ESP,"DF,FW",Espanyol,14.1,13,5,8,4,1,7,20,35,13,10,0,10,21,34,31,0
402,Carles Pérez,es ESP,FW,Barcelona,5.3,7,4,2,2,3,3,15,20,12,5,2,3,1,8,1,0
403,Iñigo Pérez,es ESP,MF,Osasuna,12,15,11,3,7,5,8,22,36.4,14,7,1,6,12,27,6,0
404,Juan Pérez,es ESP,GK,Osasuna,2,1,1,1,0,0,1,2,50,1,0,0,0,0,1,0,0
405,Kike Pérez,es ESP,"MF,FW",Valladolid,2.4,6,1,1,3,2,3,7,42.9,4,1,0,1,10,16,4,0
406,Lucas Pérez,es ESP,FW,Alavés,27.7,12,6,2,8,2,3,13,23.1,10,13,2,11,2,14,0,0
407,Rubén Pérez,es ESP,MF,Leganés,24.4,50,27,21,23,6,16,47,34,31,21,4,17,38,88,33,0
408,Samu Pérez,es ESP,GK,Valladolid,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
409,Pablo Piatti,ar ARG,"DF,MF",Espanyol,0.6,2,2,1,1,0,1,2,50,1,1,0,1,0,2,1,0
410,Cristiano Piccini,it ITA,DF,Valencia,0.8,5,4,1,0,4,4,4,100,0,0,0,0,2,7,1,0
411,Tomás Pina Isla,es ESP,MF,Alavés,14.9,37,22,13,21,3,12,24,50,12,15,5,10,16,53,31,0
412,Pipa,es ESP,"DF,FW",Espanyol,5.3,9,8,5,4,0,4,6,66.7,2,8,0,8,6,15,17,0
413,Gerard Piqué,es ESP,DF,Barcelona,34.4,32,23,20,11,1,16,26,61.5,10,39,24,15,36,68,157,0
414,Óscar Plano,es ESP,MF,Valladolid,27.8,48,30,25,19,4,20,61,32.8,41,36,3,33,35,83,29,0
415,Pere Pons,es ESP,MF,Alavés,12.1,28,16,14,12,2,12,26,46.2,14,16,3,13,12,40,8,1
416,Pedro Porro,es ESP,"DF,MF",Valladolid,8.2,18,10,11,7,0,10,18,55.6,8,3,0,3,7,25,19,1
417,Francisco Portillo,es ESP,MF,Getafe,4.2,11,6,3,6,2,4,12,33.3,8,2,0,2,2,13,3,0
418,Portu,es ESP,"FW,MF",Real Sociedad,26.6,32,21,10,15,7,13,33,39.4,20,28,3,25,13,45,5,0
419,Sergio Postigo,es ESP,DF,Levante,26.4,32,15,23,7,2,11,18,61.1,7,24,15,9,34,66,132,1
420,Florent Poulolo,mq MTQ,DF,Getafe,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
421,Darío Poveda,es ESP,MF,Atlético Madrid,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0
422,Alejandro Pozo Pozo,es ESP,DF,Mallorca,16.6,38,24,30,6,2,19,38,50,19,23,2,21,23,61,29,1
423,Alejandro Pozo Pozo,es ESP,"MF,FW",Sevilla,0.4,1,1,1,0,0,1,1,100,0,0,0,0,0,1,1,0
424,Abdón Prats,es ESP,FW,Mallorca,3.1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0
425,Antonio Puertas,es ESP,"FW,MF",Granada,28.5,37,24,8,18,11,16,53,30.2,37,21,3,18,12,49,21,0
426,Riqui Puig,es ESP,MF,Barcelona,5.7,11,7,1,9,1,5,17,29.4,12,2,0,2,5,16,1,0
427,Quini,es ESP,DF,Granada,8,25,14,16,7,2,13,22,59.1,9,5,1,4,10,35,14,0
428,Xavi Quintillà,es ESP,DF,Villarreal,17.5,22,12,14,4,4,10,20,50,10,11,4,7,12,34,35,0
429,Quique,es ESP,"FW,MF",Eibar,5.4,2,1,1,0,1,0,0,,0,3,0,3,0,2,3,0
430,Nemanja Radoja,rs SRB,MF,Levante,22.1,43,19,27,16,0,15,46,32.6,31,21,4,17,23,66,24,0
431,Rafinha,br BRA,"FW,MF",Barcelona,2.1,3,2,1,1,1,1,2,50,1,0,0,0,1,4,0,0
432,Rafinha,br BRA,MF,Celta Vigo,23.5,71,37,29,37,5,20,62,32.3,42,37,4,33,33,104,25,0
433,Baba Rahman,gh GHA,DF,Mallorca,1.2,3,2,2,0,1,0,0,,0,2,1,1,1,4,2,0
434,Antonio Raillo,es ESP,DF,Mallorca,30.8,31,21,24,7,0,13,19,68.4,6,31,26,5,22,53,112,1
435,Ivan Rakitic,hr CRO,MF,Barcelona,17.7,27,14,8,15,4,10,28,35.7,18,19,6,13,15,42,18,1
436,Sandro Ramírez,es ESP,"FW,MF",Valladolid,14.5,12,10,2,6,4,2,20,10,18,11,1,10,7,19,2,0
437,Iván Ramis,es ESP,DF,Eibar,5.1,3,2,2,1,0,1,4,25,3,2,0,2,4,7,23,2
438,Adrián Ramos,co COL,"FW,MF",Granada,2.5,6,2,0,2,4,2,3,66.7,1,2,0,2,1,7,1,0
439,Sergio Ramos,es ESP,DF,Real Madrid,33.5,46,31,26,17,3,20,42,47.6,22,22,9,13,49,95,102,4
440,Raúl,es ESP,"FW,MF",Betis,0.2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
441,Recio,es ESP,MF,Leganés,17.4,30,19,13,12,5,10,40,25,30,14,3,11,22,52,9,0
442,Sergio Reguilón,es ESP,DF,Sevilla,27.9,57,30,28,25,4,27,64,42.2,37,25,5,20,33,90,53,0
443,Manolo Reina,es ESP,GK,Mallorca,36,0,0,0,0,0,0,1,0,1,2,0,2,5,5,9,1
444,Álex Remiro,es ESP,GK,Real Sociedad,25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,25,1
445,Nico Ribaudo,es ESP,"FW,MF",Espanyol,2,3,1,1,0,2,2,6,33.3,4,1,0,1,1,4,0,0
446,Luis Rioja,es ESP,MF,Alavés,18.2,18,12,11,6,1,8,25,32,17,21,0,21,16,34,6,0
447,Rodrigo Riquelme,es ESP,"FW,MF",Atlético Madrid,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
