,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
27,Jonathan LÛpez,es ESP,GK,Getafe,33,1981,4,4,360,4,6,1.5,17,11,64.7,2,0,2,0,0,,,,,
28,Pau LÛpez,es ESP,GK,Espanyol,19,1994,2,1,140,1.6,3,1.93,7,4,57.1,0,0,2,0,0,,,,,
29,Germ·n Lux,ar ARG,GK,La CoruÒa,32,1982,7,7,630,7,19,2.71,40,21,52.5,1,1,5,1,14.3,,,,,
30,Diego MariÒo,es ESP,GK,Levante,24,1990,32,32,"2,880",32,55,1.72,150,95,63.3,8,9,15,5,15.6,,,,,
31,Jordi Masip,es ESP,GK,Barcelona,25,1989,1,1,90,1,2,2,2,0,0,0,1,0,0,0,,,,,
32,Keylor Navas,cr CRC,GK,Real Madrid,27,1986,6,6,540,6,3,0.5,14,11,78.6,6,0,0,3,50,,,,,
33,Jan Oblak,si SVN,GK,AtlÈtico Madrid,21,1993,11,11,990,11,6,0.55,24,18,75,6,4,1,7,63.6,,,,,
34,Oier Olaz·bal,es ESP,GK,Granada,24,1989,14,14,"1,260",14,27,1.93,63,36,57.1,3,4,7,4,28.6,,,,,
35,Sergio Rico,es ESP,GK,Sevilla,20,1993,21,19,"1,812",20.1,24,1.19,85,61,71.8,12,3,3,7,36.8,,,,,
36,Roberto,es ESP,GK,Granada,35,1979,23,23,"2,070",23,36,1.57,95,59,62.1,3,10,10,7,30.4,,,,,
37,RubÈn,es ESP,GK,AlmerÌa,30,1984,23,23,"2,070",23,38,1.65,117,79,67.5,4,5,14,4,17.4,,,,,
38,GerÛnimo Rulli,ar ARG,GK,Real Sociedad,22,1992,22,22,"1,980",22,27,1.23,92,65,70.7,8,8,6,6,27.3,,,,,
39,Mikel Saizar,es ESP,GK,CÛrdoba,31,1983,6,6,540,6,12,2,37,25,67.6,0,0,6,0,0,,,,,
40,ToÒo,es ESP,GK,Rayo Vallecano,34,1979,21,20,"1,724",19.2,30,1.57,89,59,66.3,8,2,9,8,40,,,,,
41,Przemyslaw Tyton,pl POL,GK,Elche,27,1987,32,32,"2,856",31.7,47,1.48,139,92,66.2,10,7,14,10,31.3,,,,,
42,Yoel,es ESP,GK,Valencia,25,1988,2,1,109,1.2,3,2.48,6,3,50,0,1,1,0,0,,,,,
43,EÒaut Zubikarai,es ESP,GK,Real Sociedad,30,1984,16,16,"1,440",16,24,1.5,78,54,69.2,3,5,8,2,12.5,,,,,
