,,,,,,,Playing Time,,,,Performance,,,,,,,,Performance,,,Penalty Kicks,,,
15,Marko Dmitrovi?,rs SRB,GK,Eibar,25,1992,36,36,"3,240",36,49,1.36,124,81,63.7,13,8,15,10,27.8,4,4,0,0,0
16,Jaume Dom·nech,es ESP,GK,Valencia,26,1990,5,5,450,5,5,1,21,16,76.2,4,0,1,2,40,0,0,0,0,
17,Andr·s Fern·ndez,es ESP,GK,Villarreal,30,1986,3,3,225,2.5,6,2.4,15,10,66.7,0,1,2,0,0,1,1,0,0,0
18,Ra˙l Fern·ndez,es ESP,GK,Levante,29,1988,11,11,990,11,15,1.36,52,37,71.2,2,6,3,3,27.3,0,0,0,0,
19,Dani Gim·nez,es ESP,GK,Betis,34,1983,4,4,309,3.4,0,0,7,7,100,3,1,0,4,100,0,0,0,0,
20,Vicente Guaita,es ESP,GK,Getafe,30,1987,33,33,"2,970",33,26,0.79,111,85,77.5,13,9,11,12,36.4,3,1,1,1,50
21,Iago HerrerÌn,es ESP,GK,Athletic Club,29,1988,8,8,720,8,6,0.75,26,22,84.6,3,4,1,4,50,3,2,1,0,33.3
22,Gorka Iraizoz,es ESP,GK,Girona,36,1981,9,8,765,8.5,13,1.53,36,25,63.9,1,3,4,2,25,0,0,0,0,
23,Maksym Koval,ua UKR,"GK,MF",La CoruÒa,24,1992,2,2,121,1.3,3,2.23,5,2,40,0,1,1,0,0,0,0,0,0,
24,Ra˙l Lizoain,es ESP,GK,Las Palmas,26,1991,11,11,990,11,27,2.45,64,37,60.9,1,2,8,1,9.1,2,2,0,0,0
25,Diego LÛpez,es ESP,GK,Espanyol,35,1981,10,10,854,9.5,11,1.16,38,30,73.7,3,5,2,3,30,2,1,1,0,50
26,Pau LÛpez,es ESP,GK,Espanyol,22,1994,29,28,"2,566",28.5,31,1.09,124,95,77.4,9,8,11,9,32.1,5,3,1,1,25
27,Pedro LÛpez,es ESP,GK,Betis,22,1995,5,4,411,4.6,8,1.75,18,10,55.6,1,1,2,1,25,0,0,0,0,
28,Emiliano MartÌnez,ar ARG,GK,Getafe,24,1992,5,5,450,5,7,1.4,18,12,66.7,2,1,2,2,40,1,1,0,0,0
29,Brais M·ndez,es ESP,"MF,FW",Celta Vigo,20,1997,1,0,,10.5,0,,,,,0,0,0,0,,0,0,0,0,
30,Keylor Navas,cr CRC,GK,Real Madrid,30,1986,27,27,"2,430",27,31,1.15,110,82,73.6,16,7,4,7,25.9,4,2,2,0,50
31,Neto,br BRA,GK,Valencia,28,1989,33,33,"2,970",33,33,1,148,116,79.7,18,7,8,10,30.3,5,3,2,0,40
32,Jan Oblak,si SVN,GK,Atl·tico Madrid,24,1993,37,37,"3,330",37,22,0.59,125,105,83.2,22,10,5,22,59.5,4,1,3,0,75
33,Oier Olaz·bal,es ESP,GK,Levante,27,1989,26,26,"2,340",26,39,1.5,116,84,70.7,9,7,10,7,26.9,6,5,0,1,0
34,Fernando Pacheco,es ESP,GK,Alav·s,25,1992,38,37,"3,357",37.3,50,1.34,172,131,75,15,2,20,12,32.4,11,7,3,1,30
35,Costel Pantilimon,ro ROU,GK,La CoruÒa,30,1987,6,6,540,6,9,1.5,24,17,66.7,3,0,3,1,16.7,1,1,0,0,0
36,Andr·s Prieto,es ESP,GK,M·laga,23,1993,4,4,360,4,10,2.5,18,10,55.6,0,0,4,0,0,2,2,0,0,0
37,ToÒo RamÌrez,es ESP,GK,Real Sociedad,30,1986,4,3,315,3.5,6,1.71,11,5,45.5,1,0,2,2,66.7,0,0,0,0,
38,Sergio Rico,es ESP,GK,Sevilla,23,1993,24,23,"2,155",24,39,1.63,87,51,58.6,10,3,10,9,39.1,5,3,1,1,25
39,Asier Riesgo,es ESP,GK,Eibar,33,1983,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,
40,Roberto,es ESP,GK,M·laga,31,1986,34,34,"3,060",34,51,1.5,145,96,67.6,5,5,24,6,17.6,5,4,1,0,20
41,Rub·n,es ESP,GK,La CoruÒa,33,1984,28,27,"2,477",27.5,58,2.11,135,81,58.5,3,9,15,4,14.8,3,2,1,0,33.3
42,GerÛnimo Rulli,ar ARG,GK,Real Sociedad,25,1992,26,26,"2,340",26,45,1.73,102,61,59.8,10,5,11,6,23.1,5,4,1,0,20
43,Antonio Sivera,es ESP,GK,Alav·s,20,1996,1,1,63,0.7,0,0,2,2,100,0,0,1,0,0,0,0,0,0,
44,David Soria,es ESP,GK,Sevilla,24,1993,15,15,"1,265",14,19,1.35,57,41,70.2,7,4,4,5,33.3,3,2,0,1,0
45,Marc-AndrÈ ter Stegen,de GER,GK,Barcelona,25,1992,37,37,"3,330",37,28,0.76,126,100,79.4,27,9,1,19,51.4,2,2,0,0,0
46,Przemyslaw Tyton,pl POL,GK,La CoruÒa,30,1987,2,1,97,1.1,4,3.71,5,1,20,0,0,1,0,0,0,0,0,0,
47,Francis Uzoho,ng NGA,GK,La CoruÒa,18,1998,2,2,180,2,2,1,9,8,88.9,0,1,1,1,50,1,1,0,0,0
48,Koke Vegas,es ESP,GK,Levante,21,1995,1,1,90,1,4,4,8,4,50,0,0,1,0,0,0,0,0,0,
49,Axel Werner,ar ARG,GK,Atl·tico Madrid,21,1996,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,
50,Yoel,es ESP,GK,Eibar,28,1988,1,1,90,1,0,0,5,5,100,0,1,0,1,100,0,0,0,0,
51,Luca Zidane,fr FRA,GK,Real Madrid,19,1998,1,1,90,1,2,2,4,2,50,0,1,0,0,0,0,0,0,0,
