,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
32,Anaitz Arbilla,es ESP,DF,Eibar,6,1,1,14,5,0,8,46,24,0,0,0,151,59,41,59
33,Santiago Arias,co COL,DF,Atlético Madrid,4,0,0,21,32,2,51,34,32,0,0,0,99,41,34,54.7
34,José Arnaiz,es ESP,"MF,FW",Leganés,0,0,0,1,4,0,2,2,1,0,0,0,5,4,1,80
35,Sergio Asenjo,es ESP,GK,Villarreal,0,0,0,0,3,0,0,3,0,0,0,0,37,7,2,77.8
36,Marco Asensio,es ESP,FW,Real Madrid,3,0,0,18,21,8,78,14,8,3,0,0,76,4,14,22.2
37,Iago Aspas,es ESP,"FW,MF",Celta Vigo,5,0,0,16,43,7,32,16,11,1,0,0,97,24,43,35.8
38,Ezequiel Ávila,ar ARG,"FW,MF",Huesca,12,1,1,38,46,10,40,13,10,0,0,0,75,68,69,49.6
39,Abdoulaye Ba,sn SEN,DF,Rayo Vallecano,4,2,0,24,13,1,1,29,33,0,3,0,154,68,30,69.4
40,Carlos Bacca,co COL,FW,Villarreal,3,0,0,19,9,15,6,8,2,1,0,0,30,21,24,46.7
41,Gareth Bale,wls WAL,FW,Real Madrid,4,0,0,18,21,15,70,11,8,0,0,0,36,37,35,51.4
42,Mikel Balenziaga,es ESP,DF,Athletic Club,0,0,0,10,1,1,8,2,6,0,0,0,25,5,4,55.6
43,Éver Banega,ar ARG,MF,Sevilla,17,2,1,57,67,2,131,28,50,0,1,0,290,11,25,30.6
44,Léo Baptistão,br BRA,"FW,MF",Espanyol,3,0,0,25,22,4,10,8,14,0,0,0,76,14,20,41.2
45,Enis Bardhi,mk MKD,MF,Levante,6,0,0,61,47,5,72,31,43,1,1,0,198,10,27,27
46,Antonio Barragán,es ESP,"DF,FW",Betis,4,0,0,21,9,0,41,5,8,0,0,0,37,10,11,47.6
47,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,0,0,0,12,6,3,6,4,2,0,0,0,18,2,7,22.2
48,Marc Bartra,es ESP,DF,Betis,4,0,0,30,39,4,5,60,55,0,1,0,164,74,48,60.7
49,Borja Bastón,es ESP,FW,Alavés,4,0,0,41,13,12,5,4,7,0,0,0,40,48,100,32.4
50,Michy Batshuayi,be BEL,FW,Valencia,3,0,0,16,8,5,3,0,1,0,0,0,14,10,17,37
51,Jon Bautista,es ESP,FW,Real Sociedad,1,0,0,14,9,9,0,5,3,1,0,0,14,52,57,47.7
52,Bebé,cv CPV,"FW,MF",Rayo Vallecano,6,0,0,22,9,8,108,9,9,1,0,0,82,24,18,57.1
53,Bebé,cv CPV,MF,Eibar,0,0,0,3,1,0,10,1,0,0,0,0,2,0,1,0
54,Fran Beltrán,es ESP,MF,Celta Vigo,3,0,0,12,14,0,4,19,17,0,0,0,100,5,17,22.7
55,Wissam Ben Yedder,fr FRA,FW,Sevilla,3,0,0,26,24,30,27,11,16,0,0,0,93,39,94,29.3
56,Karim Benzema,fr FRA,FW,Real Madrid,1,0,0,23,22,36,20,8,11,1,0,0,60,43,51,45.7
57,Yuri Berchiche,es ESP,"DF,FW",Athletic Club,8,0,0,38,78,3,102,42,31,0,0,0,270,75,37,67
58,Markel Bergara,es ESP,MF,Getafe,0,0,0,1,0,0,0,1,2,0,0,0,5,1,3,25
59,Pedro Bigas,es ESP,DF,Eibar,1,0,0,5,4,0,0,8,3,0,0,0,29,15,8,65.2
60,Alejandro Blanco,es ESP,"FW,MF",Alavés,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,
61,Rubén Blanco,es ESP,GK,Celta Vigo,2,0,0,1,0,0,0,2,0,0,0,0,19,3,1,75
62,Pablo de Blasis,ar ARG,"DF,MF",Eibar,2,1,0,18,11,0,65,13,19,0,0,0,99,27,32,45.8
63,Emmanuel Boateng,gh GHA,FW,Levante,2,0,0,14,19,9,3,1,3,0,0,0,12,28,24,53.8
64,Kevin-Prince Boateng,gh GHA,FW,Barcelona,1,0,0,3,9,3,0,1,2,0,0,0,5,3,6,33.3
65,Daniele Bonera,it ITA,DF,Villarreal,1,0,0,2,0,0,0,4,2,0,0,1,9,1,3,25
66,Ryad Boudebouz,dz ALG,"MF,FW",Celta Vigo,2,1,0,6,9,0,47,3,4,0,1,0,34,7,18,28
67,Ryad Boudebouz,dz ALG,"MF,FW",Betis,1,0,0,5,8,1,24,5,4,0,0,0,19,4,15,21.1
68,Sofiane Boufal,ma MAR,"MF,FW",Celta Vigo,6,0,0,42,60,1,60,10,21,1,0,0,124,17,19,47.2
69,Yassine Bounou,ma MAR,GK,Girona,2,0,0,0,3,0,0,1,0,0,0,1,32,5,0,100
70,Martin Braithwaite,dk DEN,FW,Leganés,5,0,0,24,16,14,2,3,3,1,0,0,44,29,44,39.7
71,Darko Brasanac,rs SRB,MF,Alavés,5,0,0,34,15,0,14,13,16,0,0,0,109,31,30,50.8
72,Rajko Brezancic,rs SRB,DF,Huesca,0,0,0,0,1,0,2,0,0,0,0,0,3,1,0,100
73,Bryan,es ESP,"MF,FW",Sevilla,0,0,0,3,8,0,9,1,4,0,0,0,11,0,2,0
74,Burgui,es ESP,"MF,FW",Alavés,1,0,0,10,20,3,14,0,6,0,0,0,38,4,2,66.7
75,Sergio Busquets,es ESP,MF,Barcelona,10,0,0,38,54,0,2,54,60,0,0,0,194,49,52,48.5
76,Unai Bustinza,es ESP,DF,Leganés,11,1,1,31,30,0,24,53,31,0,2,0,101,53,41,56.4
77,Erick Cabaco,uy URU,DF,Levante,11,2,1,33,13,1,2,29,13,0,1,0,69,38,34,52.8
78,Gustavo Cabral,ar ARG,DF,Celta Vigo,6,2,2,19,6,4,0,33,26,0,0,1,96,70,44,61.4
79,Leandro Cabrera,uy URU,DF,Getafe,11,1,1,35,14,2,28,52,26,0,0,1,137,158,68,69.9
80,Jordi Calavera,es ESP,DF,Eibar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,Fernando Calero,es ESP,DF,Valladolid,7,0,0,35,12,0,4,55,31,0,2,0,160,69,89,43.7
82,Jonathan Calleri,ar ARG,FW,Alavés,6,0,0,70,70,15,48,7,13,2,0,0,86,198,234,45.8
83,Juanjo Camacho,es ESP,"MF,DF",Huesca,0,0,0,0,0,0,2,0,1,0,0,0,4,1,3,25
84,Sergio Camello,es ESP,FW,Atlético Madrid,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
85,José Campaña,es ESP,MF,Levante,11,0,0,42,35,4,149,48,45,0,1,0,268,41,45,47.7
86,Sergio Canales,es ESP,MF,Betis,5,0,0,28,50,11,143,9,30,0,0,0,150,6,22,21.4
87,Ander Capa,es ESP,"DF,FW",Athletic Club,9,0,0,44,16,8,50,30,27,0,0,0,78,28,15,65.1
88,Marc Cardona,es ESP,"FW,MF",Eibar,1,0,0,9,12,5,7,1,5,0,0,0,33,16,23,41
89,Daniel Carriço,pt POR,DF,Sevilla,10,0,0,30,6,1,2,31,18,0,0,0,118,58,47,55.2
90,Guido Carrillo,ar ARG,FW,Leganés,5,0,0,41,29,9,2,8,14,0,0,0,58,209,151,58.1
91,Dani Carvajal,es ESP,DF,Real Madrid,10,0,0,30,34,2,57,26,24,0,0,0,137,20,22,47.6
92,William Carvalho,pt POR,MF,Betis,7,0,0,24,35,2,3,12,27,0,0,0,202,40,17,70.2
93,Casemiro,br BRA,MF,Real Madrid,7,1,1,47,49,0,8,41,52,1,2,0,184,83,51,61.9
94,Santiago Cáseres,ar ARG,MF,Villarreal,10,0,0,34,13,0,0,14,35,0,0,0,98,25,42,37.3
95,Catena,es ESP,DF,Rayo Vallecano,1,0,0,4,2,0,0,8,4,0,1,0,7,6,4,60
96,Santi Cazorla,es ESP,"MF,FW",Villarreal,2,0,0,22,58,0,158,28,34,0,0,0,201,9,33,21.4
97,Dani Ceballos,es ESP,"MF,FW",Real Madrid,3,0,0,16,40,1,8,15,21,0,0,0,102,9,18,33.3
98,Charles,br BRA,FW,Eibar,4,0,0,39,29,13,12,4,5,1,0,0,54,101,125,44.7
99,Chechu,es ESP,DF,Rayo Vallecano,0,0,0,0,1,0,0,2,0,0,0,0,3,2,1,66.7
100,Chema,es ESP,DF,Levante,7,0,0,19,5,0,0,19,19,0,0,0,51,31,16,66
101,Denis Cheryshev,ru RUS,MF,Valencia,2,0,0,42,19,10,95,15,32,0,0,0,113,33,43,43.4
102,Leandro Chichizola,ar ARG,GK,Getafe,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
103,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,2,0,0,20,20,19,24,10,11,0,0,0,102,15,29,34.1
104,Jasper Cillessen,nl NED,GK,Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100
105,Coke,es ESP,DF,Levante,5,1,1,26,31,1,44,40,27,0,0,0,113,24,37,39.3
106,Álex Collado,es ESP,FW,Barcelona,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
107,Santi Comesaña,es ESP,MF,Rayo Vallecano,6,0,0,28,28,1,7,30,35,0,0,0,137,36,51,41.4
108,Duje ?op,hr CRO,FW,Valladolid,2,0,0,6,8,3,6,3,4,1,0,0,15,14,32,30.4
109,Francis Coquelin,fr FRA,MF,Valencia,5,0,0,22,29,0,1,49,31,0,0,0,162,35,19,64.8
110,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,3,0,0,19,20,2,44,17,23,0,0,0,96,22,18,55
111,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,7,1,0,38,36,11,34,17,19,1,0,0,123,10,25,28.6
112,Diego Costa,es ESP,FW,Atlético Madrid,4,1,0,22,15,11,4,2,1,0,0,0,24,29,61,32.2
113,Jaume Costa,es ESP,DF,Villarreal,6,0,0,20,23,0,44,21,21,0,0,1,82,25,23,52.1
114,David Costas,es ESP,DF,Celta Vigo,4,0,0,16,7,1,1,18,13,0,0,0,63,28,10,73.7
115,Thibaut Courtois,be BEL,GK,Real Madrid,2,0,0,0,5,0,0,2,0,0,0,0,22,7,0,100
116,Philippe Coutinho,br BRA,"FW,MF",Barcelona,2,0,0,19,45,8,49,12,11,1,0,0,81,6,19,24
117,Sebastián Cristóforo,uy URU,MF,Getafe,3,0,0,13,17,0,6,8,8,1,0,0,27,7,17,29.2
118,Cucho,co COL,FW,Huesca,6,0,0,33,40,14,50,9,13,1,0,0,86,58,107,35.2
119,Marc Cucurella,es ESP,"MF,FW",Eibar,6,0,0,42,16,8,72,20,37,0,0,0,146,40,66,37.7
120,Iván Cuéllar,es ESP,GK,Leganés,5,0,0,0,7,0,0,2,0,0,0,0,36,10,0,100
121,Sergi Darder,es ESP,MF,Espanyol,8,1,1,31,30,1,56,22,35,0,0,0,143,17,24,41.5
122,Moisés Delgado,es ESP,DF,Valladolid,1,0,0,4,3,0,10,3,6,0,0,0,12,3,4,42.9
123,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,1,0,0,22,22,9,82,5,15,0,0,0,64,8,9,47.1
124,Franco Di Santo,ar ARG,FW,Rayo Vallecano,1,1,0,5,4,2,2,0,2,0,0,0,4,8,6,57.1
125,Mouctar Diakhaby,gn GUI,DF,Valencia,9,0,0,24,9,1,0,20,8,0,2,0,96,36,30,54.5
126,Brahim Díaz,es ESP,FW,Real Madrid,0,0,0,4,14,0,4,0,7,0,0,0,13,0,5,0
127,Javier Díaz,es ESP,GK,Sevilla,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
128,Adrián Diéguez,es ESP,DF,Huesca,3,0,0,9,9,0,0,12,10,0,1,0,35,17,13,56.7
129,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,3,0,0,1,4,0,0,0,0,0,0,0,12,6,0,100
130,Papakouli Diop,sn SEN,MF,Eibar,11,0,0,68,47,1,11,37,40,0,0,0,170,98,76,56.3
131,Djené,tg TOG,DF,Getafe,13,2,1,51,30,0,8,74,34,1,3,0,265,87,71,55.1
132,Marko Dmitrovi?,rs SRB,GK,Eibar,3,0,0,3,0,0,0,2,0,0,2,0,56,7,0,100
133,Jaume Doménech,es ESP,GK,Valencia,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,100
134,Cheick Doukouré,ci CIV,MF,Levante,1,0,0,13,6,0,1,3,7,0,1,0,15,4,11,26.7
135,Seydou Doumbia,ci CIV,FW,Girona,2,0,0,10,5,4,1,3,1,0,0,0,16,5,36,12.2
136,Óscar Duarte,cr CRC,"DF,MF",Espanyol,0,0,0,8,2,1,1,13,5,0,0,1,35,23,10,69.7
137,Rubén Duarte,es ESP,DF,Alavés,10,1,0,35,61,1,80,57,35,0,0,0,148,51,44,53.7
138,Hugo Duro,es ESP,"MF,FW",Getafe,0,0,0,9,17,0,4,3,4,1,0,0,18,8,11,42.1
139,Raphael Dwamena,gh GHA,FW,Levante,0,0,0,8,6,4,3,0,0,1,0,0,5,6,12,33.3
140,Dennis Eckert,de GER,FW,Celta Vigo,0,0,0,3,6,1,2,2,2,0,0,0,6,13,11,54.2
141,Aritz Elustondo,es ESP,DF,Real Sociedad,5,0,0,22,27,0,28,39,29,0,0,0,137,64,39,62.1
142,Gorka Elustondo,es ESP,"MF,DF",Rayo Vallecano,1,0,0,4,2,0,1,6,5,0,0,0,14,11,5,68.8
143,Rodrigo Ely,br BRA,DF,Alavés,1,0,0,7,2,0,0,7,5,0,1,0,21,26,6,81.3
144,Adri Embarba,es ESP,"MF,FW",Rayo Vallecano,5,1,1,44,36,9,222,29,26,1,1,0,127,20,46,30.3
145,Emerson,br BRA,"FW,DF",Betis,1,0,0,5,14,0,8,7,7,0,0,0,12,3,3,50
146,Youssef En-Nesyri,ma MAR,FW,Leganés,7,0,0,36,40,17,34,6,8,0,0,1,71,141,105,57.3
147,Sergi Enrich,es ESP,FW,Eibar,4,0,0,65,31,39,6,6,17,2,0,0,94,171,217,44.1
148,Javier Eraso,es ESP,"MF,FW",Leganés,2,0,0,16,11,1,22,7,3,1,0,0,31,8,14,36.4
149,Gonzalo Escalante,ar ARG,MF,Eibar,6,0,0,32,18,0,7,21,28,0,0,0,106,45,63,41.7
150,Sergio Escudero,es ESP,"DF,FW",Sevilla,8,1,1,21,21,1,42,24,29,0,1,0,98,22,35,38.6
151,Bernardo Espinosa,co COL,DF,Girona,6,2,2,33,6,3,0,40,14,0,1,0,128,130,66,66.3
152,Beñat Etxebarria,es ESP,MF,Athletic Club,8,0,0,30,17,0,108,24,24,0,1,0,178,20,17,54.1
153,Xabier Etxeita,es ESP,DF,Huesca,10,0,0,34,12,1,8,39,23,0,1,1,114,78,56,58.2
154,Zouhair Feddal,ma MAR,DF,Betis,7,0,0,29,9,0,4,31,23,0,2,0,106,71,28,71.7
155,Aitor Fernández,es ESP,GK,Levante,0,0,0,0,4,0,0,1,0,0,0,0,20,2,0,100
156,Andrés Fernández,es ESP,GK,Villarreal,2,0,0,0,0,0,0,0,0,0,0,0,12,1,0,100
157,Borja Fernández,es ESP,"MF,DF",Valladolid,4,0,0,17,6,1,2,14,12,0,0,0,55,37,23,61.7
158,Joaquín Fernández,es ESP,"DF,MF",Valladolid,2,0,0,8,8,0,0,17,9,0,0,1,36,37,21,63.8
159,David Ferreiro,es ESP,"MF,FW",Huesca,5,0,0,42,36,24,258,24,22,0,0,0,145,7,32,17.9
160,Facundo Ferreyra,ar ARG,FW,Espanyol,2,0,0,8,4,2,2,0,2,0,0,0,4,8,11,42.1
161,Junior Firpo,es ESP,"DF,FW",Betis,7,0,0,30,26,4,35,23,25,1,0,0,105,34,22,60.7
162,Mathieu Flamini,fr FRA,MF,Getafe,5,0,0,15,6,0,0,5,4,0,0,0,28,15,4,78.9
163,Pablo Fornals,es ESP,"MF,FW",Villarreal,4,0,0,31,43,4,36,24,26,0,0,0,163,20,63,24.1
164,Dimitri Foulquier,fr FRA,"MF,DF",Getafe,7,0,0,49,25,2,26,20,12,0,0,0,104,24,57,29.6
165,Javi Fuego,es ESP,MF,Villarreal,1,0,0,7,5,0,0,3,3,0,0,0,15,4,3,57.1
166,Ramiro Funes Mori,ar ARG,"DF,MF",Villarreal,15,0,0,32,22,2,6,42,29,0,0,1,175,67,25,72.8
167,Javi Galán,es ESP,"DF,FW",Huesca,7,0,0,15,22,1,68,19,39,0,1,0,95,17,19,47.2
168,Álex Gallar,es ESP,"MF,FW",Huesca,2,0,0,6,16,3,43,9,9,0,0,0,74,3,5,37.5
169,Enric Gallego,es ESP,FW,Huesca,4,0,0,45,29,19,10,8,15,0,0,0,45,96,102,48.5
170,Álex Gálvez,es ESP,DF,Rayo Vallecano,6,0,0,22,13,1,1,45,28,0,2,0,111,35,28,55.6
171,Kévin Gameiro,fr FRA,FW,Valencia,1,0,0,11,12,17,10,5,9,1,0,0,43,11,42,20.8
172,Cristian Ganea,ro ROU,DF,Athletic Club,0,0,0,2,1,0,1,1,0,0,0,0,2,0,0,
173,Ezequiel Garay,ar ARG,DF,Valencia,4,0,0,19,13,0,2,16,17,0,1,0,89,70,41,63.1
174,Borja Garcés,es ESP,FW,Atlético Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175,Alberto García,es ESP,GK,Rayo Vallecano,1,0,0,0,2,0,0,2,1,0,0,0,24,1,0,100
176,Aleix García,es ESP,MF,Girona,1,0,0,12,19,1,77,21,19,0,0,0,120,16,28,36.4
177,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,3,0,0,15,17,5,77,19,19,0,0,0,90,2,16,11.1
178,Borja García,es ESP,"MF,FW",Girona,0,1,0,19,103,4,42,38,27,0,0,0,206,20,34,37
179,Dani García,es ESP,MF,Athletic Club,13,0,0,46,26,0,5,49,34,0,0,0,187,56,32,63.6
180,Javi García,es ESP,"DF,MF",Betis,0,1,0,8,5,0,0,5,1,0,0,0,29,14,11,56
181,Manu García,es ESP,MF,Alavés,6,0,0,62,53,4,16,23,48,0,1,1,190,103,70,59.5
182,Raúl García,es ESP,"MF,FW",Athletic Club,12,0,0,98,60,10,28,21,41,1,0,0,123,186,125,59.8
183,Raúl García,es ESP,DF,Leganés,1,0,0,4,5,0,8,6,6,0,0,0,18,8,1,88.9
184,Raúl García,es ESP,DF,Girona,1,0,0,11,9,1,58,11,12,0,0,0,50,15,17,46.9
185,Sergio García,es ESP,"FW,MF",Espanyol,3,0,0,17,37,2,55,10,10,0,0,0,58,18,30,37.5
186,Mario Gaspar,es ESP,DF,Villarreal,17,1,1,50,12,1,49,42,43,0,2,0,118,53,50,51.5
187,Joris Gnagnon,fr FRA,"DF,MF",Sevilla,2,0,0,8,7,0,1,10,8,0,0,0,30,18,10,64.3
188,Diego Godín,uy URU,DF,Atlético Madrid,6,0,0,32,24,0,0,45,30,0,0,1,138,83,51,61.9
189,Ibai Gómez,es ESP,FW,Athletic Club,0,0,0,4,3,0,62,2,3,0,0,0,34,6,4,60
190,Ibai Gómez,es ESP,"MF,FW",Alavés,0,0,0,2,9,0,62,8,8,0,0,0,93,3,13,18.8
191,Maxi Gómez,uy URU,FW,Celta Vigo,6,1,1,70,66,43,12,2,4,0,0,0,79,134,134,50
192,Moi Gómez,es ESP,MF,Huesca,3,0,0,47,25,0,113,28,28,1,0,0,252,21,28,42.9
193,Sergi Gómez,es ESP,DF,Sevilla,1,0,0,28,7,2,2,40,38,0,0,0,124,82,69,54.3
194,Maxime Gonalons,fr FRA,MF,Sevilla,0,0,0,17,6,0,0,5,4,0,0,0,36,19,10,65.5
195,Álvaro González,es ESP,DF,Villarreal,17,2,2,28,32,1,14,37,35,0,1,0,128,79,46,63.2
196,Bruno González,es ESP,DF,Getafe,7,1,1,24,13,0,5,22,10,0,1,0,89,51,45,53.1
197,Cristo González,es ESP,FW,Real Madrid,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0
198,Andoni Gorosabel,es ESP,DF,Real Sociedad,0,0,0,5,5,0,9,4,9,0,0,0,23,6,8,42.9
199,Álex Granell,es ESP,"MF,DF",Girona,5,0,0,33,48,1,173,35,28,0,0,0,164,30,32,48.4
200,Esteban Granero,es ESP,MF,Espanyol,11,0,0,38,42,0,76,26,32,0,1,0,133,21,29,42
201,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,5,0,0,18,35,12,101,12,19,0,0,0,118,41,56,42.3
202,Andrés Guardado,mx MEX,"MF,DF",Betis,8,0,0,44,38,2,49,28,15,0,1,0,155,15,27,35.7
203,Sergi Guardiola,es ESP,FW,Valladolid,0,0,0,37,31,14,18,5,11,3,0,0,38,44,82,34.9
204,Sergi Guardiola,es ESP,"MF,FW",Getafe,0,0,0,1,2,0,3,0,1,0,0,0,3,0,2,0
205,Gonçalo Guedes,pt POR,"MF,FW",Valencia,2,0,0,19,50,7,52,7,13,0,0,0,82,9,11,45
206,Javi Guerra,es ESP,"FW,MF",Rayo Vallecano,0,0,0,3,3,1,1,1,3,1,0,0,9,10,10,50
207,Francis Guerrero,es ESP,"DF,FW",Betis,2,0,0,9,39,1,66,21,28,0,0,0,79,8,21,27.6
208,Ander Guevara,es ESP,MF,Real Sociedad,0,0,0,2,1,0,1,1,1,0,0,0,5,1,0,100
209,John Guidetti,se SWE,FW,Alavés,2,0,0,13,4,0,10,1,1,0,0,0,16,16,22,42.1
210,Gerard Gumbau,es ESP,MF,Leganés,6,1,1,28,11,0,37,13,16,0,0,0,61,15,16,48.4
211,Serdar Gürler,tr TUR,"MF,FW",Huesca,2,0,0,5,11,7,19,1,5,0,0,0,33,5,21,19.2
212,Gorka Guruzeta,es ESP,"MF,FW",Athletic Club,0,0,0,4,0,0,0,2,1,0,0,0,2,3,9,25
213,Hacen,mr MTN,MF,Valladolid,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,
214,Munir El Haddadi,ma MAR,FW,Barcelona,0,0,0,2,2,4,1,0,3,0,0,0,1,1,1,50
215,Munir El Haddadi,ma MAR,"FW,MF",Sevilla,2,0,0,17,24,9,21,6,10,0,0,0,37,17,29,37
216,Uche Henry Agbo,ng NGA,MF,Rayo Vallecano,2,0,0,12,4,0,0,6,4,0,0,0,22,7,6,53.8
217,Mario Hermoso,es ESP,DF,Espanyol,7,0,0,22,29,2,1,37,24,0,2,0,181,70,43,61.9
218,Lucas Hernández,fr FRA,DF,Atlético Madrid,5,0,0,13,20,0,10,14,25,0,0,0,67,21,13,61.8
219,Theo Hernández,fr FRA,DF,Real Sociedad,5,1,0,29,70,4,58,33,33,0,0,0,126,22,16,57.9
220,Yangel Herrera,ve VEN,"MF,DF",Huesca,5,0,0,32,23,0,10,14,24,0,1,0,85,31,17,64.6
221,Iago Herrerín,es ESP,GK,Athletic Club,1,0,0,1,4,0,0,0,0,0,0,0,27,17,1,94.4
222,Pablo Hervías,es ESP,MF,Valladolid,1,0,0,1,3,0,10,2,0,0,0,0,5,1,0,100
223,Pablo Hervías,es ESP,MF,Eibar,0,0,0,2,5,0,31,0,1,0,0,0,9,2,4,33.3
224,Andrew Hjulsager,dk DEN,"MF,FW",Celta Vigo,1,0,0,8,3,1,23,2,10,0,0,0,21,1,7,12.5
225,Wesley Hoedt,nl NED,DF,Celta Vigo,3,1,1,9,6,0,2,11,11,0,0,0,46,32,11,74.4
226,Robert Ibáñez,es ESP,MF,Getafe,1,0,0,1,5,0,0,0,2,0,0,0,3,0,0,
227,Vicente Iborra,es ESP,MF,Villarreal,7,0,0,29,37,2,1,22,18,0,0,0,119,82,63,56.6
228,Borja Iglesias,es ESP,FW,Espanyol,5,0,0,56,51,45,12,7,14,0,0,0,85,59,75,44
229,Asier Illarramendi,es ESP,MF,Real Sociedad,8,0,0,34,35,0,19,31,24,0,0,0,182,28,50,35.9
230,Giannelli Imbula,cd COD,MF,Rayo Vallecano,7,0,0,27,39,1,22,8,7,0,0,0,88,9,17,34.6
231,Pablo Insua,es ESP,DF,Huesca,4,0,0,16,4,1,0,12,10,0,0,0,32,25,21,54.3
