,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
464,Rodrygo,br BRA,FW,Real Madrid,0,0,0,8,19,5,38,10,1,0,0,0,41,9,21,30
465,Luka Romero,ar ARG,FW,Mallorca,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
466,Facundo Roncaglia,ar ARG,DF,Osasuna,4,2,1,17,13,0,9,22,20,0,2,0,106,33,25,56.9
467,Roberto Rosales,ve VEN,DF,Leganés,7,0,0,33,7,2,80,30,23,0,0,0,99,26,41,38.8
468,Rubén,es ESP,GK,Osasuna,0,0,0,0,2,0,0,0,1,0,0,0,10,5,1,83.3
469,Waldo Rubio,es ESP,"MF,FW",Valladolid,6,0,0,19,5,4,26,7,8,0,0,0,59,4,8,33.3
470,Aitor Ruibal,es ESP,"DF,MF",Leganés,4,0,0,28,13,6,29,8,17,0,0,0,82,6,21,22.2
471,Jorge Sáenz,es ESP,DF,Celta Vigo,3,1,0,7,2,0,0,10,1,0,0,0,12,9,9,50
472,Borja Sainz,es ESP,"MF,FW",Alavés,1,0,0,22,8,4,13,3,9,0,0,0,44,8,14,36.4
473,Yannis Salibur,fr FRA,"MF,FW",Mallorca,0,0,0,3,4,0,4,1,0,0,0,0,2,2,0,100
474,Mohammed Salisu,gh GHA,DF,Valladolid,4,0,0,22,13,1,1,35,24,0,2,0,149,77,49,61.1
475,Fede San Emeterio,es ESP,MF,Valladolid,4,0,0,32,25,0,4,28,13,0,0,0,85,30,32,48.4
476,Mikel San José,es ESP,MF,Athletic Club,3,0,0,6,1,1,0,9,4,0,0,0,22,15,12,55.6
477,Oihan Sancet,es ESP,"MF,FW",Athletic Club,1,0,0,16,15,0,2,2,7,0,0,0,30,8,9,47.1
478,Germán Sánchez,es ESP,DF,Granada,12,1,1,30,22,0,0,33,10,0,0,0,105,82,64,56.2
479,Javi Sánchez,es ESP,DF,Valladolid,1,0,0,7,3,0,0,4,4,0,1,0,23,10,16,38.5
480,Manuel Sánchez,es ESP,DF,Atlético Madrid,1,0,0,8,3,2,8,7,7,0,0,0,20,2,4,33.3
481,Víctor Sánchez,es ESP,MF,Espanyol,11,1,1,48,31,0,71,27,36,0,2,0,117,37,33,52.9
482,Luca Sangalli,es ESP,MF,Real Sociedad,0,0,0,1,7,0,6,1,0,0,0,0,34,9,4,69.2
483,Oier Sanjurjo,es ESP,MF,Osasuna,15,1,1,41,41,2,10,35,34,0,0,0,174,80,57,58.4
484,Ivan Šaponjic,rs SRB,"DF,FW",Atlético Madrid,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,100
485,Joan Sastre Vanrell,es ESP,DF,Mallorca,4,0,0,20,19,0,65,23,17,0,1,0,70,11,13,45.8
486,Stefan Savi?,me MNE,DF,Atlético Madrid,6,0,0,15,10,0,0,24,17,0,0,1,97,62,35,63.9
487,Aleksandar Sedlar,rs SRB,DF,Mallorca,3,1,0,11,4,0,0,16,6,0,1,0,43,18,18,50
488,Nélson Semedo,pt POR,DF,Barcelona,2,0,0,21,30,3,22,22,30,2,1,0,128,12,12,50
489,Josep Señé,es ESP,MF,Mallorca,0,0,0,1,4,0,2,0,1,0,0,0,7,1,0,100
490,Salva Sevilla,es ESP,MF,Mallorca,10,1,1,35,20,1,127,29,21,0,0,0,172,11,10,52.4
491,Sidnei,br BRA,DF,Betis,1,0,0,8,4,0,0,21,19,0,1,0,77,31,13,70.5
492,Jonathan Silva,ar ARG,DF,Leganés,13,1,0,45,36,4,133,34,34,0,1,1,128,39,47,45.3
493,Rui Silva,pt POR,GK,Granada,3,0,0,0,4,0,0,2,1,0,0,0,74,4,0,100
494,Unai Simón,es ESP,GK,Athletic Club,2,1,0,2,2,0,0,1,0,0,0,0,24,8,0,100
495,Dimitris Siovas,gr GRE,DF,Leganés,7,0,0,24,9,3,9,46,31,0,1,0,108,79,44,64.2
496,Pione Sisto,dk DEN,"FW,MF",Celta Vigo,2,0,0,9,26,5,38,6,8,0,0,0,50,3,5,37.5
497,Antonio Sivera,es ESP,GK,Alavés,1,0,0,1,0,0,0,0,0,0,1,0,2,2,0,100
498,Fyodor Smolov,ru RUS,FW,Celta Vigo,4,0,0,14,7,8,6,7,1,0,0,0,15,16,29,35.6
499,Rafa Soares,pt POR,DF,Eibar,1,0,0,5,2,0,28,2,5,0,0,0,30,7,8,46.7
500,Rubén Sobrino,es ESP,"FW,MF",Valencia,0,0,0,7,7,1,2,0,5,0,0,0,9,2,8,20
501,Roberto Soldado,es ESP,FW,Granada,14,0,0,43,43,20,15,4,9,1,0,0,53,45,80,36
502,Carlos Soler,es ESP,MF,Valencia,4,0,0,22,25,1,24,9,10,0,0,0,82,18,17,51.4
503,Kévin Soni,cm CMR,FW,Espanyol,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,
504,David Soria,es ESP,GK,Getafe,2,0,0,2,0,0,0,3,1,0,1,1,46,6,1,85.7
505,Bruno Soriano,es ESP,"MF,FW",Villarreal,1,0,0,4,0,0,0,1,0,0,0,0,21,3,2,60
506,Juan Soriano,es ESP,GK,Leganés,2,0,0,1,1,0,0,0,0,0,1,0,7,2,0,100
507,Damián Suárez,uy URU,DF,Getafe,15,0,0,55,48,0,151,27,32,0,0,0,147,35,50,41.2
508,Denis Suárez,es ESP,"MF,FW",Celta Vigo,2,0,0,21,32,0,92,14,15,1,0,0,85,5,16,23.8
509,Luis Suárez,uy URU,FW,Barcelona,4,0,0,15,25,18,9,1,0,0,0,0,36,11,8,57.9
510,Ki Sung-yueng,kr KOR,MF,Mallorca,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
511,Suso,es ESP,"FW,MF",Sevilla,0,0,0,5,8,3,39,2,4,0,0,0,35,4,8,33.3
512,Tachi,es ESP,DF,Alavés,1,0,0,5,6,0,0,4,1,0,0,0,8,1,9,10
513,Rodrigo Tarín,es ESP,DF,Leganés,1,0,0,7,7,0,0,9,7,0,1,0,32,15,11,57.7
514,Álvaro Tejero,es ESP,DF,Eibar,4,0,0,23,18,1,75,28,18,0,0,0,91,19,27,41.3
515,Cristian Tello,es ESP,"MF,FW",Betis,1,0,0,8,4,0,33,4,5,0,0,0,42,3,5,37.5
516,Marc-André ter Stegen,de GER,GK,Barcelona,1,0,0,0,2,0,0,2,2,0,0,0,59,11,1,91.7
517,David Timor,es ESP,"MF,DF",Getafe,4,0,0,21,14,0,20,18,6,0,0,0,47,42,19,68.9
518,Jean-Clair Todibo,fr FRA,DF,Barcelona,0,0,0,1,0,0,0,0,0,0,0,0,3,2,3,40
519,Karl Toko Ekambi,cm CMR,FW,Villarreal,0,0,0,7,7,7,4,3,3,0,1,0,15,10,30,25
520,Raúl de Tomás,es ESP,FW,Espanyol,5,0,0,22,24,7,10,10,7,1,0,0,34,26,46,36.1
521,Toño,es ESP,DF,Levante,2,0,0,16,20,5,58,13,19,0,0,0,108,16,18,47.1
522,Ferrán Torres,es ESP,"MF,FW",Valencia,5,0,0,20,39,16,91,14,15,0,0,0,125,41,55,42.7
523,Óliver Torres,es ESP,"MF,FW",Sevilla,5,0,0,30,19,1,40,13,27,0,0,0,120,9,27,25
524,Pau Torres,es ESP,DF,Villarreal,6,0,0,29,9,0,2,27,21,0,2,1,203,45,57,44.1
525,Roberto Torres,es ESP,"MF,FW",Osasuna,1,0,0,19,32,1,160,31,16,0,1,0,149,28,26,51.9
526,Aleksandar Trajkovski,mk MKD,"MF,FW",Mallorca,0,0,0,5,9,0,27,3,0,1,0,0,20,1,2,33.3
527,Manu Trigueros,es ESP,MF,Villarreal,6,0,0,32,31,0,29,4,21,0,0,0,92,14,34,29.2
528,Kieran Trippier,eng ENG,DF,Atlético Madrid,2,0,0,20,13,2,130,24,34,0,1,0,132,26,25,51
529,Samuel Umtiti,fr FRA,DF,Barcelona,6,0,0,20,16,1,0,22,5,0,0,0,68,21,13,61.8
530,Enes Ünal,tr TUR,FW,Valladolid,4,0,0,41,55,19,8,6,12,3,0,0,65,126,154,45
531,Tomáš Vaclík,cz CZE,GK,Sevilla,0,0,0,0,3,0,0,0,0,0,0,0,41,5,1,83.3
532,Álvaro Vadillo,es ESP,"FW,MF",Granada,0,0,0,9,20,9,93,7,11,0,0,0,47,6,30,16.7
533,Germán Valera,es ESP,FW,Atlético Madrid,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
534,Martin Valjent,sk SVK,DF,Mallorca,6,0,0,19,9,1,4,37,17,0,0,0,145,55,47,53.9
535,Jesús Vallejo,es ESP,DF,Granada,1,0,0,6,1,1,1,5,5,0,1,0,25,8,10,44.4
536,Manu Vallejo,es ESP,"MF,FW",Valencia,0,0,0,6,8,2,3,2,3,0,0,0,10,5,15,25
537,Federico Valverde,uy URU,MF,Real Madrid,1,0,0,25,10,0,16,21,19,0,0,0,113,25,18,58.1
538,Raphaël Varane,fr FRA,DF,Real Madrid,2,0,0,22,12,1,2,31,17,0,0,0,159,80,33,70.8
539,Matías Vargas,ar ARG,"FW,MF",Espanyol,1,0,0,9,21,2,40,3,5,0,0,0,68,2,14,12.5
540,Franco Vázquez,ar ARG,"MF,FW",Sevilla,5,0,0,32,39,6,17,10,17,0,0,0,88,33,32,50.8
541,Kevin Vázquez,es ESP,DF,Celta Vigo,6,0,0,22,29,1,21,26,15,1,0,0,80,23,24,48.9
542,Lucas Vázquez,es ESP,"MF,FW",Real Madrid,1,0,0,26,12,2,47,10,17,1,0,0,70,3,8,27.3
543,Koke Vegas,es ESP,GK,Levante,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,
544,Unai Vencedor Paris,es ESP,MF,Athletic Club,1,0,0,0,1,0,4,0,0,0,0,0,5,0,2,0
545,Mikel Vesga,es ESP,MF,Athletic Club,3,0,0,27,11,0,11,31,17,0,0,0,92,35,26,57.4
546,Rúben Vezo,pt POR,DF,Levante,4,0,0,29,26,1,2,42,24,1,2,0,121,83,39,68
547,Fede Vico,es ESP,"MF,FW",Granada,1,0,0,8,16,1,34,5,1,0,0,0,49,8,11,42.1
548,Aleix Vidal,es ESP,MF,Alavés,6,0,0,18,48,3,110,23,14,1,0,0,109,10,25,28.6
549,Arturo Vidal,cl CHI,MF,Barcelona,4,0,0,44,23,7,14,17,38,0,2,0,108,32,37,46.4
550,Nacho Vidal,es ESP,DF,Osasuna,5,0,0,26,37,0,66,44,29,0,1,0,129,46,43,51.7
551,Dídac Vilà,es ESP,DF,Espanyol,9,0,0,39,28,2,61,40,42,0,0,0,116,57,69,45.2
552,Toni Villa,es ESP,MF,Valladolid,4,0,0,14,37,3,29,8,16,0,0,0,96,4,13,23.5
553,Asier Villalibre,es ESP,FW,Athletic Club,0,0,0,16,11,5,7,1,0,0,0,0,16,26,22,54.2
554,Iván Villar,es ESP,GK,Celta Vigo,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
555,Juan Villar,es ESP,FW,Osasuna,1,0,0,7,2,6,1,1,0,0,0,0,12,8,7,53.3
556,Vitolo,es ESP,"FW,MF",Atlético Madrid,3,0,0,26,43,8,7,10,12,0,0,0,72,16,34,32
557,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,3,0,0,7,3,0,14,8,5,0,0,0,14,13,4,76.5
558,Nikola Vukcevic,me MNE,MF,Levante,11,0,0,44,28,0,2,12,26,0,0,0,67,17,28,37.8
559,Moussa Wagué,sn SEN,DF,Barcelona,0,0,0,1,0,0,6,1,1,0,0,0,3,1,1,50
560,Wakaso,gh GHA,MF,Alavés,12,1,1,40,24,0,15,17,31,0,0,0,99,18,28,39.1
561,Daniel Wass,dk DEN,"DF,MF",Valencia,7,0,0,29,32,4,84,31,25,0,0,0,127,50,34,59.5
562,Iñaki Williams,gh GHA,FW,Athletic Club,3,0,0,30,47,29,55,5,5,1,0,0,82,63,74,46
563,Yoel,es ESP,GK,Eibar,1,0,0,1,0,0,0,1,0,0,1,0,4,1,0,100
564,Okay Yokuslu,tr TUR,MF,Celta Vigo,6,0,0,46,17,0,4,28,27,0,0,0,156,80,42,65.6
565,Joseba Zaldúa,es ESP,DF,Real Sociedad,8,1,1,41,61,1,98,37,43,0,1,1,109,70,39,64.2
566,Andre-Frank Zambo Anguissa,cm CMR,MF,Villarreal,6,0,0,44,39,0,11,44,49,0,0,0,193,76,43,63.9
567,Igor Zubeldia,es ESP,"MF,DF",Real Sociedad,9,0,0,51,23,0,9,26,21,0,2,0,181,65,70,48.1
568,Martín Zubimendi,es ESP,MF,Real Sociedad,3,0,0,9,6,0,2,9,12,0,0,0,51,17,3,85
569,David Zurutuza,es ESP,MF,Real Sociedad,0,0,0,2,3,0,1,4,3,0,0,0,9,4,10,28.6
570,Martin Ødegaard,no NOR,MF,Real Sociedad,3,0,0,24,37,0,113,17,19,0,0,0,157,10,25,28.6
