,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
91,Sergio Canales,es ESP,"MF,FW",Betis,5,0,0,27,46,2,153,13,16,0,1,0,177,6,28,17.6
92,Ander Capa,es ESP,DF,Athletic Club,10,0,0,46,15,6,100,28,36,0,0,0,138,42,24,63.6
93,Marc Cardona,es ESP,FW,Osasuna,1,0,0,8,9,8,6,2,0,0,0,0,24,12,40,23.1
94,Diego Carlos,br BRA,DF,Sevilla,7,0,0,46,11,2,4,37,23,0,1,1,182,95,56,62.9
95,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,2,0,0,8,13,2,24,5,7,2,0,0,43,2,5,28.6
96,Daniel Carriço,pt POR,DF,Sevilla,3,0,0,8,2,0,0,8,2,0,0,0,49,14,26,35
97,Guido Carrillo,ar ARG,FW,Leganés,2,0,0,29,24,4,3,3,10,0,0,0,28,126,85,59.7
98,Dani Carvajal,es ESP,DF,Real Madrid,11,0,0,42,30,3,109,36,46,1,0,0,178,27,33,45
99,William Carvalho,pt POR,MF,Betis,6,1,0,17,8,0,1,4,4,0,0,0,59,19,8,70.4
100,Casemiro,br BRA,MF,Real Madrid,12,0,0,87,65,3,24,68,60,0,0,0,294,100,62,61.7
101,Santi Cazorla,es ESP,MF,Villarreal,3,0,0,29,37,3,134,19,25,0,0,0,146,11,20,35.5
102,Sofian Chakla,ma MAR,DF,Villarreal,1,0,0,3,1,0,0,3,0,0,1,0,8,2,1,66.7
103,Charles,br BRA,FW,Eibar,8,0,0,41,22,7,2,7,5,1,0,0,34,64,82,43.8
104,Pablo Chavarría,ar ARG,"FW,MF",Mallorca,1,0,0,14,4,7,5,1,1,0,0,0,6,19,9,67.9
105,Pape Cheikh Diop,sn SEN,MF,Celta Vigo,5,1,1,23,17,0,0,5,4,0,0,0,41,5,8,38.5
106,Chema,es ESP,DF,Getafe,4,0,0,7,1,1,1,5,3,0,0,0,18,12,14,46.2
107,Denis Cheryshev,ru RUS,"MF,FW",Valencia,5,0,0,23,13,2,40,7,9,1,1,0,53,11,17,39.3
108,Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,2,0,0,16,50,12,34,10,14,2,0,0,126,13,27,32.5
109,Churripi,es ESP,GK,Valladolid,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,100
110,Jasper Cillessen,nl NED,GK,Valencia,1,0,0,0,4,0,0,3,0,0,0,0,20,7,0,100
111,Óscar Clemente,es ESP,MF,Atlético Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,Carlos Clerc,es ESP,DF,Levante,4,0,0,24,20,2,60,22,16,0,0,0,96,30,25,54.5
113,Coke,es ESP,DF,Levante,3,0,0,17,11,1,25,13,18,0,0,0,63,17,14,54.8
114,Álex Collado,es ESP,FW,Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50
115,Francis Coquelin,fr FRA,MF,Valencia,8,1,1,34,28,2,3,38,21,1,2,0,149,24,12,66.7
116,Sébastien Corchia,fr FRA,DF,Espanyol,1,0,0,4,5,0,25,5,1,0,0,0,7,0,0,
117,Iñigo Córdoba,es ESP,FW,Athletic Club,4,0,0,28,14,4,36,16,20,0,0,0,86,17,19,47.2
118,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,5,0,0,26,41,9,34,14,9,0,0,0,105,11,39,22
119,Rober Correa,es ESP,DF,Eibar,3,0,0,15,10,0,33,16,6,0,0,0,47,29,27,51.8
120,Thierry Correia,pt POR,DF,Valencia,0,0,0,3,8,0,3,2,3,0,0,0,15,4,5,44.4
121,Antonio Cortés,es ESP,"FW,MF",Granada,2,0,0,6,3,0,4,0,1,0,0,0,7,4,6,40
122,Diego Costa,es ESP,FW,Atlético Madrid,5,0,0,20,20,19,4,3,5,0,0,1,29,67,92,42.1
123,Jaume Costa,es ESP,DF,Valencia,2,1,0,20,20,2,29,24,23,0,0,0,60,16,23,41
124,David Costas,es ESP,DF,Celta Vigo,1,0,0,5,2,0,0,8,3,0,0,0,22,6,7,46.2
125,Thibaut Courtois,be BEL,GK,Real Madrid,1,0,0,0,4,0,0,2,0,0,0,0,48,5,0,100
