,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
80,Bryan,es ESP,"MF,FW",Valencia,3,0,0,13,20,7,44,1,8,0,0,0,54,1,7,12.5
81,Ante Budimir,hr CRO,FW,Osasuna,3,0,0,37,32,16,7,3,10,1,0,0,50,106,99,51.7
82,Sergio Busquets,es ESP,MF,Barcelona,12,0,0,53,67,2,3,45,49,0,0,0,281,57,68,45.6
83,Adrián Butzke,es ESP,FW,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,Erick Cabaco,uy URU,DF,Getafe,4,1,1,7,4,0,1,4,1,0,0,1,14,8,6,57.1
85,Leandro Cabrera,uy URU,DF,Espanyol,7,0,0,32,21,2,13,44,24,0,2,1,147,82,48,63.1
86,Martín Cáceres,uy URU,DF,Levante,2,0,0,8,8,0,4,11,2,0,0,0,43,7,12,36.8
87,Cala,es ESP,DF,Cádiz,8,1,1,11,7,1,0,12,4,0,2,0,44,15,15,50
88,Calderón,es ESP,DF,Betis,0,0,0,1,1,0,4,0,0,0,0,0,6,0,2,0
89,Fernando Calero,es ESP,DF,Espanyol,3,0,0,10,6,0,0,16,10,0,1,0,46,21,22,48.8
90,Víctor Camarasa,es ESP,"MF,FW",Betis,0,0,0,2,3,0,0,2,1,0,0,0,6,2,1,66.7
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,8,0,0,35,29,1,3,17,35,0,0,0,85,28,13,68.3
92,José Campaña,es ESP,MF,Levante,6,1,0,17,22,1,56,21,16,0,0,0,109,17,18,48.6
93,Sergio Canales,es ESP,"FW,MF",Betis,6,0,0,19,39,11,67,10,14,0,0,0,179,11,26,29.7
94,Álex Cantero,es ESP,"FW,MF",Levante,1,0,0,13,4,0,6,1,4,0,0,0,17,3,13,18.8
95,Ander Capa,es ESP,DF,Athletic Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,Étienne Capoue,fr FRA,MF,Villarreal,9,0,0,44,44,0,5,35,26,0,0,0,135,52,24,68.4
97,Isaac Carcelen,es ESP,"DF,MF",Cádiz,2,0,0,23,25,1,49,34,29,0,0,0,114,15,18,45.5
98,Cárdenas,es ESP,GK,Levante,3,0,0,0,3,0,0,1,1,0,0,0,33,2,1,66.7
99,Carlo,es ESP,MF,Villarreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,Diego Carlos,br BRA,DF,Sevilla,4,1,1,33,19,1,3,24,24,0,2,0,190,80,42,65.6
101,Carmona,es ESP,DF,Sevilla,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
102,Yannick Carrasco,be BEL,"FW,MF",Atlético Madrid,5,0,0,30,39,13,133,19,19,0,0,0,159,8,12,40
103,Guido Carrillo,ar ARG,FW,Elche,3,0,0,33,25,6,1,1,4,0,0,0,38,80,60,57.1
104,Dani Carvajal,es ESP,DF,Real Madrid,1,0,0,19,11,0,40,20,28,0,1,0,97,14,14,50
105,William Carvalho,pt POR,MF,Betis,6,0,0,31,28,0,4,16,33,0,0,0,128,34,25,57.6
106,Casemiro,br BRA,MF,Real Madrid,11,0,0,54,38,4,17,38,51,1,0,0,230,101,50,66.9
107,Kiko Casilla,es ESP,GK,Elche,3,0,0,0,1,0,0,1,0,0,0,0,21,3,0,100
108,Catena,es ESP,DF,Rayo Vallecano,8,0,0,26,14,3,2,30,23,0,1,0,190,117,40,74.5
109,Dani Ceballos,es ESP,MF,Real Madrid,1,0,0,3,7,0,1,4,5,0,0,0,25,0,0,
110,Franco Cervi,ar ARG,MF,Celta Vigo,5,0,0,22,40,2,78,21,41,1,0,0,146,17,31,35.4
111,Chapela,es ESP,"MF,FW",Cádiz,0,0,0,4,9,1,12,4,2,0,0,0,22,4,6,40
112,Chema,es ESP,MF,Getafe,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0
113,Denis Cheryshev,ru RUS,"MF,FW",Valencia,1,0,0,15,7,4,27,9,5,1,0,0,35,5,13,27.8
114,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,4,0,0,11,16,12,16,5,9,0,0,0,57,7,18,28
115,Víctor Chust,es ESP,DF,Cádiz,2,0,0,14,8,0,2,16,10,0,2,0,124,30,36,45.5
116,Jasper Cillessen,nl NED,GK,Valencia,1,0,0,0,1,0,0,1,0,0,0,0,20,1,0,100
117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,5,0,0,19,9,1,0,30,15,0,1,1,103,34,22,60.7
118,Carlos Clerc,es ESP,DF,Levante,6,0,0,23,18,0,47,26,17,0,0,0,99,13,17,43.3
119,Coke,es ESP,DF,Levante,1,0,0,4,1,0,0,2,2,0,0,0,8,4,3,57.1
120,Álex Collado,es ESP,"MF,FW",Granada,1,0,0,15,16,0,42,6,12,0,0,0,59,6,17,26.1
121,Eray Cömert,ch SUI,DF,Valencia,2,0,0,3,0,0,0,2,3,0,1,0,24,2,7,22.2
122,Santi Comesaña,es ESP,MF,Rayo Vallecano,12,1,1,60,56,1,10,33,56,0,0,0,213,56,63,47.1
123,Diego Conde,es ESP,GK,Getafe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
124,Francis Coquelin,fr FRA,MF,Villarreal,3,0,0,23,13,0,1,19,17,0,0,0,57,15,10,60
125,Jesús Corona,mx MEX,"FW,DF",Sevilla,2,0,0,11,27,7,52,8,7,0,0,0,64,7,13,35
126,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,3,1,0,24,27,10,34,10,8,0,0,0,78,5,16,23.8
127,Thierry Correia,pt POR,DF,Valencia,5,0,0,32,29,0,48,19,23,0,0,0,109,19,14,57.6
128,Hélder Costa,ao ANG,"MF,FW",Valencia,3,0,0,28,14,1,46,3,16,0,0,0,60,8,12,40
129,Jaume Costa,es ESP,DF,Mallorca,5,1,0,21,26,2,75,23,26,0,0,0,100,25,31,44.6
130,Thibaut Courtois,be BEL,GK,Real Madrid,1,0,0,1,1,0,0,0,0,0,1,0,44,8,1,88.9
131,Philippe Coutinho,br BRA,"MF,FW",Barcelona,1,0,0,7,13,2,19,4,3,1,0,0,23,2,4,33.3
132,Cristo,es ESP,DF,Real Sociedad,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0
133,Juan Cruz Armada,es ESP,DF,Osasuna,4,0,0,19,5,0,8,16,21,0,0,0,124,23,27,46
134,Marc Cucurella,es ESP,"MF,DF",Getafe,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,
135,Jorge Cuenca,es ESP,DF,Getafe,6,2,0,33,14,0,5,39,32,0,0,0,144,79,38,67.5
136,Matheus Cunha,br BRA,FW,Atlético Madrid,3,0,0,22,26,1,7,6,12,2,1,0,44,21,74,22.1
137,Sergi Darder,es ESP,MF,Espanyol,4,0,0,28,38,0,70,26,22,0,0,0,171,12,16,42.9
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,7,0,0,45,59,1,92,21,30,0,0,0,159,17,21,44.7
139,Thomas Delaney,dk DEN,MF,Sevilla,4,1,1,26,21,1,14,13,24,0,0,0,82,55,35,61.1
140,Ousmane Dembélé,fr FRA,FW,Barcelona,3,0,0,11,17,4,144,8,16,0,0,0,63,4,5,44.4
141,Yusuf Demir,at AUT,FW,Barcelona,0,0,0,0,4,0,2,2,1,0,0,0,9,0,0,
142,Memphis Depay,nl NED,FW,Barcelona,3,0,0,23,44,13,125,3,4,3,0,0,52,10,15,40
143,Sergiño Dest,us USA,"DF,FW",Barcelona,2,0,0,17,19,1,59,2,15,0,0,0,93,7,13,35
144,Boulaye Dia,sn SEN,FW,Villarreal,3,0,0,23,13,7,1,5,6,0,0,0,36,31,35,47
145,Mouctar Diakhaby,gn GUI,DF,Valencia,11,0,0,26,16,1,5,30,24,0,1,2,144,33,29,53.2
146,Javier Díaz,es ESP,GK,Sevilla,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
147,Víctor Díaz,es ESP,DF,Granada,5,0,0,15,4,0,13,17,15,0,0,0,71,29,31,48.3
148,Landry Dimata,be BEL,"FW,MF",Espanyol,0,0,0,14,20,3,0,1,2,0,0,0,14,17,24,41.5
149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,0,0,0,0,6,0,0,1,0,0,0,0,24,11,2,84.6
150,Matías Dituro,ar ARG,GK,Celta Vigo,1,0,0,1,3,0,0,0,0,0,0,0,51,8,0,100
151,Djené,tg TOG,DF,Getafe,11,1,0,47,36,1,22,59,26,0,2,0,222,52,31,62.7
152,Naïs Djouahra,fr FRA,"FW,MF",Real Sociedad,0,0,0,3,2,1,15,2,3,0,0,0,14,2,2,50
153,Marko Dmitrovi?,rs SRB,GK,Sevilla,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,100
154,Jaume Doménech,es ESP,GK,Valencia,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
155,Carlos Dominguez,es ESP,DF,Celta Vigo,1,0,0,3,4,0,0,4,1,0,1,0,21,10,6,62.5
156,Mario Dominguez,es ESP,FW,Valencia,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
157,John Donald,es ESP,DF,Elche,0,0,0,2,0,0,0,3,4,0,0,0,12,2,4,33.3
158,Domingos Duarte,pt POR,DF,Granada,7,1,0,24,15,0,1,22,14,0,3,0,93,39,23,62.9
159,Óscar Duarte,cr CRC,DF,Levante,5,0,0,26,4,2,0,24,8,0,0,0,98,67,35,65.7
160,Rubén Duarte,es ESP,DF,Alavés,12,1,1,45,40,2,119,57,47,1,1,0,163,54,37,59.3
161,Unai Dufur,es ESP,DF,Osasuna,0,0,0,1,0,0,0,4,0,0,0,0,8,2,2,50
162,Hugo Duro,es ESP,"DF,MF",Getafe,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,66.7
163,Hugo Duro,es ESP,"FW,MF",Valencia,3,1,1,29,44,7,12,4,19,2,1,0,64,39,68,36.4
164,Aritz Elustondo,es ESP,DF,Real Sociedad,3,1,0,18,22,2,5,29,14,0,1,0,123,54,23,70.1
165,Adri Embarba,es ESP,"FW,MF",Espanyol,4,0,0,30,43,7,192,19,29,0,0,0,108,17,31,35.4
166,Emerson,br BRA,DF,Barcelona,0,0,0,3,3,0,2,2,3,0,0,0,2,0,1,0
167,Youssef En-Nesyri,ma MAR,FW,Sevilla,1,0,0,11,10,18,5,4,5,1,0,0,28,45,51,46.9
168,Gonzalo Escalante,ar ARG,MF,Alavés,8,1,1,25,23,3,3,21,14,1,0,0,93,34,23,59.6
169,Aarón Escandell,es ESP,GK,Granada,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,
170,Sergio Escudero,es ESP,"DF,MF",Granada,6,0,0,14,20,5,30,26,24,0,1,0,90,33,36,47.8
171,Alfonso Espino,uy URU,DF,Cádiz,6,0,0,50,43,6,150,54,63,0,1,0,278,46,54,46
172,Estanis,es ESP,FW,Barcelona,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0
173,Pervis Estupiñán,ec ECU,DF,Villarreal,3,0,0,24,11,11,73,25,22,0,1,0,126,23,19,54.8
174,Abdessamad Ezzalzouli,ma MAR,FW,Barcelona,4,0,0,17,15,2,15,9,9,0,0,0,29,3,7,30
175,Radamel Falcao,co COL,FW,Rayo Vallecano,1,0,0,17,18,15,4,2,1,0,0,0,17,27,33,45
176,Fali,es ESP,"DF,MF",Cádiz,6,0,0,19,11,0,11,24,19,0,0,0,110,31,26,54.4
177,Omar Faraj,se SWE,FW,Levante,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0
178,Ansu Fati,es ESP,FW,Barcelona,0,0,0,9,12,3,3,1,2,1,0,0,10,1,3,25
179,Aleix Febas,es ESP,MF,Mallorca,1,0,0,2,5,0,0,0,1,0,0,0,9,1,2,33.3
180,Nabil Fekir,fr FRA,MF,Betis,7,1,0,65,92,9,173,7,29,0,0,0,106,26,48,35.1
181,Felipe,br BRA,DF,Atlético Madrid,5,1,0,21,14,2,0,28,15,0,0,0,100,45,29,60.8
182,João Félix,pt POR,"FW,MF",Atlético Madrid,3,1,1,15,57,9,18,7,2,0,0,0,31,19,18,51.4
183,Aitor Fernández,es ESP,GK,Levante,1,1,0,1,2,0,0,0,1,0,0,0,20,1,0,100
184,Álex Fernández,es ESP,MF,Cádiz,2,0,0,15,23,2,69,30,31,0,0,0,164,18,30,37.5
185,Fernando,br BRA,"MF,DF",Sevilla,6,0,0,16,11,1,1,29,17,0,0,0,131,35,45,43.8
186,Fidel,es ESP,MF,Elche,9,0,0,26,29,7,118,7,23,0,1,0,141,6,21,22.2
187,José Fontán,es ESP,DF,Celta Vigo,3,0,0,10,0,0,5,10,3,0,1,0,17,4,2,66.7
188,Dimitri Foulquier,fr FRA,DF,Granada,0,0,0,1,3,0,7,1,0,0,0,0,4,1,3,25
189,Dimitri Foulquier,fr FRA,DF,Valencia,11,0,0,39,40,1,60,29,17,1,1,0,164,20,22,47.6
190,Juan Foyth,ar ARG,DF,Villarreal,6,1,1,39,22,0,7,20,49,0,1,0,125,36,24,60
191,Enric Franquesa,es ESP,"DF,FW",Levante,1,0,0,7,7,1,10,7,3,0,0,0,28,8,7,53.3
192,Jorge de Frutos,es ESP,"MF,FW",Levante,4,0,0,39,21,13,69,12,15,0,2,0,96,7,16,30.4
193,Javi Galán,es ESP,DF,Celta Vigo,8,0,0,54,75,11,173,45,66,0,0,0,234,25,48,34.2
194,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,4,0,0,25,33,0,14,20,21,0,0,0,109,18,12,60
195,Thiago Galhardo,br BRA,"FW,MF",Celta Vigo,5,0,0,21,13,16,9,6,6,0,0,0,31,48,66,42.1
196,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,6,0,0,23,25,11,194,42,23,0,0,0,187,5,23,17.9
197,Dani García,es ESP,MF,Athletic Club,9,0,0,44,22,1,4,24,22,0,0,0,132,33,33,50
198,David García,es ESP,DF,Osasuna,8,0,0,53,21,0,0,52,14,0,1,0,221,134,42,76.1
199,Eric García,es ESP,DF,Barcelona,5,1,0,34,5,2,2,44,18,0,1,0,95,32,21,60.4
200,Francisco Garcia,es ESP,DF,Rayo Vallecano,4,0,0,24,15,2,128,45,35,0,0,0,210,25,37,40.3
201,Joan García,es ESP,GK,Espanyol,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,
202,Manu García,es ESP,MF,Alavés,3,0,0,24,33,0,43,13,9,0,0,0,81,3,10,23.1
203,Raúl García,es ESP,FW,Athletic Club,3,0,0,49,32,12,20,9,17,0,0,0,62,57,66,46.3
204,Rubén García,es ESP,"MF,FW",Osasuna,1,0,0,37,28,8,199,24,26,0,1,0,139,28,44,38.9
205,Saúl García,es ESP,MF,Alavés,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
206,Unai García,es ESP,DF,Osasuna,5,0,0,10,7,0,8,22,12,0,1,0,75,34,33,50.7
207,Mario Gaspar,es ESP,DF,Villarreal,1,0,0,8,2,0,4,6,4,0,0,0,30,8,11,42.1
208,Gavi,es ESP,"MF,FW",Barcelona,11,1,1,63,69,12,48,25,18,1,0,0,122,32,35,47.8
209,Óscar Gil,es ESP,DF,Espanyol,7,0,0,36,24,2,38,19,35,0,0,0,72,6,24,20
210,Mario Gila,es ESP,DF,Real Madrid,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,
211,Dani Gómez,es ESP,FW,Levante,1,0,0,18,20,11,5,3,4,1,0,0,32,4,29,12.1
212,Maxi Gómez,uy URU,FW,Valencia,7,1,1,49,55,10,19,3,3,1,0,0,48,82,67,55
213,Moi Gómez,es ESP,"MF,FW",Villarreal,2,0,0,22,11,1,33,6,7,0,0,0,76,11,14,44
214,Papu Gómez,ar ARG,"FW,MF",Sevilla,4,0,0,21,48,1,57,7,11,0,0,0,80,10,20,33.3
215,Sergi Gómez,es ESP,DF,Espanyol,1,1,0,11,4,0,0,40,24,0,0,0,103,39,50,43.8
216,Maxime Gonalons,fr FRA,MF,Granada,6,0,0,29,31,0,6,18,28,0,0,0,110,33,16,67.3
217,Diego González,es ESP,DF,Elche,3,1,0,25,3,0,0,19,16,0,1,0,85,27,27,50
218,Édgar González,es ESP,DF,Betis,6,0,0,21,8,0,1,23,19,0,0,0,70,32,34,48.5
219,Giovanni González,uy URU,DF,Mallorca,1,0,0,3,3,0,10,4,3,0,0,0,20,6,12,33.3
220,Nicolás González,es ESP,MF,Barcelona,6,0,0,37,19,1,7,6,20,0,0,0,66,5,13,27.8
221,Peter González,do DOM,"MF,DF",Real Madrid,0,0,0,0,2,0,1,1,0,0,0,0,3,0,1,0
222,Roberto González,es ESP,"FW,MF",Betis,0,0,0,2,3,0,1,1,4,0,0,0,2,1,1,50
223,Gori,es ESP,MF,Espanyol,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
224,Andoni Gorosabel,es ESP,DF,Real Sociedad,4,0,0,27,18,0,63,18,31,0,0,0,137,22,30,42.3
225,Jaume Grau,es ESP,MF,Osasuna,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
226,Dominik Greif,sk SVK,GK,Mallorca,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
227,Clément Grenier,fr FRA,MF,Mallorca,1,0,0,2,0,0,2,0,0,0,0,0,4,1,2,33.3
228,Antoine Griezmann,fr FRA,FW,Barcelona,0,0,0,2,4,0,0,3,5,0,0,0,9,4,6,40
229,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,3,0,0,18,27,10,34,7,14,0,0,0,72,31,53,36.9
230,Arnaut Groeneveld,nl NED,FW,Villarreal,1,0,0,3,18,17,27,2,6,0,0,0,31,3,8,27.3
231,Andrés Guardado,mx MEX,MF,Betis,4,0,0,24,18,0,9,21,13,0,1,0,100,12,32,27.3
232,Sergi Guardiola,es ESP,FW,Rayo Vallecano,3,0,0,29,29,14,16,4,9,1,0,0,47,23,45,33.8
233,Nemanja Gudelj,rs SRB,"DF,MF",Sevilla,5,0,0,15,9,0,0,22,7,0,0,0,73,29,8,78.4
234,Gonçalo Guedes,pt POR,"FW,MF",Valencia,3,0,0,37,74,5,110,9,14,1,0,0,108,16,29,35.6
235,Ander Guevara,es ESP,MF,Real Sociedad,2,0,0,15,5,0,0,12,13,0,1,0,66,15,22,40.5
