,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
48,Gareth Bale,wls WAL,"FW,MF",Real Madrid,5,0,0,25,16,13,55,12,13,2,0,0,37,33,29,53.2
49,Mikel Balenziaga,es ESP,DF,Athletic Club,1,0,0,21,16,0,50,17,24,0,0,0,91,15,13,53.6
50,Éver Banega,ar ARG,MF,Sevilla,9,1,0,42,51,2,145,12,53,0,0,0,244,10,13,43.5
51,Léo Baptistão,br BRA,"FW,MF",Espanyol,4,0,0,48,49,14,34,23,34,0,0,0,128,46,60,43.4
52,Mariano Barbosa,ar ARG,GK,Villarreal,0,0,0,0,3,0,0,1,0,0,0,0,20,1,0,100
53,Enis Bardhi,mk MKD,MF,Levante,8,0,0,39,25,3,55,16,26,0,0,0,93,4,15,21.1
54,Antonio Barragán,es ESP,DF,Betis,7,0,0,51,19,4,92,24,42,0,1,0,131,44,19,69.8
55,Barri,es ESP,"MF,FW",Getafe,0,0,0,3,0,0,0,1,0,0,0,0,6,2,3,40
56,Marc Bartra,es ESP,DF,Betis,6,0,0,20,16,0,2,32,28,0,0,0,113,51,23,68.9
57,Borja Bastón,es ESP,FW,Málaga,2,0,0,16,7,9,5,3,7,1,0,0,20,26,38,40.6
58,Jon Bautista,es ESP,"FW,MF",Real Sociedad,0,0,0,6,1,1,0,0,0,0,0,0,5,7,9,43.8
59,Paul Baysse,fr FRA,DF,Málaga,1,0,0,20,7,3,0,20,16,0,0,0,56,34,22,60.7
60,Claudio Beauvue,gp GLP,FW,Leganés,4,0,0,30,27,17,11,2,3,0,0,0,31,67,108,38.3
61,Bebé,cv CPV,"MF,FW",Eibar,0,0,0,8,4,3,47,3,7,0,0,0,19,2,2,50
62,Wissam Ben Yedder,fr FRA,FW,Sevilla,2,1,1,17,20,21,8,5,8,0,0,0,60,15,58,20.5
63,Karim Benzema,fr FRA,FW,Real Madrid,0,0,0,19,11,15,6,8,8,1,0,0,43,9,28,24.3
64,Markel Bergara,es ESP,MF,Getafe,5,0,0,34,18,2,5,23,22,0,0,0,80,28,29,49.1
65,Pedro Bigas,es ESP,DF,Las Palmas,3,0,0,12,6,1,0,16,9,0,0,0,53,11,6,64.7
66,Rubén Blanco,es ESP,GK,Celta Vigo,3,1,0,1,0,0,0,3,0,0,0,0,22,6,0,100
67,Emmanuel Boateng,gh GHA,FW,Levante,5,0,0,41,37,9,3,5,3,1,1,0,35,73,64,53.3
68,Daniele Bonera,it ITA,DF,Villarreal,4,1,0,14,11,0,0,12,11,0,1,0,48,15,8,65.2
69,Celso Borges,cr CRC,MF,La Coruña,4,1,1,35,13,4,17,34,39,0,0,0,176,116,74,61.1
70,Ryad Boudebouz,dz ALG,"MF,FW",Betis,2,0,0,21,17,1,52,7,18,0,0,0,65,6,22,21.4
71,Yassine Bounou,ma MAR,GK,Girona,2,0,0,1,1,0,0,4,1,0,1,0,36,3,2,60
72,Eneko Bóveda,es ESP,DF,La Coruña,2,0,0,10,3,0,3,16,16,0,0,1,30,17,18,48.6
73,Eneko Bóveda,es ESP,DF,Athletic Club,1,0,0,11,1,1,19,14,11,0,0,0,26,8,7,53.3
74,Lucas Boyé,ar ARG,"FW,MF",Celta Vigo,2,0,0,11,1,0,10,6,8,0,0,0,26,1,8,11.1
75,Darko Brasanac,rs SRB,"MF,FW",Leganés,3,0,0,19,20,3,10,14,17,0,0,0,87,19,20,48.7
76,Alberto Bueno,es ESP,"MF,FW",Málaga,0,0,0,3,7,1,3,1,2,0,0,0,26,2,14,12.5
77,Burgui,es ESP,"MF,FW",Alavés,1,0,0,12,19,6,14,7,5,1,0,0,55,2,8,20
78,Sergio Busquets,es ESP,MF,Barcelona,8,0,0,36,58,0,0,51,48,1,0,0,211,51,27,65.4
79,Unai Bustinza,es ESP,DF,Leganés,5,0,0,27,19,2,8,47,21,0,1,0,87,37,41,47.4
80,Erick Cabaco,uy URU,DF,Levante,5,0,0,13,12,0,0,17,14,1,0,0,45,19,13,59.4
81,Gustavo Cabral,ar ARG,DF,Celta Vigo,5,0,0,14,4,2,0,43,21,0,1,0,109,56,36,60.9
82,Leandro Cabrera,uy URU,DF,Getafe,3,0,0,14,2,1,12,22,10,0,0,0,39,20,14,58.8
83,Cala,es ESP,DF,Getafe,9,0,0,28,23,2,1,39,14,0,1,0,94,55,32,63.2
84,Carlos Calderón,es ESP,MF,Getafe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
85,Jonathan Calleri,ar ARG,FW,Las Palmas,7,0,0,73,75,39,30,7,16,1,1,0,84,105,132,44.3
86,Víctor Camarasa,es ESP,MF,Betis,1,0,0,19,31,2,4,15,15,0,0,1,72,10,12,45.5
87,José Campaña,es ESP,MF,Levante,9,1,1,32,31,1,113,45,36,0,0,0,210,30,37,44.8
88,Joel Campbell,cr CRC,"MF,FW",Betis,1,0,0,3,13,0,3,0,2,0,0,0,8,0,3,0
89,Sergio Canales,es ESP,"MF,FW",Real Sociedad,4,0,0,23,29,0,153,11,24,1,0,0,116,2,13,13.3
90,João Cancelo,pt POR,MF,Valencia,0,0,0,4,2,0,5,2,1,0,0,0,5,1,0,100
91,Ander Capa,es ESP,DF,Eibar,4,0,0,34,9,6,95,52,38,0,0,0,114,28,12,70
92,Lionel Carole,fr FRA,DF,Sevilla,0,0,0,4,6,0,8,6,6,0,0,0,37,7,11,38.9
93,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,3,0,0,13,8,2,24,4,13,0,0,0,53,0,9,0
94,Daniel Carriço,pt POR,DF,Sevilla,1,0,0,5,0,0,0,10,7,0,0,0,35,12,11,52.2
95,Federico Cartabia,ar ARG,"FW,MF",La Coruña,6,0,0,23,47,4,47,18,23,1,0,0,93,4,25,13.8
96,Dani Carvajal,es ESP,DF,Real Madrid,11,1,0,48,32,3,91,38,40,0,2,0,155,19,27,41.3
97,Casemiro,br BRA,MF,Real Madrid,8,0,0,59,72,2,6,63,78,0,0,0,242,59,37,61.5
98,Kiko Casilla,es ESP,GK,Real Madrid,0,0,0,0,0,0,0,2,0,0,0,0,16,2,0,100
99,Dani Castellano,es ESP,DF,Las Palmas,5,0,0,17,30,4,39,42,29,0,0,0,109,26,26,50
100,Javi Castellano,es ESP,MF,Las Palmas,4,0,0,14,26,0,3,38,27,0,1,0,91,27,30,47.4
101,Samu Castillejo,es ESP,"MF,FW",Villarreal,4,0,0,42,66,7,97,22,28,2,0,0,121,15,41,26.8
102,Chory Castro,uy URU,"MF,FW",Málaga,5,1,1,23,28,3,133,23,24,0,0,0,162,21,19,52.5
103,Jonny Castro,es ESP,DF,Celta Vigo,10,0,0,50,37,1,51,93,78,1,1,0,213,35,33,51.5
104,Rubén Castro,es ESP,FW,Betis,0,0,0,1,5,6,0,0,1,0,0,0,10,1,4,20
105,Dani Ceballos,es ESP,MF,Real Madrid,0,0,0,7,15,0,2,5,7,0,0,0,26,0,1,0
106,Emanuel Cecchini,ar ARG,"MF,DF",Málaga,2,0,0,2,0,0,0,2,1,0,0,0,2,0,1,0
107,Nereo Champagne,ar ARG,GK,Leganés,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
108,Charles,br BRA,FW,Eibar,5,1,0,42,29,11,7,7,8,1,0,0,54,71,68,51.1
109,Chema,es ESP,DF,Levante,7,1,0,21,13,2,0,30,13,0,1,1,93,29,21,58
110,Denis Cheryshev,ru RUS,"MF,FW",Villarreal,2,0,0,21,14,5,27,13,16,1,0,0,50,12,16,42.9
111,Leandro Chichizola,ar ARG,GK,Las Palmas,2,0,0,0,6,0,0,4,0,0,0,0,38,12,2,85.7
112,Chuca,es ESP,MF,Villarreal,1,0,0,3,2,0,8,1,0,0,0,0,1,0,1,0
113,Cifu,es ESP,DF,Málaga,0,0,0,4,2,0,12,2,1,0,0,0,3,1,2,33.3
114,Jasper Cillessen,nl NED,GK,Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
115,Coke,es ESP,DF,Levante,5,1,1,27,12,4,36,34,23,0,0,0,91,23,20,53.5
116,Emre Çolak,tr TUR,MF,La Coruña,4,0,0,20,24,2,70,7,19,0,0,0,110,1,16,5.9
117,Francis Coquelin,fr FRA,"MF,DF",Valencia,2,0,0,13,7,1,1,20,14,0,0,0,60,20,6,76.9
118,Sébastien Corchia,fr FRA,DF,Sevilla,4,0,0,20,22,3,23,16,13,0,1,0,32,11,3,78.6
119,Iñigo Córdoba,es ESP,FW,Athletic Club,3,0,0,20,35,5,70,21,30,0,0,0,115,16,36,30.8
120,Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,4,1,1,47,49,6,30,25,29,0,0,0,168,6,30,16.7
121,Joaquín Correa,ar ARG,FW,Sevilla,5,0,0,26,43,5,7,2,10,1,0,0,65,12,15,44.4
122,Diego Costa,es ESP,FW,Atlético Madrid,7,1,1,22,19,19,2,5,11,1,0,0,26,25,33,43.1
123,Jaume Costa,es ESP,DF,Villarreal,14,1,1,54,37,0,67,46,43,1,3,0,122,33,39,45.8
124,Philippe Coutinho,br BRA,"MF,FW",Barcelona,1,0,0,12,32,8,51,6,14,0,0,0,70,5,6,45.5
125,Juan Cruz,es ESP,FW,Málaga,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,
126,Iván Cuéllar,es ESP,GK,Leganés,4,0,0,0,7,0,0,3,3,0,0,0,33,11,4,73.3
127,Sergi Darder,es ESP,MF,Espanyol,7,0,0,36,31,0,46,52,43,0,0,0,187,16,21,43.2
128,Salem Al-Dawsari,sa KSA,MF,Villarreal,1,0,0,1,1,1,0,0,0,0,0,0,7,0,0,
129,Ousmane Dembélé,fr FRA,"FW,MF",Barcelona,2,0,0,10,18,3,45,5,7,0,1,0,37,1,5,16.7
130,Ermedin Demirovi?,ba BIH,FW,Alavés,0,0,0,5,3,2,0,0,1,0,0,0,2,4,10,28.6
131,Gerard Deulofeu,es ESP,"MF,FW",Barcelona,1,0,0,11,5,4,16,8,5,0,0,0,38,2,5,28.6
132,Adrián Diéguez,es ESP,DF,Alavés,5,0,0,17,1,0,1,11,5,0,1,0,30,3,5,37.5
133,Lucas Digne,fr FRA,DF,Barcelona,2,0,0,12,7,2,15,12,17,0,1,0,58,9,7,56.3
134,Papakouli Diop,sn SEN,MF,Espanyol,2,0,0,11,5,0,0,6,3,0,0,0,18,4,3,57.1
135,Papakouli Diop,sn SEN,MF,Eibar,5,0,0,25,21,0,5,13,20,0,0,0,69,29,29,50
136,Djené,tg TOG,DF,Getafe,9,0,0,52,26,1,10,78,65,1,1,0,245,70,52,57.4
137,Marko Dmitrovi?,rs SRB,GK,Eibar,1,0,0,0,5,0,0,2,4,0,0,0,80,13,1,92.9
138,Jaume Doménech,es ESP,GK,Valencia,2,0,0,0,1,0,0,0,0,0,0,0,10,1,0,100
139,Mauro dos Santos,ar ARG,DF,Leganés,3,0,0,9,3,2,3,12,14,0,0,0,35,21,13,61.8
140,Cheick Doukouré,ci CIV,MF,Levante,4,0,0,34,10,0,4,14,19,0,0,0,71,15,20,42.9
141,Óscar Duarte,cr CRC,DF,Espanyol,1,0,0,8,6,0,1,9,9,0,0,0,33,32,14,69.6
142,Rubén Duarte,es ESP,DF,Alavés,9,1,1,47,35,1,54,44,40,0,2,0,110,25,23,52.1
143,Riza Durmisi,dk DEN,DF,Betis,4,0,0,15,10,2,68,15,21,0,0,0,89,6,16,27.3
144,Hugo Duro,es ESP,FW,Getafe,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0
145,Aritz Elustondo,es ESP,DF,Real Sociedad,1,0,0,21,11,3,9,45,20,0,0,0,69,41,28,59.4
146,Rodrigo Ely,br BRA,DF,Alavés,11,1,1,29,19,2,1,50,18,0,3,0,128,109,45,70.8
147,Youssef En-Nesyri,ma MAR,FW,Málaga,2,1,1,34,33,14,19,9,25,0,0,0,54,78,115,40.4
148,Sergi Enrich,es ESP,FW,Eibar,2,0,0,20,28,20,5,6,8,2,0,1,58,64,81,44.1
149,Javier Eraso,es ESP,"MF,FW",Leganés,4,0,0,35,25,6,80,23,15,0,0,0,125,12,46,20.7
150,Gonzalo Escalante,ar ARG,MF,Eibar,3,0,0,25,16,0,10,32,35,0,0,0,110,46,39,54.1
151,Sergio Escudero,es ESP,DF,Sevilla,10,0,0,34,38,1,41,66,49,0,0,0,157,56,37,60.2
152,Bernardo Espinosa,co COL,DF,Girona,7,0,0,40,16,3,1,66,22,0,1,0,126,102,50,67.1
153,Oghenekaro Etebo,ng NGA,MF,Las Palmas,3,0,0,21,46,1,4,27,17,0,0,0,90,11,14,44
154,Beñat Etxebarria,es ESP,MF,Athletic Club,3,0,0,17,15,0,79,28,20,0,0,0,105,5,5,50
155,Xabier Etxeita,es ESP,DF,Athletic Club,2,0,0,10,2,0,0,7,2,0,0,0,17,6,9,40
156,Edu Expósito,es ESP,"MF,FW",La Coruña,1,0,0,2,1,0,0,2,0,0,0,0,8,0,1,0
157,Erik Expósito,es ESP,FW,Las Palmas,0,0,0,5,3,2,3,1,1,0,0,0,9,20,28,41.7
158,Imoh Ezekiel,ng NGA,"MF,FW",Las Palmas,0,0,0,6,7,2,11,2,6,0,0,0,21,3,14,17.6
159,Fayçal Fajr,ma MAR,"MF,FW",Getafe,7,0,0,46,37,1,121,30,45,0,0,0,178,22,27,44.9
160,Zouhair Feddal,ma MAR,DF,Betis,7,0,0,20,16,1,3,36,14,0,0,1,73,27,17,61.4
161,Andrés Fernández,es ESP,GK,Villarreal,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,100
162,Augusto Fernández,ar ARG,MF,Atlético Madrid,1,0,0,1,1,0,0,2,2,0,0,0,12,2,2,50
163,Carlos Fernández,es ESP,FW,Sevilla,0,0,0,4,1,0,0,0,1,0,0,0,3,2,3,40
165,Raúl Fernández,es ESP,GK,Levante,0,0,0,0,2,0,0,0,0,0,0,0,9,2,0,100
166,Junior Firpo,es ESP,DF,Betis,4,0,0,17,16,0,13,20,17,0,0,0,56,19,14,57.6
167,Mathieu Flamini,fr FRA,MF,Getafe,2,1,1,15,1,0,3,8,5,0,0,0,27,12,3,80
168,Andreu Fontàs,es ESP,DF,Celta Vigo,2,0,0,7,0,0,0,14,9,0,0,0,51,10,14,41.7
169,Pablo Fornals,es ESP,"MF,FW",Villarreal,4,0,0,34,32,2,30,22,33,0,0,0,195,28,35,44.4
170,Javi Fuego,es ESP,MF,Villarreal,2,0,0,13,8,0,1,3,13,0,1,0,40,8,10,44.4
171,Javi Fuego,es ESP,MF,Espanyol,6,0,0,24,26,0,0,19,25,0,0,0,79,27,21,56.3
172,Gabi,es ESP,MF,Atlético Madrid,8,0,0,51,23,1,45,44,49,0,1,0,235,17,16,51.5
173,Gabriel,br BRA,MF,Leganés,6,1,0,56,51,1,14,38,69,1,0,0,208,110,87,55.8
174,Nicolás Gaitán,ar ARG,"MF,FW",Atlético Madrid,0,0,0,1,4,1,9,1,6,0,0,0,11,4,7,36.4
175,Álex Gálvez,es ESP,DF,Las Palmas,5,1,0,34,18,4,2,43,36,0,1,0,137,39,30,56.5
176,Álex Gálvez,es ESP,DF,Eibar,1,0,0,2,2,1,0,13,4,0,1,0,29,12,3,80
177,Bruno Gama,pt POR,"FW,MF",La Coruña,1,0,0,5,4,0,5,0,1,1,0,0,2,0,1,0
178,Kévin Gameiro,fr FRA,FW,Atlético Madrid,0,0,0,9,9,12,2,4,9,0,0,0,30,9,28,24.3
179,Ganso,br BRA,MF,Sevilla,0,0,0,5,11,0,5,2,11,0,0,0,42,2,10,16.7
180,Ezequiel Garay,ar ARG,DF,Valencia,5,0,0,22,15,1,3,24,12,0,0,0,101,43,22,66.2
181,Aleix García,es ESP,MF,Girona,3,0,0,5,5,0,39,17,14,0,0,0,84,10,2,83.3
182,Borja García,es ESP,MF,Girona,2,0,0,26,110,0,94,30,18,0,0,0,190,12,29,29.3
183,Dani García,es ESP,MF,Eibar,14,0,0,46,25,0,12,70,59,0,1,0,235,42,27,60.9
184,David García,es ESP,DF,Las Palmas,2,0,0,11,14,0,3,19,10,0,0,0,45,14,9,60.9
185,Javi García,es ESP,"MF,DF",Betis,7,0,0,33,33,1,0,25,22,0,0,0,141,47,31,60.3
186,Manu García,es ESP,MF,Alavés,9,0,0,65,72,5,12,35,65,0,0,0,181,69,54,56.1
187,Raúl García,es ESP,"MF,FW",Athletic Club,10,0,0,79,74,16,40,30,51,2,0,0,121,121,87,58.2
188,Raúl García,es ESP,DF,Leganés,1,0,0,10,17,0,74,19,25,0,0,0,94,13,15,46.4
189,Samu García,es ESP,MF,Málaga,1,1,0,11,4,1,8,6,6,0,0,0,11,2,3,40
190,Samu García,es ESP,"FW,MF",Levante,1,0,0,11,2,0,4,1,7,0,0,0,7,2,6,25
191,Sergio García,es ESP,"FW,MF",Espanyol,4,0,0,18,35,13,19,10,12,0,0,0,65,16,34,32
192,Mario Gaspar,es ESP,DF,Villarreal,6,0,0,44,15,3,60,58,66,0,0,0,157,57,37,60.6
193,Johannes Geis,de GER,"DF,MF",Sevilla,0,0,0,9,1,0,9,10,15,0,0,0,57,6,7,46.2
194,Carles Gil,es ESP,"FW,MF",La Coruña,0,0,0,3,16,0,9,4,4,0,0,0,25,0,3,0
195,Nacho Gil,es ESP,"FW,MF",Las Palmas,1,0,0,14,22,0,35,6,6,0,0,0,32,7,8,46.7
196,Nacho Gil,es ESP,MF,Valencia,0,0,0,6,11,2,11,2,1,1,0,0,11,1,1,50
197,Dani Giménez,es ESP,GK,Betis,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100
198,Diego Godín,uy URU,DF,Atlético Madrid,6,0,0,46,26,5,0,59,33,0,1,0,135,54,28,65.9
199,André Gomes,pt POR,MF,Barcelona,1,0,0,16,5,3,3,4,12,0,0,0,39,12,7,63.2
200,Ibai Gómez,es ESP,"MF,FW",Alavés,1,0,0,17,19,8,145,15,15,0,0,0,144,8,14,36.4
201,Maxi Gómez,uy URU,FW,Celta Vigo,12,0,0,54,93,32,16,3,4,0,0,0,68,83,99,45.6
202,Sergi Gómez,es ESP,DF,Celta Vigo,3,0,0,14,6,2,3,56,37,0,0,1,136,63,34,64.9
203,Vicente Gómez,es ESP,MF,Las Palmas,3,0,0,22,29,0,10,17,13,0,0,0,64,32,25,56.1
204,Adrián González,es ESP,"MF,FW",Málaga,8,1,0,39,31,2,15,38,25,0,0,0,147,63,89,41.4
205,Álvaro González,es ESP,DF,Villarreal,14,1,1,33,30,3,7,53,26,0,0,0,132,58,50,53.7
206,Bruno González,es ESP,DF,Getafe,5,0,0,19,10,2,0,31,18,0,0,0,59,39,28,58.2
207,Diego González,es ESP,DF,Málaga,5,0,0,27,3,1,7,19,19,0,1,0,49,34,27,55.7
208,Fabio González,es ESP,MF,Las Palmas,1,0,0,1,0,0,0,1,1,0,0,0,7,0,1,0
209,Mario González,es ESP,FW,Villarreal,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,100
210,Andoni Gorosabel,es ESP,DF,Real Sociedad,0,0,0,1,1,0,3,4,2,0,0,0,5,1,0,100
211,Julio Gracia,es ESP,"DF,FW",Betis,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0
212,Álex Granell,es ESP,MF,Girona,11,0,0,70,39,0,172,47,53,0,0,0,230,24,24,50
213,Esteban Granero,es ESP,MF,Espanyol,4,0,0,19,21,1,60,19,22,1,1,0,85,13,25,34.2
214,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,7,1,0,24,44,26,41,10,24,1,0,0,120,25,60,29.4
215,Vicente Guaita,es ESP,GK,Getafe,1,0,0,0,4,0,0,3,0,0,0,0,36,13,1,92.9
216,Andrés Guardado,mx MEX,MF,Betis,7,0,0,31,39,2,90,22,27,0,0,0,166,17,18,48.6
217,Gonçalo Guedes,pt POR,MF,Valencia,2,0,0,35,70,10,52,16,26,0,0,0,133,9,15,37.5
218,Ramiro Guerra,uy URU,MF,Villarreal,1,0,0,1,2,0,1,0,2,0,0,0,4,0,0,
219,Francis Guerrero,es ESP,"DF,MF",Betis,2,0,0,17,26,1,37,21,19,0,0,0,67,11,15,42.3
220,John Guidetti,se SWE,FW,Alavés,3,0,0,31,16,10,14,2,7,0,1,0,38,30,46,39.5
221,John Guidetti,se SWE,"FW,MF",Celta Vigo,0,0,0,2,0,1,0,0,0,0,0,0,6,1,1,50
222,Guilherme,br BRA,MF,La Coruña,11,0,0,56,46,0,28,46,56,0,0,1,212,38,33,53.5
223,Gerard Gumbau,es ESP,MF,Leganés,8,0,0,40,6,1,2,14,26,0,0,0,89,20,20,50
224,Jon Guridi,es ESP,MF,Real Sociedad,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
225,Alejandro Gutiérrez Mozo,es ESP,MF,Leganés,0,0,0,2,1,0,0,0,2,0,0,0,5,1,0,100
226,Hacen,mr MTN,"FW,MF",Levante,0,0,0,1,1,0,0,1,0,0,0,0,5,4,2,66.7
227,Munir El Haddadi,ma MAR,FW,Alavés,7,1,1,33,114,45,83,9,20,0,0,0,83,34,62,35.4
228,Achraf Hakimi,ma MAR,DF,Real Madrid,0,0,0,8,6,1,30,10,15,0,0,0,50,9,10,47.4
229,Alen Halilovi?,hr CRO,"FW,MF",Las Palmas,1,1,0,9,25,1,76,5,7,1,0,0,61,3,14,17.6
230,Mario Hermoso,es ESP,DF,Espanyol,6,1,1,19,15,1,2,25,12,0,0,2,116,52,34,60.5
231,Hernán,es ESP,MF,Las Palmas,1,0,0,9,7,0,1,8,9,0,0,0,22,7,3,70
232,Héctor Hernández,es ESP,DF,Alavés,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
233,Lucas Hernández,fr FRA,DF,Atlético Madrid,7,1,1,31,46,4,17,40,68,0,0,0,134,41,33,55.4
234,Luis Hernández,es ESP,DF,Málaga,8,0,0,42,10,3,8,77,43,0,3,0,190,48,40,54.5
235,Pablo Hernández,cl CHI,MF,Celta Vigo,4,0,0,54,62,8,7,40,33,0,1,0,166,78,53,59.5
